notebook,manifest_key,classifier,baseline_auc,tuned_auc,delta_auc,mean_folds_auc,std_folds_auc,n_trials_done,n_trials_requested,n_features,n_buildings,n_cities,p_n_estimators,p_num_leaves,p_max_depth,p_learning_rate,p_min_child_samples,p_reg_alpha,p_reg_lambda,p_feature_fraction,p_bagging_fraction,p_bagging_freq,p_random_state,p_n_jobs,p_verbose,p_is_unbalance,p_force_col_wise,p_min_samples_leaf,p_min_samples_split,p_max_features,p_min_child_weight,p_subsample,p_colsample_bytree
NB11d_A9_A10_composite_prepost,composite_prepost_bands,LightGBM-MIA,0.7861845855287047,0.8181719408854559,0.031987355356751124,0.68197938387647,0.07995513261061847,177,200,135,480313,19,192,239.0,3.0,0.133931245425862,72.0,0.5710957972339202,0.4315572833030301,0.7443263274151685,0.7295844864060694,3.0,42.0,24.0,-1.0,True,True,,,,,,
NB11d_A9_A10_composite_prepost,composite_prepost_landuse,LightGBM-MIA,0.7726624828756035,0.80282767828994,0.030165195414336488,0.6688884492952137,0.07051892856781744,65,200,4,480313,19,711,92.0,4.0,0.1253512068224737,59.0,0.9536822441813846,0.9326770668008164,0.8861689085953802,0.5616039435936573,1.0,42.0,24.0,-1.0,True,True,,,,,,
NB11e_all_multimodal,fusion_composite_blockstats,ExtraTrees,0.7845573642104066,0.8106303147419311,0.026072950531524586,0.7139245353681024,0.071614730940312,88,200,915,480313,19,206,,10.0,,,,,,,,,,,,,7.0,2.0,0.3,,,
NB11e_all_multimodal,fusion_composite_blockstats,LightGBM,0.7920682414235619,0.8130522111837515,0.02098396976018957,0.7113082784948013,0.07595292042455712,125,200,915,480313,19,157,248.0,3.0,0.011334591631901706,94.0,1.9590200875337866,0.03913920061147451,0.5004793916224968,0.9292277971713317,2.0,,,,,,,,,,,
NB11e_all_multimodal,fusion_composite_blockstats,RF-200,0.7736753534008247,0.8128563028225559,0.039180949421731226,0.7181122126430292,0.07989149152079722,20,200,915,480313,19,299,,10.0,,,,,,,,,,,,,11.0,11.0,log2,,,
NB11e_all_multimodal,fusion_composite_blockstats,XGBoost,0.8054271454442101,0.8129898087350882,0.007562663290878069,0.7141607538583047,0.07213726589082586,75,200,915,480313,19,734,,12.0,0.010512649118874492,,0.21407953799342228,1.7287662217436988,,,,,,,,,,,,2.0,0.5581890006562221,0.6227818193697767
NB11e_dietrich28,block_stats,ExtraTrees,0.8111518470397765,0.8421503717020633,0.030998524662286808,0.7373917894103801,0.08803453331199114,55,200,56,598595,21,576,,,,,,,,,,,,,,,9.0,3.0,log2,,,
NB11e_dietrich28,block_stats,LightGBM,0.8161540764762641,0.8651939589260575,0.049039882449793404,0.7450789544499488,0.07320010261705558,81,200,56,598595,21,763,234.0,3.0,0.03118712563361772,81.0,0.8144820565771123,0.4328392105852525,0.8382741099748725,0.677468406645442,3.0,,,,,,,,,,,
NB11e_dietrich28,block_stats,RF-200,0.6845246758328918,0.8451876717754665,0.16066299594257472,0.7325581513119309,0.08984556554843368,87,100,56,598595,21,177,,7.0,,,,,,,,,,,,,9.0,13.0,log2,,,
NB11e_dietrich28,block_stats,XGBoost,0.8302795858107583,0.8565190253002182,0.026239439489459837,0.7442949427327459,0.07430866951914487,23,200,56,598595,21,521,,10.0,0.010636066512540286,,0.36364993441420124,0.36680901970686763,,,,,,,,,,,,20.0,0.9162213204002109,0.6061695553391381
NB11f_R3_sensor_ablations,block_stats,RF-200,0.782386954923191,0.8209933070364775,0.03860635211328656,0.7077132353425475,0.07130913845363931,17,200,780,598595,21,593,,10.0,,,,,,,,,,,,,8.0,11.0,0.5,,,
NB11f_R3_sensor_ablations,composite_prepost_bands,RF-200,0.761231790297282,0.793659201281211,0.032427410983928984,0.6913585008977478,0.08244191754075117,135,200,135,480313,19,764,,7.0,,,,,,,,,,,,,18.0,19.0,0.7,,,
NB11f_R3_sensor_ablations,fusion_composite_blockstats,RF-200,0.7736753525184437,0.8129650148492336,0.0392896623307899,0.7185236191506235,0.08055611282167262,93,200,915,480313,19,254,,10.0,,,,,,,,,,,,,11.0,4.0,log2,,,
NB11f_R3_sensor_ablations,fusion_composite_cohdrop,RF-200,0.7719922325440326,0.8186624404801781,0.046670207936145514,0.7416757639967649,0.04248364100058201,154,200,145,466704,18,314,,7.0,,,,,,,,,,,,,17.0,20.0,sqrt,,,
