parquet_name,classifier,side,pooled,mean_folds,gap
bda_block_stats_v2,RF-200-Optuna,tuned,0.8451876717754665,0.6434434109853713,0.20174426079009522
bda_block_stats_v2,RF-200-Optuna,tuned,0.8451876717754665,0.7373917894103801,0.10779588236508642
bda_block_stats_v2,RF-200-Optuna,tuned,0.8451876717754665,0.7450789544499488,0.10010871732551774
bda_block_stats_v2,RF-200-Optuna,tuned,0.8451876717754665,0.7325581513119309,0.11262952046353558
bda_block_stats_v2,RF-200-Optuna,tuned,0.8451876717754665,0.7442949427327459,0.10089272904272062
bda_block_stats_v2,RF-200-Optuna,tuned,0.8451876717754665,0.7077132353425475,0.137474436432919
bda_block_stats_v2,LightGBM-Optuna,tuned,0.8651939589260575,0.6434434109853713,0.22175054794068627
bda_block_stats_v2,LightGBM-Optuna,tuned,0.8651939589260575,0.7373917894103801,0.12780216951567747
bda_block_stats_v2,LightGBM-Optuna,tuned,0.8651939589260575,0.7450789544499488,0.12011500447610879
bda_block_stats_v2,LightGBM-Optuna,tuned,0.8651939589260575,0.7325581513119309,0.13263580761412663
bda_block_stats_v2,LightGBM-Optuna,tuned,0.8651939589260575,0.7442949427327459,0.12089901619331167
bda_block_stats_v2,LightGBM-Optuna,tuned,0.8651939589260575,0.7077132353425475,0.15748072358351006
bda_fusion_composite_cohdrop_v2,RF-200-Optuna,tuned,0.8186624404801781,0.6782530627493418,0.14040937773083628
bda_fusion_composite_cohdrop_v2,RF-200-Optuna,tuned,0.8186624404801781,0.7416757639967649,0.07698667648341317
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8129650148492336,0.6823880887703252,0.13057692607890836
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8129650148492336,0.7139245353681024,0.09904047948113115
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8129650148492336,0.7113082784948013,0.10165673635443229
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8129650148492336,0.7181122126430292,0.0948528022062044
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8129650148492336,0.7141607538583047,0.09880426099092887
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8129650148492336,0.7185236191506235,0.0944413956986101
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8128563028225559,0.6823880887703252,0.13046821405223075
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8128563028225559,0.7139245353681024,0.09893176745445353
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8128563028225559,0.7113082784948013,0.10154802432775467
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8128563028225559,0.7181122126430292,0.09474409017952679
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8128563028225559,0.7141607538583047,0.09869554896425126
bda_fusion_composite_blockstats_v2,RF-200-Optuna,tuned,0.8128563028225559,0.7185236191506235,0.09433268367193248
bda_fusion_ms_cohdrop_v2,LightGBM-MIA-Optuna,tuned,0.8514322569979395,0.7331032831737395,0.11832897382419993
bda_block_stats_v2,RF-200-Optuna,tuned,0.8209933070364775,0.6434434109853713,0.17754989605110627
bda_block_stats_v2,RF-200-Optuna,tuned,0.8209933070364775,0.7373917894103801,0.08360151762609747
bda_block_stats_v2,RF-200-Optuna,tuned,0.8209933070364775,0.7450789544499488,0.07591435258652879
bda_block_stats_v2,RF-200-Optuna,tuned,0.8209933070364775,0.7325581513119309,0.08843515572454663
bda_block_stats_v2,RF-200-Optuna,tuned,0.8209933070364775,0.7442949427327459,0.07669836430373167
bda_block_stats_v2,RF-200-Optuna,tuned,0.8209933070364775,0.7077132353425475,0.11328007169393006
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,tuned,0.8409115253590649,0.6823880887703252,0.15852343658873969
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,tuned,0.8409115253590649,0.7139245353681024,0.12698698999096247
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,tuned,0.8409115253590649,0.7113082784948013,0.1296032468642636
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,tuned,0.8409115253590649,0.7181122126430292,0.12279931271603572
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,tuned,0.8409115253590649,0.7141607538583047,0.1267507715007602
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,tuned,0.8409115253590649,0.7185236191506235,0.12238790620844142
bda_composite_prepost_bands_v2,RF-200-Optuna,tuned,0.793659201281211,0.68197938387647,0.11167981740474109
bda_composite_prepost_bands_v2,RF-200-Optuna,tuned,0.793659201281211,0.6913585008977478,0.10230070038346328
bda_composite_vs_scenes_bands_v2,LightGBM-MIA-Optuna,tuned,0.79550493929645,0.7056466109422134,0.08985832835423668
bda_composite_prepost_bands_v2,LightGBM-MIA-Optuna,tuned,0.8181719408854559,0.68197938387647,0.13619255700898591
bda_composite_prepost_bands_v2,LightGBM-MIA-Optuna,tuned,0.8181719408854559,0.6913585008977478,0.1268134399877081
bda_fusion_composite_cohdrop_v2,LightGBM-MIA-Optuna,tuned,0.8449077177721209,0.6782530627493418,0.1666546550227791
bda_fusion_composite_cohdrop_v2,LightGBM-MIA-Optuna,tuned,0.8449077177721209,0.7416757639967649,0.10323195377535599
bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,tuned,0.8471212153619858,0.7481244832633234,0.09899673209866244
bda_block_stats_v2,ExtraTrees-Optuna,tuned,0.8421503717020633,0.6434434109853713,0.19870696071669203
bda_block_stats_v2,ExtraTrees-Optuna,tuned,0.8421503717020633,0.7373917894103801,0.10475858229168322
bda_block_stats_v2,ExtraTrees-Optuna,tuned,0.8421503717020633,0.7450789544499488,0.09707141725211454
bda_block_stats_v2,ExtraTrees-Optuna,tuned,0.8421503717020633,0.7325581513119309,0.10959222039013239
bda_block_stats_v2,ExtraTrees-Optuna,tuned,0.8421503717020633,0.7442949427327459,0.09785542896931743
bda_block_stats_v2,ExtraTrees-Optuna,tuned,0.8421503717020633,0.7077132353425475,0.13443713635951582
bda_block_stats_v2,LightGBM-MIA-Optuna,tuned,0.8531321209719291,0.6434434109853713,0.20968870998655786
bda_block_stats_v2,LightGBM-MIA-Optuna,tuned,0.8531321209719291,0.7373917894103801,0.11574033156154906
bda_block_stats_v2,LightGBM-MIA-Optuna,tuned,0.8531321209719291,0.7450789544499488,0.10805316652198038
bda_block_stats_v2,LightGBM-MIA-Optuna,tuned,0.8531321209719291,0.7325581513119309,0.12057396965999823
bda_block_stats_v2,LightGBM-MIA-Optuna,tuned,0.8531321209719291,0.7442949427327459,0.10883717823918326
bda_block_stats_v2,LightGBM-MIA-Optuna,tuned,0.8531321209719291,0.7077132353425475,0.14541888562938166
bda_lu_change_v2,LightGBM-MIA-Optuna,tuned,0.8429896872108534,0.6692760069590632,0.17371368025179024
bda_composite_prepost_landuse_v2,LightGBM-MIA-Optuna,tuned,0.80282767828994,0.6688884492952137,0.1339392289947262
bda_rolling_stats_roll7_v2,LightGBM-MIA-Optuna,tuned,0.8513759240682441,0.6569741135337556,0.19440181053448857
bda_composite_vs_scenes_landuse_v2,LightGBM-MIA-Optuna,tuned,0.8120264235269727,0.6238334716041454,0.18819295192282737
bda_block_stats_v2,XGBoost-Optuna,tuned,0.8565190253002182,0.6434434109853713,0.2130756143148469
bda_block_stats_v2,XGBoost-Optuna,tuned,0.8565190253002182,0.7373917894103801,0.11912723588983809
bda_block_stats_v2,XGBoost-Optuna,tuned,0.8565190253002182,0.7450789544499488,0.11144007085026941
bda_block_stats_v2,XGBoost-Optuna,tuned,0.8565190253002182,0.7325581513119309,0.12396087398828726
bda_block_stats_v2,XGBoost-Optuna,tuned,0.8565190253002182,0.7442949427327459,0.1122240825674723
bda_block_stats_v2,XGBoost-Optuna,tuned,0.8565190253002182,0.7077132353425475,0.1488057899576707
bda_fusion_composite_blockstats_v2,ExtraTrees-Optuna,tuned,0.8106303147419311,0.6823880887703252,0.12824222597160595
bda_fusion_composite_blockstats_v2,ExtraTrees-Optuna,tuned,0.8106303147419311,0.7139245353681024,0.09670577937382874
bda_fusion_composite_blockstats_v2,ExtraTrees-Optuna,tuned,0.8106303147419311,0.7113082784948013,0.09932203624712987
bda_fusion_composite_blockstats_v2,ExtraTrees-Optuna,tuned,0.8106303147419311,0.7181122126430292,0.09251810209890199
bda_fusion_composite_blockstats_v2,ExtraTrees-Optuna,tuned,0.8106303147419311,0.7141607538583047,0.09646956088362646
bda_fusion_composite_blockstats_v2,ExtraTrees-Optuna,tuned,0.8106303147419311,0.7185236191506235,0.09210669559130769
bda_fusion_ms_card_cohdrop_v2,LightGBM-MIA-Optuna,tuned,0.8390664994060368,0.7280853219575371,0.11098117744849978
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,tuned,0.8130522111837515,0.6823880887703252,0.1306641224134263
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,tuned,0.8130522111837515,0.7139245353681024,0.09912767581564907
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,tuned,0.8130522111837515,0.7113082784948013,0.10174393268895021
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,tuned,0.8130522111837515,0.7181122126430292,0.09493999854072233
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,tuned,0.8130522111837515,0.7141607538583047,0.0988914573254468
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,tuned,0.8130522111837515,0.7185236191506235,0.09452859203312802
bda_prepost_single_card_v2,LightGBM-MIA-Optuna,tuned,0.812950275102468,0.6886637696165974,0.12428650548587061
bda_rolling_stats_roll13_v2,LightGBM-MIA-Optuna,tuned,0.8323169688840124,0.7287259580849467,0.10359101079906574
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,tuned,0.8129898087350882,0.6823880887703252,0.130601719964763
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,tuned,0.8129898087350882,0.7139245353681024,0.09906527336698578
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,tuned,0.8129898087350882,0.7113082784948013,0.10168153024028692
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,tuned,0.8129898087350882,0.7181122126430292,0.09487759609205904
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,tuned,0.8129898087350882,0.7141607538583047,0.0988290548767835
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,tuned,0.8129898087350882,0.7185236191506235,0.09446618958446473
bda_rolling_stats_roll3_v2,LightGBM-MIA-Optuna,tuned,0.8310469044573365,0.688708304152355,0.14233860030498158
bda_ms_change_v2,LightGBM-MIA-Optuna,tuned,0.7862365624514439,0.5420939125519613,0.24414264989948264
bda_fusion_card_cohdrop_v2,LightGBM-MIA-Optuna,tuned,0.8457265262708498,0.7241969904615633,0.12152953580928649
bda_card_drop_v2,LightGBM-MIA-Optuna,tuned,0.8037406151861222,0.6154332438911319,0.1883073712949903
bda_coh_drop_v2,LightGBM-MIA-Optuna,tuned,0.8004917216659956,0.537225332254744,0.2632663894112516
