notebook,parquet_name,tuned_classifier,baseline_auc,tuned_auc,delta_auc,delta_mean_folds_auc,tuned_mean_folds_auc,tuned_std_folds_auc
NB11_V2,bda_block_stats_v2,RF-200-Optuna,0.6845246758328918,0.8451876717754665,0.16066299594257472,,0.6434434109853713,0.1472820841747259
NB11_V2,bda_block_stats_v2,RF-200-Optuna,0.6845246758328918,0.8451876717754665,0.16066299594257472,,0.7373917894103801,0.08803453331199114
NB11_V2,bda_block_stats_v2,RF-200-Optuna,0.6845246758328918,0.8451876717754665,0.16066299594257472,,0.7450789544499488,0.07320010261705558
NB11_V2,bda_block_stats_v2,RF-200-Optuna,0.6845246758328918,0.8451876717754665,0.16066299594257472,,0.7325581513119309,0.08984556554843368
NB11_V2,bda_block_stats_v2,RF-200-Optuna,0.6845246758328918,0.8451876717754665,0.16066299594257472,,0.7442949427327459,0.07430866951914487
NB11_V2,bda_block_stats_v2,RF-200-Optuna,0.6845246758328918,0.8451876717754665,0.16066299594257472,,0.7077132353425475,0.07130913845363931
NB11_V2,bda_block_stats_v2,LightGBM-Optuna,0.8161540764762641,0.8651939589260575,0.049039882449793404,,0.6434434109853713,0.1472820841747259
NB11_V2,bda_block_stats_v2,LightGBM-Optuna,0.8161540764762641,0.8651939589260575,0.049039882449793404,,0.7373917894103801,0.08803453331199114
NB11_V2,bda_block_stats_v2,LightGBM-Optuna,0.8161540764762641,0.8651939589260575,0.049039882449793404,,0.7450789544499488,0.07320010261705558
NB11_V2,bda_block_stats_v2,LightGBM-Optuna,0.8161540764762641,0.8651939589260575,0.049039882449793404,,0.7325581513119309,0.08984556554843368
NB11_V2,bda_block_stats_v2,LightGBM-Optuna,0.8161540764762641,0.8651939589260575,0.049039882449793404,,0.7442949427327459,0.07430866951914487
NB11_V2,bda_block_stats_v2,LightGBM-Optuna,0.8161540764762641,0.8651939589260575,0.049039882449793404,,0.7077132353425475,0.07130913845363931
NB11_V2,bda_fusion_composite_cohdrop_v2,RF-200-Optuna,0.7719922325440326,0.8186624404801781,0.046670207936145514,,0.6782530627493418,0.10520535425959965
