model_id,fold_id,n,n_damaged,auc,cities,n_cities
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,2,39919,198,0.68996999017643,Okhtyrka|Volnovakha,2
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,3,41859,1189,0.7609310760489306,Dmytrivka|Hostomel|Sievierodonetsk,3
NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,4,41068,542,0.7161351976126484,Borodyanka|Bucha|Irpin|Moschun,4
NB08b_BDA_RGB_RF-200,0,170104,238,0.8161222014149165,Kharkiv,1
NB08b_BDA_RGB_RF-200,1,113042,84,0.6926259043605756,Mykolaiv,1
NB08b_BDA_RGB_RF-200,2,107068,1628,0.7405151962945494,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB_RF-200,3,103628,1947,0.7165348943428911,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB_RF-200,4,104753,3435,0.7316342986626941,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_RGB+CARD_AdaBoost,0,170104,238,0.781265066868823,Kharkiv,1
NB08b_BDA_RGB+CARD_AdaBoost,1,113042,84,0.7048911036466146,Mykolaiv,1
NB08b_BDA_RGB+CARD_AdaBoost,2,107068,1628,0.7449431223971248,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB+CARD_AdaBoost,3,103628,1947,0.6915891147671029,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB+CARD_AdaBoost,4,104753,3435,0.7363439876977477,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_RGB+CARD_ExtraTrees,0,170104,238,0.7726434168029827,Kharkiv,1
NB08b_BDA_RGB+CARD_ExtraTrees,1,113042,84,0.4228599188573249,Mykolaiv,1
NB08b_BDA_RGB+CARD_ExtraTrees,2,107068,1628,0.7422982707540275,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB+CARD_ExtraTrees,3,103628,1947,0.691467805238623,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB+CARD_ExtraTrees,4,104753,3435,0.7195312649727824,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_COH_DROP+RGB_AdaBoost,0,41600,1071,0.7695481804950262,Lysychansk,1
NB08b_BDA_COH_DROP+RGB_AdaBoost,1,41496,3144,0.7526203428254254,Avdiivka|Mariupol,2
NB08b_BDA_COH_DROP+RGB_AdaBoost,2,39919,198,0.6948501149049977,Okhtyrka|Volnovakha,2
NB08b_BDA_COH_DROP+RGB_AdaBoost,3,41859,1189,0.7592685842665216,Dmytrivka|Hostomel|Sievierodonetsk,3
NB08b_BDA_COH_DROP+RGB_AdaBoost,4,41068,542,0.7155543896652015,Borodyanka|Bucha|Irpin|Moschun,4
NB08b_BDA_RGB_LogReg,0,170104,238,0.8223095921283281,Kharkiv,1
NB08b_BDA_RGB_LogReg,1,113042,84,0.6950027886471077,Mykolaiv,1
NB08b_BDA_RGB_LogReg,2,107068,1628,0.7429963866171662,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB_LogReg,3,103628,1947,0.7177268301667156,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB_LogReg,4,104753,3435,0.7324494587824466,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
NB08b_BDA_RGB_LightGBM,0,170104,238,0.8184596098338314,Kharkiv,1
NB08b_BDA_RGB_LightGBM,1,113042,84,0.6933857738105778,Mykolaiv,1
NB08b_BDA_RGB_LightGBM,2,107068,1628,0.7402313034556489,Borodyanka|Chernihiv|Irpin|Kramatorsk|Rubizhne|Sievierodonetsk,6
NB08b_BDA_RGB_LightGBM,3,103628,1947,0.7168587896726697,Avdiivka|Chornobaivka|Dmytrivka|Hostomel|Lysychansk|Makariv|Moschun,7
NB08b_BDA_RGB_LightGBM,4,104753,3435,0.7288181994212927,Bucha|Kherson|Mariupol|Okhtyrka|Trostianets|Volnovakha,6
CLF_F7_ExtraTrees,0,170104,238,0.35509867293319786,Kharkiv,1
CLF_F7_ExtraTrees,1,75995,575,0.5708522822916305,Chernihiv|Chornobaivka|Moschun|Volnovakha,4
CLF_F7_ExtraTrees,2,76892,1371,0.6075760891582693,Avdiivka|Bucha|Lysychansk|Makariv,4
