model_id,modality,modality_family,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
E6_A_impute+obs_card+coh,SAR_card+coh,SAR,5,0.4788,0.1225,0.2559,0.3713,0.6654,0.2941
ABL_ROLLING_SAR_SAR_ALL,multimodal_all,multimodal,5,0.4764,0.0656,0.1378,0.3795,0.5437,0.1642
E6_A_impute+obs_all_multimodal,multimodal_all,multimodal,5,0.4687,0.1211,0.2585,0.3107,0.6434,0.3327
D1_delta_only,other,other,5,0.4683,0.0565,0.1206,0.415,0.5636,0.1486
D1d_delta_only,other,other,5,0.4683,0.0565,0.1206,0.415,0.5636,0.1486
R4_tier1_ms,other,other,5,0.4564,0.0436,0.0955,0.4223,0.5286,0.1064
D6_sar_only,SAR_all,SAR,5,0.4551,0.0582,0.128,0.3795,0.5075,0.128
D1j_dynamic_groupkfold,other,other,5,0.4498,0.0728,0.1617,0.345,0.5205,0.1755
R3_coh_only_A14,SAR_coh_only,SAR,5,0.4462,0.0813,0.1823,0.3123,0.5,0.1877
D1j_dynamic_random,other,other,5,0.3388,0.008,0.0235,0.328,0.3492,0.0212
