model_id,n_folds,auc_mean,auc_std,auc_cv,auc_min,auc_max,auc_range
R4_tier1_dietrich28,5,0.5577,0.0629,0.1129,0.4907,0.6532,0.1625
R4b_tier1_card,5,0.5577,0.0629,0.1129,0.4907,0.6532,0.1625
NB08b_xBD_RGB_AdaBoost,5,0.669,0.0752,0.1124,0.5628,0.749,0.1862
NB08b_xBD_RGB_RF-200,5,0.6879,0.0768,0.1116,0.5938,0.7919,0.1981
NB08b_BDA_COH_DROP+RGB_LightGBM,5,0.664,0.0737,0.111,0.5857,0.7678,0.1821
NB08b_BDA_COH_DROP_RF-200,5,0.6217,0.069,0.111,0.5518,0.7057,0.1539
NB08b_xBD_RGB_ExtraTrees,5,0.6883,0.0742,0.1078,0.5901,0.7913,0.2012
NB08b_BDA_COH_DROP+CARD_ExtraTrees,5,0.6483,0.0659,0.1017,0.5743,0.7175,0.1432
NB08b_BDA_COH_DROP+RGB_ExtraTrees,5,0.6844,0.0696,0.1017,0.5951,0.7694,0.1743
D2_sar-only,5,0.5547,0.0557,0.1003,0.4952,0.6267,0.1315
R4_tier2_dietrich28,5,0.536,0.0524,0.0977,0.4489,0.5728,0.1239
R4b_tier2_card,5,0.536,0.0524,0.0977,0.4489,0.5728,0.1239
B7_UISEM_card_only,5,0.536,0.0507,0.0946,0.4805,0.5984,0.1179
NB08b_BDA_COH_DROP+CARD_RF-200,5,0.6637,0.0616,0.0928,0.5864,0.7415,0.1551
NB08b_BDA_COH_DROP_LightGBM,5,0.5914,0.0542,0.0917,0.5279,0.6533,0.1254
NB08b_BDA_RGB+CARD_GBM,5,0.7016,0.0641,0.0913,0.5939,0.7523,0.1584
R3b_card_only,5,0.5564,0.0502,0.0903,0.4974,0.6199,0.1225
E6_A_impute+obs_card_only,5,0.5606,0.0502,0.0895,0.4997,0.6264,0.1267
NB08b_BDA_COH_DROP+CARD_LightGBM,5,0.6433,0.0575,0.0894,0.5644,0.7119,0.1476
B7_UISEM_card+coh+delta,5,0.5337,0.0474,0.0887,0.4668,0.5827,0.1159
B7_UISEM_card+coh,5,0.5337,0.0474,0.0887,0.4668,0.5827,0.1159
E7_LogReg,5,0.6251,0.0552,0.0883,0.5713,0.7166,0.1453
NB08b_BDA_COH_DROP+CARD_UISEM_voting,5,0.6641,0.0583,0.0878,0.5982,0.7355,0.1373
E7b_NearestCentroid,5,0.6277,0.0541,0.0862,0.5822,0.7189,0.1367
R4_tier0_ms,4,0.6909,0.0592,0.0857,0.6376,0.7667,0.129
E7b_RidgeClassifier,5,0.6286,0.0534,0.0849,0.5787,0.7184,0.1397
ABL_FUSION_MS_COH_SAR_ALL,5,0.559,0.0456,0.0816,0.5,0.6132,0.1132
ABL_FUSION_MS_COH_COH,5,0.559,0.0456,0.0816,0.5,0.6132,0.1132
NB08b_BDA_COH_DROP+CARD_GBM,5,0.6544,0.0534,0.0816,0.5916,0.7162,0.1247
E7b_LDA,5,0.6347,0.0506,0.0798,0.5866,0.715,0.1284
NB08b_BDA_COH_DROP+CARD_XGBoost,5,0.6494,0.0515,0.0793,0.576,0.7038,0.1278
E7d_MLP_256_128_64,5,0.6449,0.0505,0.0783,0.5827,0.716,0.1333
E7b_GaussianNB,5,0.57,0.0444,0.0779,0.4999,0.611,0.1111
E6_B_nativeNaN_card+coh,5,0.5174,0.0403,0.0779,0.4655,0.5636,0.0981
NB08b_BDA_COH_DROP+CARD_LogReg,5,0.6605,0.0514,0.0778,0.6086,0.7215,0.113
