city,feature,method,bhattacharyya,jm_distance,chi2,chi2_p,cramers_v,separability
Avdiivka,s2__composite__b08__winter_baseline_std,bhattacharyya,0.20067426001754857,0.3636421965348,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline_max,bhattacharyya,0.03077288501968624,0.060608438986047286,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline_mean,bhattacharyya,0.11579130595372175,0.2186778408643859,,,,poor
Avdiivka,s2__composite__b11__post_winter_baseline_std,bhattacharyya,0.3182587371043444,0.5451708901428962,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline_max,bhattacharyya,0.10222870974619597,0.19435391274918312,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline_mean,bhattacharyya,0.10216843245228684,0.19424507000894597,,,,poor
Avdiivka,s2__composite__b11__prebattle_baseline_std,bhattacharyya,0.33122779546011427,0.5639168324073447,,,,poor
Avdiivka,s2__composite__b11__winter_baseline_max,bhattacharyya,0.10222870974619597,0.19435391274918312,,,,poor
Avdiivka,s2__composite__b11__winter_baseline_mean,bhattacharyya,0.10216843245228684,0.19424507000894597,,,,poor
Avdiivka,s2__composite__b11__winter_baseline_std,bhattacharyya,0.33122779546011427,0.5639168324073447,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline_max,bhattacharyya,0.02711096434561356,0.05349352175311184,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline_mean,bhattacharyya,0.08216588371166768,0.15776170528161781,,,,poor
Avdiivka,s2__composite__b12__post_winter_baseline_std,bhattacharyya,0.3110378075594612,0.5346276514608586,,,,poor
Avdiivka,s2__composite__b12__prebattle_baseline_max,bhattacharyya,0.12020595856725612,0.22652442667088346,,,,poor
Avdiivka,s2__composite__b12__prebattle_baseline_mean,bhattacharyya,0.10089831441100944,0.19195009095561044,,,,poor
Avdiivka,s2__composite__b12__prebattle_baseline_std,bhattacharyya,0.2629462990394134,0.4624336388040895,,,,poor
Avdiivka,s2__composite__b12__winter_baseline_max,bhattacharyya,0.12020595856725612,0.22652442667088346,,,,poor
Avdiivka,s2__composite__b12__winter_baseline_mean,bhattacharyya,0.10089831441100944,0.19195009095561044,,,,poor
Avdiivka,s2__composite__b12__winter_baseline_std,bhattacharyya,0.2629462990394134,0.4624336388040895,,,,poor
Avdiivka,s2__composite__b8a__post_winter_baseline_max,bhattacharyya,0.16657476208626829,0.3068809519733038,,,,poor
Avdiivka,s2__composite__b8a__post_winter_baseline_mean,bhattacharyya,0.08586096055414752,0.16455635623312137,,,,poor
Avdiivka,s2__composite__b8a__post_winter_baseline_std,bhattacharyya,0.33188201383294735,0.5648560371445044,,,,poor
Avdiivka,s2__composite__b8a__prebattle_baseline_max,bhattacharyya,0.08584501936745789,0.1645270968501238,,,,poor
Avdiivka,s2__composite__b8a__prebattle_baseline_mean,bhattacharyya,0.13084927698411852,0.24529999747169828,,,,poor
Avdiivka,s2__composite__b8a__prebattle_baseline_std,bhattacharyya,0.29182644105853783,0.5062036888440535,,,,poor
Avdiivka,s2__composite__b8a__winter_baseline_max,bhattacharyya,0.08584501936745789,0.1645270968501238,,,,poor
Avdiivka,s2__composite__b8a__winter_baseline_mean,bhattacharyya,0.13084927698411852,0.24529999747169828,,,,poor
Avdiivka,s2__composite__b8a__winter_baseline_std,bhattacharyya,0.29182644105853783,0.5062036888440535,,,,poor
Avdiivka,s2__composite__cire__post_winter_baseline_max,bhattacharyya,0.11978310671195029,0.2257743506600216,,,,poor
Avdiivka,s2__composite__cire__post_winter_baseline_mean,bhattacharyya,0.18456814050120704,0.33707343671136303,,,,poor
Avdiivka,s2__composite__cire__post_winter_baseline_std,bhattacharyya,0.06453471754103429,0.12499286824293021,,,,poor
Avdiivka,s2__composite__cire__prebattle_baseline_max,bhattacharyya,0.0636686347480455,0.1233682534054581,,,,poor
Avdiivka,s2__composite__cire__prebattle_baseline_mean,bhattacharyya,0.1343677270508391,0.2514629733932734,,,,poor
Avdiivka,s2__composite__cire__prebattle_baseline_std,bhattacharyya,0.17369240365255723,0.3188891806568883,,,,poor
Avdiivka,s2__composite__cire__winter_baseline_max,bhattacharyya,0.0636686347480455,0.1233682534054581,,,,poor
Avdiivka,s2__composite__cire__winter_baseline_mean,bhattacharyya,0.1343677270508391,0.2514629733932734,,,,poor
Avdiivka,s2__composite__cire__winter_baseline_std,bhattacharyya,0.17369240365255723,0.3188891806568883,,,,poor
