model_id,ABL_FUSION_MS_COH_ALL,ABL_FUSION_MS_COH_COH,ABL_FUSION_MS_COH_MS,ABL_FUSION_MS_COH_SAR_ALL,ABL_PREPOST_MS_ALL,ABL_PREPOST_MS_MS,ABL_PREPOST_SAR_ALL,ABL_ROLLING_SAR_ALL,ABL_ROLLING_SAR_CARD,ABL_ROLLING_SAR_COH,ABL_ROLLING_SAR_SAR_ALL,B0_single_s1_coh_drop_countM,B0_single_s1_coh_max_dropM,B0_single_s1_coh_max_dropX,B0_single_s1_coh_running_minM,B0_single_s1_coh_running_minX,B0_single_s1_vh_kurtosis,B0_single_s1_vh_max,B0_single_s1_vh_median,B0_single_s1_vh_min,B0_single_s1_vh_skewness,B0_single_s1_vh_std,B0_single_s1_vv_kurtosis,B0_single_s1_vv_max,B0_single_s1_vv_median,B0_single_s1_vv_min,B0_single_s1_vv_skewness,B0_single_s1_vv_std,B1_PWTT_VH_exact,B1_PWTT_VV+VH,B1_PWTT_VV_exact,B2_CCD_exact_vh,B2_CCD_exact_vv,B3_logratio_BAEI,B3_logratio_BSI,B3_logratio_IBI,B3_logratio_MNDWI,B3_logratio_NDBI,B3_logratio_NDSI,B3_logratio_NDVI,B3_logratio_SAVI,B3_logratio_UI,B3_logratio_VH,B3_logratio_VV,B4_step2_card+coh,B4_step3_card+coh+optical,B4_step4_all+methods,CLF_A17_ExtraTrees,CLF_A17_GBM,CLF_A17_LightGBM,CLF_A17_RF_200,CLF_A17_XGBoost,CLF_A9_ExtraTrees,CLF_A9_GBM,CLF_A9_LightGBM,CLF_A9_RF_200,CLF_A9_XGBoost,CLF_F7_ExtraTrees,CLF_F7_GBM,CLF_F7_LightGBM,CLF_F7_RF_200,CLF_F7_XGBoost,D4_f8_strategy_A_drop_nan,L2b_lu_implausible_damage,L2b_lu_plausible_damage,L2b_s2__lu__date_persistent_loss_mean,L2b_s2__lu__loss_count_mean,L2b_s2__lu__loss_fraction_mean,L2b_s2__lu__urban_retained_mean,NB08b_BDA_CARD_AdaBoost,NB08b_BDA_CARD_ExtraTrees,NB08b_BDA_CARD_GBM,NB08b_BDA_CARD_LightGBM,NB08b_BDA_CARD_LogReg,NB08b_BDA_CARD_RF-200,NB08b_BDA_CARD_UISEM_voting,NB08b_BDA_CARD_XGBoost,NB08b_BDA_COH_DROP+CARD_AdaBoost,NB08b_BDA_COH_DROP+CARD_ExtraTrees,NB08b_BDA_COH_DROP+CARD_GBM,NB08b_BDA_COH_DROP+CARD_LightGBM,NB08b_BDA_COH_DROP+CARD_LogReg,NB08b_BDA_COH_DROP+CARD_RF-200,NB08b_BDA_COH_DROP+CARD_UISEM_voting,NB08b_BDA_COH_DROP+CARD_XGBoost,NB08b_BDA_COH_DROP+RGB+CARD_AdaBoost,NB08b_BDA_COH_DROP+RGB+CARD_ExtraTrees,NB08b_BDA_COH_DROP+RGB+CARD_GBM,NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,NB08b_BDA_COH_DROP+RGB+CARD_LogReg,NB08b_BDA_COH_DROP+RGB+CARD_RF-200,NB08b_BDA_COH_DROP+RGB+CARD_UISEM_voting,NB08b_BDA_COH_DROP+RGB+CARD_XGBoost,NB08b_BDA_COH_DROP+RGB_AdaBoost,NB08b_BDA_COH_DROP+RGB_ExtraTrees,NB08b_BDA_COH_DROP+RGB_GBM,NB08b_BDA_COH_DROP+RGB_LightGBM,NB08b_BDA_COH_DROP+RGB_LogReg,NB08b_BDA_COH_DROP+RGB_RF-200,NB08b_BDA_COH_DROP+RGB_UISEM_voting,NB08b_BDA_COH_DROP+RGB_XGBoost,NB08b_BDA_COH_DROP_AdaBoost,NB08b_BDA_COH_DROP_ExtraTrees,NB08b_BDA_COH_DROP_GBM,NB08b_BDA_COH_DROP_LightGBM,NB08b_BDA_COH_DROP_LogReg,NB08b_BDA_COH_DROP_RF-200,NB08b_BDA_COH_DROP_UISEM_voting,NB08b_BDA_COH_DROP_XGBoost,NB08b_BDA_RGB+CARD_AdaBoost,NB08b_BDA_RGB+CARD_ExtraTrees,NB08b_BDA_RGB+CARD_GBM,NB08b_BDA_RGB+CARD_LightGBM,NB08b_BDA_RGB+CARD_LogReg,NB08b_BDA_RGB+CARD_RF-200,NB08b_BDA_RGB+CARD_UISEM_voting,NB08b_BDA_RGB+CARD_XGBoost,NB08b_BDA_RGB_AdaBoost,NB08b_BDA_RGB_ExtraTrees,NB08b_BDA_RGB_GBM,NB08b_BDA_RGB_LightGBM,NB08b_BDA_RGB_LogReg,NB08b_BDA_RGB_RF-200,NB08b_BDA_RGB_UISEM_voting,NB08b_BDA_RGB_XGBoost,NB08b_BRIGHT_all_AdaBoost,NB08b_BRIGHT_all_ExtraTrees,NB08b_BRIGHT_all_GBM,NB08b_BRIGHT_all_LightGBM,NB08b_BRIGHT_all_LogReg,NB08b_BRIGHT_all_RF-200,NB08b_BRIGHT_all_UISEM_voting,NB08b_BRIGHT_all_XGBoost,NB08b_xBD_RGB_AdaBoost,NB08b_xBD_RGB_ExtraTrees,NB08b_xBD_RGB_GBM,NB08b_xBD_RGB_LightGBM,NB08b_xBD_RGB_LogReg,NB08b_xBD_RGB_RF-200,NB08b_xBD_RGB_UISEM_voting,NB08b_xBD_RGB_XGBoost
NB08b_BDA_CARD_UISEM_voting,0.0,0.0,5.2202965128419294e-05,0.0,5.217300568685762e-05,5.217300568685762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797495802546342e-06,6.79636394528927e-06,3.6132650185360496e-06,6.786792901014625e-06,1.106308910949508e-05,1.0173284953711554e-05,3.4042205526411645e-06,0.0,1.0883524520580744e-05,1.0178773186397087e-05,1.0808434902597988e-05,1.0164839819065852e-05,1.3078990563508308e-05,1.3056620032772116e-05,1.3078220838837085e-05,0.0,0.0,1.3191828981129089e-05,6.630112645613849e-06,1.3162657540557439e-05,1.2999506018771286e-05,1.3270607594768726e-05,1.2999506018771286e-05,1.9973235863942316e-05,1.9960743870388235e-05,6.623174487531874e-06,1.0441356123333299e-05,1.0221569556077234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2314935914203506e-05,0.0,3.6879502372581317e-05,5.217300568685762e-05,0.0003885003885003885,0.0,0.0,0.0,0.0,0.0,0.0,8.423712751395177e-06,0.0,9.616925789389326e-06,3.344067790942258e-06,0.0,6.765178947439634e-06,0.0,0.007751937984496124,0.0015968063872255488,4.612971676353907e-05,2.866294526094029e-05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012728314134792846,0.0,3.346356236353141e-05,2.5442379371318805e-05,0.0024154589371980675,0.0,0.0,0.0,3.627098049528024e-05,0.0,2.4645717806531115e-05,5.0182538985559975e-05,3.379291700459584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_CARD_XGBoost,0.0,9.378135814162861e-06,0.0,9.378135814162861e-06,0.0,0.0,2.969385634112302e-05,0.0,0.0,1.1075914316726846e-05,0.0,1.1251167308608268e-05,1.12416811559446e-05,1.126637849774109e-05,1.1234566514251047e-05,1.1234650658537773e-05,1.0196001128357458e-05,2.7185271020161278e-05,1.4452798965179594e-05,3.7327487622544445e-05,3.3189022546409316e-05,3.051964787108501e-05,1.7020870992010405e-05,2.6379059548842714e-05,1.0883208660131905e-05,3.3929128835688015e-05,2.521931799758615e-05,3.049431281066081e-05,1.3078306359326466e-05,6.528310016386058e-05,6.538725602380096e-06,0.0,0.0,1.9786829886027858e-05,6.629760997116054e-06,2.632427558884114e-05,3.8997504159733776e-05,6.63490757573747e-06,3.8997504159733776e-05,6.657700962703559e-05,6.653537020279981e-05,6.622823574602796e-06,6.960686045216616e-06,6.814170749490641e-06,0.0,0.0,0.0,0.0,0.0,2.810594065899062e-05,0.0,0.0011273957158962795,0.0,0.0,9.834171286678386e-05,0.0,0.0003872966692486445,0.0,0.0,5.157740909481647e-05,0.0,0.0,0.0,3.790654772434359e-05,0.0,2.564488881337894e-05,3.343978331020415e-06,0.0,2.02955368423189e-05,0.0,0.019011406844106463,0.0,0.0001383891502906172,8.598883578282086e-05,0.038461538461538464,0.0,1.0,0.0,0.00019138755980861245,0.0,9.52517026241844e-05,5.9327815846459613e-05,0.005025125628140704,0.0,0.014492753623188406,0.0,0.00018596001859600187,0.0012322858903265558,7.06913615156228e-05,5.032965926820676e-05,0.001037344398340249,0.016666666666666666,0.0,0.0,9.507962918944617e-05,0.0005455537370430987,4.76462740613684e-05,6.741497286547342e-05,4.162850720173175e-05,0.008849557522123894,0.018518518518518517,0.0,0.0,0.0,0.0,0.00014245014245014244,0.0,0.0,0.0,0.0,0.0003818494240437854,8.443806467955755e-05,0.00010039068709059422,7.632713811395642e-05,0.0007987220447284345,0.027777777777777776,0.041666666666666664,0.0,0.00010881294148584072,0.01694915254237288,6.161353526142623e-05,0.00015054761695667992,0.00010137875101378751,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_AdaBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_ExtraTrees,0.0017467248908296944,0.02055082039021007,0.00024629530807438116,0.02055082039021007,0.0004924895345973898,0.0004924895345973898,0.0001543448062972681,0.001566512583461736,0.0,0.00648228176318064,0.0015409111921516256,0.018974293618010212,0.018958304463927912,0.01878579094709507,0.018946312543042788,0.01894645437056001,0.01517827780621845,0.014412394320398873,0.013234586001451745,0.011897049693632413,0.01104010359699598,0.012001591669364412,0.015385451408465055,0.0142444268679879,0.01352892353217134,0.011680343765705054,0.011561768893404212,0.011398726440667693,0.020615096653435312,0.017838897278539986,0.02158970516034006,0.04464647634489548,0.04478505105881899,0.010086631670477601,0.013971199833645248,0.016467133645083468,0.013488629919654405,0.014985125537856645,0.013488629919654405,0.03091128593602823,0.03126119076355823,0.013318801372751276,0.014661556337906037,0.015053690362919668,0.0452310334061817,0.04689948961138127,0.05037271748623891,0.0038176740372543494,0.005592841163310962,0.04120393623156054,0.001566512583461736,0.07635354002776493,0.00012334004851375242,0.002397639247510144,0.03674647566803608,0.0004924895345973898,0.029898134673898662,0.004227453580901857,0.0010568962480183195,0.06065678037023399,0.0017467248908296944,0.0662739322533137,0.0,0.01766166441579358,0.005833350182987242,0.005867185939051038,0.0012900847769996315,0.0017166248514459263,0.008818410757987562,0.0,0.006624953993375046,0.0022072189041807324,0.05006682430348514,0.03712433284378694,0.000574052812858783,0.0,0.00019138755980861245,0.0,1.0,0.006599140577041129,0.23642112217450806,0.15327623507097768,0.03546099290780142,0.0017188693659281895,0.003999238240335174,0.0,0.4464787455814375,0.013659985152190052,0.1670673495697014,0.12464653036710793,0.16755017039000378,0.0070799846919249905,0.0057361376673040155,0.0,0.20026531265724348,0.005142857142857143,0.11452329207219125,0.14556504599211564,0.1721413387879517,0.012957317073170731,0.0032442748091603053,0.0,0.020602758385833475,0.0014130281192595733,0.018415667933352822,0.03400727518822435,0.0003832151753209427,0.0,0.0005742725880551302,0.0,0.11350858532137972,0.0009395184967704052,0.0366729270197949,0.03200228723911179,0.043654001616814875,0.0005729564553093965,0.0005688282138794084,0.0,0.04005511179950832,0.001141552511415525,0.029961694775610087,0.052616574530851036,0.03873988215813672,0.00019069412662090009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_GBM,4.946332294603551e-05,0.0005838631350670052,0.0,0.0005838631350670052,0.0,0.0,2.8563267637817765e-05,0.0005981031585542992,0.0,0.0003712357783940777,0.0005696545045429947,0.0024427469493719183,0.002189721016090339,0.0021532354703415217,0.002686344106108724,0.0027987654044197324,0.0026017462568096554,0.0035475077485037664,0.0030839149488719364,0.003535713075019492,0.0030402296735249734,0.001643290909828638,0.0028137711670013967,0.003491688427009414,0.002954659019313911,0.0035148014831987745,0.0030713789916238386,0.0014287837436160727,0.004100761570005858,0.00494923940401012,0.0039894309366376845,0.011188248314719791,0.013001673083513072,0.007117882940126818,0.007875215260299377,0.004186073934319911,0.0008125415137777377,0.008275642555900374,0.0008125415137777377,0.002162440979248502,0.0022339574754958657,0.008160482878208268,0.003968391983917753,0.0037584642043733,0.002784559817591154,0.0026401130883086646,0.005020481041907362,0.0011625269365997505,0.00461133069828722,0.006734853565839481,0.0005981031585542992,0.02641135688345989,0.0,0.0006389776357827476,0.002436688528167392,0.0,0.001534526854219949,0.00014736221632773356,0.11288343558282209,0.002578014423400957,4.946332294603551e-05,0.004935459377372817,0.0,0.004657895069026891,0.003810663559348723,0.0037871020659250524,0.0036520251531979445,0.0031913682363420826,0.002274791421076577,0.0,0.0012507817385866166,0.003126628452318916,0.005768000730994152,0.006363967515909919,0.0,0.0,0.0,0.0,0.006599140577041129,1.0,0.012605423052507482,0.03637331440738112,0.002616088947024199,0.020771513353115726,0.02259475218658892,0.0,0.004403090471047603,0.447870778267254,0.004168926247288503,0.026619676064787042,0.003931847968545216,0.005046863734679163,0.0007194244604316547,0.0,0.0028691831794136107,0.43497961033076576,0.0021286933987366666,0.025232315883461753,0.001896633475580844,0.002077562326869806,0.0021660649819494585,0.0,0.001885902876001886,0.5079662605435802,0.34797738147020446,0.14548196901138077,0.0,0.0,0.0007369196757553427,0.0,0.010328030583302504,0.0006074872807350596,0.005088720003991153,0.006065720431199122,0.00779423226812159,0.0,0.0,0.0,0.004436126083161617,0.0,0.004746058254334692,0.005208720886970756,0.005180694565728488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_LightGBM,0.0018347701510543644,0.06793037074232153,0.00022426553038797938,0.06793037074232153,0.0003488053417046615,0.0003488053417046615,0.0001280972074808769,0.002030624005268646,0.0,0.01988211892605392,0.0020307354555433588,0.07516354528802661,0.07499598522563032,0.07399445163123537,0.07508912073760242,0.07523417345822585,0.05835168820005909,0.056596944093466904,0.04999188901349245,0.04817608893434186,0.04260596176561903,0.04614100627931007,0.059453000084153836,0.05586017441324508,0.05053424138431735,0.04730012140994765,0.043400004892897956,0.04395481009606653,0.07690592817819833,0.06414282746569233,0.08079000192653081,0.15050205761316873,0.15106302389539383,0.04342516519457593,0.05830792448181342,0.060165771598126486,0.05018560565106137,0.06127419165414975,0.05018560565106137,0.11147398356036307,0.11253937838978922,0.05713881751232527,0.05611753784388349,0.058665706129484005,0.1488526219865794,0.15226470188781746,0.1630303656981353,0.004753981459472308,0.003365566932119833,0.11791222449801306,0.002030624005268646,0.04400697503671072,9.97630627260257e-05,0.0017476737045959095,0.09098275016524873,0.0003488053417046615,0.0181959631758655,0.004419112662264293,0.002944888514934792,0.14135936891593717,0.0018347701510543644,0.03766294227188082,0.0,0.061506673184437866,0.021454587347021967,0.016223013787272488,0.006538928483811513,0.008520896258009074,0.0354952026424789,0.0,0.0019337798320913121,0.001791044776119403,0.15455286121652623,0.12267304437824306,0.00019049433279359938,0.0,9.52517026241844e-05,0.0,0.23642112217450806,0.012605423052507482,1.0,0.40275996511568257,0.008957926335350455,0.0013816761160607937,0.0024770161482398894,0.0,0.4047545265394661,0.01586730795163393,0.47331120480846867,0.36156709723717256,0.04535925290642272,0.0023347786725115547,0.002144082332761578,0.0,0.355313246015872,0.014364493462598951,0.3078425262283162,0.3111036321743858,0.310176153734168,0.0045729528890582575,0.0018102134146341464,0.0,0.024136633104356826,0.012893792370065134,0.029237384023534735,0.08633735594272632,0.00023822002001048167,4.7648544336970506e-05,0.0005240840440230597,0.0,0.15436965906087569,0.0014647096518263097,0.121208977969983,0.10767519051230094,0.016834400731930467,0.00023801589946208406,0.0001900598688586905,0.0,0.09944302525231374,0.000666000666000666,0.09521191732445788,0.1152755626439837,0.10326891561305032,4.758053004710473e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_LogReg,0.0015812234478291517,0.080888923124326,0.00017030939540164632,0.080888923124326,0.0003027493424662718,0.0003027493424662718,0.00010391923990498812,0.0020341197606568574,0.0,0.018542709026528315,0.002049089046282685,0.1100511539200757,0.11142502144780049,0.10974599157991313,0.11150330614251341,0.11147126547236688,0.08773890949136576,0.08947345692750773,0.0775793547491366,0.08121215713001649,0.06746404111987227,0.06633825304723705,0.0900027628631251,0.08748363636363636,0.07733509786167027,0.08019812726321918,0.06810219103340596,0.0638466515690715,0.11645159167459362,0.10359285680540464,0.11983510746816758,0.21277564083741962,0.21059804510617094,0.0816736323519111,0.10020331626112725,0.09011902734634197,0.06976386036960985,0.10411390320861698,0.06976386036960985,0.15284699628257448,0.15308207159330192,0.09834252172206462,0.09063637074006,0.09238992534821917,0.2033525452065643,0.20132077159297576,0.2225796124940929,0.004662143101067542,0.0026040896043559316,0.16045250962698532,0.0020341197606568574,0.03435704494414793,7.574466473517772e-05,0.0015648528152587913,0.11084718923198733,0.0003027493424662718,0.01485688704848773,0.0038847523470378763,0.00975177304964539,0.16916986991828525,0.0015812234478291517,0.027535593717892264,0.0,0.09820155541153597,0.03410716161510056,0.030548234368105328,0.019780495952874975,0.021665927950555268,0.05699832392691577,0.0,0.0012974375608173856,0.002297705063256097,0.16858174336678247,0.20260993301634678,0.00011865211200759374,0.0,5.9327815846459613e-05,0.0,0.15327623507097768,0.03637331440738112,0.40275996511568257,1.0,0.005578469481617756,0.0008010680907877169,0.0015724203405921794,0.0,0.28108606675505854,0.043434582200685495,0.3507158578308527,0.6429274622991901,0.028217072664154526,0.0014539627904216492,0.001335232330425494,0.0,0.3150230680507497,0.0523150753917706,0.3363769626110454,0.42185816876122084,0.2982408782111846,0.0029670949173664063,0.0011273957158962795,0.0,0.011202674565236517,0.05360739248904158,0.045376813303455596,0.17184801381692574,0.00011868027533823879,2.9672710008605084e-05,0.00029670068834559694,0.0,0.15051142084901162,0.0018261826182618263,0.14713280431202275,0.1687725742271197,0.01143369901872811,0.00014827555529195457,0.00011848341232227489,0.0,0.13298500180985506,0.00044465524396751055,0.14037608946088415,0.1452547815725163,0.14431376090179168,5.9294396679513786e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_RF-200,0.00020989662591173848,0.0008714801105748957,5.170630816959669e-05,0.0008714801105748957,5.16769159216578e-05,5.16769159216578e-05,8.862367433753803e-05,0.00023552271322165632,0.0,0.00039811118360666615,0.0002649942584577334,0.0007050969508307392,0.0007045024451481142,0.0006609534253160183,0.0007040565642039666,0.0007040618376013961,0.0005539526047667112,0.0005300623502828699,0.00048408830637732155,0.0003596024018726465,0.00042766080599315005,0.0004441490984790436,0.0005684699987405156,0.0005425751975312829,0.00046426434050887726,0.00034597850862911104,0.0004718731201619497,0.00042344603773073576,0.0006601220899073215,0.0007112282716500496,0.000647003849346134,0.002061518992509134,0.002204576537590071,0.0003822403237180121,0.0007289499145140555,0.0006906713325352242,0.0002792298451248417,0.0007494263240970407,0.0002792298451248417,0.0011583474243412732,0.001170944606336407,0.0006553210080028596,0.0005254824172191192,0.0005144225691830221,0.0020230378597085176,0.0020008514261387824,0.002103500826375325,0.0006445941986522122,0.01098901098901099,0.0016582194283358785,0.00023552271322165632,0.023597273203985317,0.0,0.0024509803921568627,0.001769280861050019,5.16769159216578e-05,0.006934306569343066,0.0006252605252188412,0.0,0.0028877887788778876,0.00020989662591173848,0.021247429746401644,0.0,0.0006738232308981642,0.00015881418740074113,0.00035573958580374713,3.3421119473817894e-05,5.697108214894922e-05,0.0003179634105296628,0.0,0.027777777777777776,0.0,0.0020525356887525657,0.0013471584272641936,0.009950248756218905,0.0,0.005025125628140704,0.0,0.03546099290780142,0.002616088947024199,0.008957926335350455,0.005578469481617756,1.0,0.018604651162790697,0.0423728813559322,0.0,0.017401823934487252,0.0083986562150056,0.006576156130674586,0.004656313709697717,0.15837563451776648,0.07727272727272727,0.035398230088495575,0.0,0.008510031377769326,0.0019940179461615153,0.004312295999809401,0.006067756615540199,0.006697728596389051,0.03571428571428571,0.01762114537444934,0.0,0.006237006237006237,0.0,0.009355509355509356,0.006151265203411156,0.0,0.0,0.005,0.0,0.005662298002290368,0.00016641704110500916,0.0014638716477339267,0.0011703196753634988,0.02805755395683453,0.0047169811320754715,0.004,0.0,0.0016139122865873009,0.0,0.0010904991035727708,0.0022202709483191167,0.0015036577742485934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_UISEM_voting,0.0,2.8129922736478885e-05,0.0,2.8129922736478885e-05,0.0,0.0,0.0,5.914360066240833e-05,0.0,4.429580740182942e-05,5.914884807618372e-05,6.750599115671516e-05,7.869147321679501e-05,4.881932343928378e-05,5.991634180775093e-05,8.987787843267959e-05,8.496754239880366e-05,8.835183058196671e-05,5.4196429539221955e-05,6.447234475738039e-05,6.637559738037642e-05,4.069065606901135e-05,7.489132247863044e-05,9.797936403855865e-05,5.8042516143074804e-05,6.446315760902755e-05,7.565659113016536e-05,3.3880503464281476e-05,9.154395417571208e-05,0.00012402979326191828,5.230570066755151e-05,0.00022482933409639046,0.00018393247634423984,0.00015829672721516484,0.00018564315407718776,7.896711019860228e-05,1.2997225092442763e-05,0.00019242381012414653,1.2997225092442763e-05,9.319850616108696e-05,0.00010644738505345655,0.00018544888565089247,9.397122392298536e-05,8.177088479504468e-05,0.00014469985116586737,0.00012790177143953444,0.00012896569512509673,0.00014710208884966165,0.0,0.0002717085784956714,5.914360066240833e-05,0.0039149888143176735,0.0,0.0,0.0001843635156893352,0.0,0.0,5.250446287934474e-05,0.004016064257028112,0.00017188923457723843,0.0,0.0007507507507507507,0.0,0.00011793148180906893,0.00011665270369152783,8.655149974515392e-05,7.691227319239438e-05,4.694158789979983e-05,5.243013684265716e-05,0.0,0.0,0.0003944773175542406,0.0002767559589017401,0.00022213782577228724,0.0,0.0,0.0,0.0,0.0017188693659281895,0.020771513353115726,0.0013816761160607937,0.0008010680907877169,0.018604651162790697,1.0,0.3088235294117647,0.0,0.0008358874338255781,0.011692307692307693,0.0005654309644131886,0.0004277590458457048,0.005107252298263534,0.05263157894736842,0.013157894736842105,0.0,0.0003800836183960471,0.010911074740861976,0.00023816895705813703,0.0004380791912384162,0.00029124193883919283,0.007575757575757576,0.0136986301369863,0.0,0.0012345679012345679,0.011689691817215728,0.011904761904761904,0.0034207525655644243,0.0,0.0,0.0,0.0,0.0008590518612790328,0.0,0.00020076961686464782,0.00018445490395623966,0.0031545741324921135,0.0,0.0,0.0,0.0002538899568387073,0.0,0.0001725168357947789,0.00032616604360589105,0.0002365444238876076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NB08b_BDA_COH_DROP+CARD_XGBoost,0.00015849535080304311,0.0,5.2056220718375845e-05,0.0,5.202642942614848e-05,5.202642942614848e-05,2.9653352311478814e-05,0.00023642757927712268,0.0,8.856905618599502e-05,0.00017732592505024234,0.00015001050073505144,0.00015737940802859808,0.00012016703217472286,0.00014604389555240168,0.0001834992940894503,0.00015973626523017317,0.00016310830051345133,0.000133682111165708,0.0001459096106927992,0.00014012264418804458,7.459523607696872e-05,0.00015318471012346687,0.00014319251479970004,0.00015961749843103253,0.0001458888191487557,0.00013329442577121633,7.453331978182065e-05,0.00020923101065116614,0.00021540188770381588,0.0002092186989212161,0.0005926228670685603,0.00046992481203007516,0.0002572118238296862,0.0003447590001988994,0.000217150979153506,3.248799568559417e-05,0.0003450266400376875,3.248799568559417e-05,0.0002329869593870446,0.00024614975218707383,0.0003311477581296775,0.0001809803566705183,0.00017717085403165907,0.00033061949828491137,0.00029831664180694653,0.00038677238445175013,0.00044108565883494577,0.004219409282700422,0.000496556893240268,0.00023642757927712268,0.012222222222222223,0.0,0.0,0.0005285152409046215,5.202642942614848e-05,0.0015238095238095239,0.00031466331025802394,0.0076481835564053535,0.0005499982812553711,0.00015849535080304311,0.009651076466221232,0.0,0.00021480015162363643,0.0001908457648144025,0.00015707242641637656,0.00010031364733734142,6.705468980500496e-05,9.809509473787468e-05,0.0,0.00964630225080386,0.0,0.0005765682656826568,0.00040844404316608626,0.0,0.0,0.014492753623188406,0.0,0.003999238240335174,0.02259475218658892,0.0024770161482398894,0.0015724203405921794,0.0423728813559322,0.3088235294117647,1.0,0.0,0.0024125452352231603,0.018281535648994516,0.0013072819135780658,0.0010315762989055227,0.012012012012012012,0.09183673469387756,0.0297029702970297,0.0,0.0012347437906634372,0.018970189701897018,0.000714387769681383,0.0012129788739512787,0.0005404057199866977,0.03225806451612903,0.041237113402061855,0.0,0.006002400960384154,0.01685097419694576,0.01854974704890388,0.006982046166999145,0.0,0.0,0.0,0.0,0.0016543649783659965,0.0,0.000384792337613451,0.0003498260410504958,0.0069767441860465115,0.0,0.0,0.0,0.0004896404769460942,0.0,0.0003265457009950402,0.0006648769350427779,0.0004561889636062582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
