city,feature,auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid
Avdiivka,s2__composite__b08__post_winter_baseline_std,0.8618756472376394,0.8618756472376394,higher=damaged,953774.0,2.5677041376793625e-34,0.07017168552866987,0.026852631949029572,12523
Avdiivka,s2__composite__b8a__post_winter_baseline_std,0.8597855101904347,0.8597855101904347,higher=damaged,951461.0,6.09891038236931e-34,0.03395361849174549,0.01132947658275576,12523
Avdiivka,s2__composite__b07__post_winter_baseline_std,0.8581020145921026,0.8581020145921026,higher=damaged,949598.0,1.219840445590172e-33,0.03560774871509783,0.011601161130261248,12523
Avdiivka,s2__composite__b04__post_winter_baseline_std,0.8566272616041916,0.8566272616041916,higher=damaged,947966.0,2.23295802983657e-33,0.06901787994839795,0.025294026983377287,12523
Avdiivka,s2__composite__b03__post_winter_baseline_std,0.8514457458978913,0.8514457458978913,higher=damaged,942232.0,1.8321649813893785e-32,0.06715819969306402,0.024831194317872788,12523
Avdiivka,s2__composite__b02__post_winter_baseline_std,0.8491007802093932,0.8491007802093932,higher=damaged,939637.0,4.7022783352651087e-32,0.06678212040257496,0.024935073097745716,12523
Avdiivka,s2__composite__ndbi__post_winter_baseline_std,0.8477263321122042,0.8477263321122042,higher=damaged,938116.0,8.14666058017155e-32,0.06888376536364667,0.03354471220366099,12523
Avdiivka,s2__composite__ndwi__post_winter_baseline_max,0.845207866072187,0.845207866072187,higher=damaged,935329.0,2.2176821141843177e-31,-0.008324522442502242,-0.09287425167783653,12523
Avdiivka,s2__composite__b05__post_winter_baseline_std,0.8418905754970514,0.8418905754970514,higher=damaged,931658.0,8.203771962808701e-31,0.03685204946140648,0.012029656621535226,12523
Avdiivka,s2__composite__mndwi__post_winter_baseline_std,0.8396278417459918,0.8396278417459918,higher=damaged,929154.0,1.988036192782942e-30,0.07565755558692723,0.03828380278308274,12523
Avdiivka,s2__composite__b11__prebattle_baseline_std,0.8358768002920589,0.8358768002920589,higher=damaged,925003.0,8.514111544507722e-30,0.011366525548911021,0.004934507875601452,12523
Avdiivka,s2__composite__b11__winter_baseline_std,0.8358768002920589,0.8358768002920589,higher=damaged,925003.0,8.514111544507722e-30,0.011366525548911021,0.004934507875601452,12523
Avdiivka,s2__composite__b05__prebattle_baseline_std,0.8242161308337234,0.8242161308337234,higher=damaged,912099.0,7.076008433627699e-28,0.011149705839328467,0.005152193668703626,12523
Avdiivka,s2__composite__b05__winter_baseline_std,0.8242161308337234,0.8242161308337234,higher=damaged,912099.0,7.076008433627699e-28,0.011149705839328467,0.005152193668703626,12523
Avdiivka,s2__composite__b8a__prebattle_baseline_std,0.8234778506921039,0.8234778506921039,higher=damaged,911282.0,9.288489743811602e-28,0.013630370429425012,0.006599507933430305,12523
Avdiivka,s2__composite__b8a__winter_baseline_std,0.8234778506921039,0.8234778506921039,higher=damaged,911282.0,9.288489743811602e-28,0.013630370429425012,0.006599507933430305,12523
Avdiivka,s2__composite__b04__post_winter_baseline_max,0.8228380681458776,0.8228380681458776,higher=damaged,910574.0,1.1809764589899774e-27,0.5106177249651277,0.3135839112010707,12523
Avdiivka,s2__composite__b07__prebattle_baseline_std,0.8215422373954705,0.8215422373954705,higher=damaged,909140.0,1.9079668446469437e-27,0.01279457567199391,0.006170672940525056,12523
Avdiivka,s2__composite__b07__winter_baseline_std,0.8215422373954705,0.8215422373954705,higher=damaged,909140.0,1.9079668446469437e-27,0.01279457567199391,0.006170672940525056,12523
