group,base_name,leaky_model,clean_model,modality_leaky,modality_family_leaky,modality_clean,modality_family_clean,n_common,auc_leaky,auc_clean,delta_point,delta_mean_boot,delta_lo,delta_hi,ci_excludes_zero
buildings_v2,D1i_allblocks,D1i_allblocks_random,D1i_allblocks_groupkfold,other,other,other,other,598595,0.7197,0.6179,0.1018,0.1019,0.0963,0.1075,True
buildings_v2,D1j_dynamic,D1j_dynamic_random,D1j_dynamic_groupkfold,other,other,other,other,108003582,0.4412,0.4261,0.0151,0.0152,0.0133,0.0171,True
