model_id,auc_v2,modality_family,is_accumulator,auc_v3,delta
E6_B_nativeNaN_card_only,0.8287738579785406,SAR,False,0.5004967053883455,0.3282771525901952
E2_LightGBM_card,0.8181635247323552,SAR,False,0.49403447365750974,0.32412905107484546
R5_XGBoost_dietrich28,0.8302795858107583,other,False,0.5205326517215406,0.3097469340892177
R5_LightGBM_dietrich28,0.8161540764762641,other,False,0.5154907735256613,0.30066330295060284
E6_B_nativeNaN_card+coh,0.7938499516823574,SAR,False,0.5011482611022624,0.292701690580095
R5_GBM_dietrich28,0.8048063804585743,other,False,0.5199841975345487,0.2848221829240256
E2_LightGBM_card+coh,0.7891042275418235,SAR,False,0.5068523172643229,0.28225191027750063
R5_ExtraTrees_dietrich28,0.8111518470397765,other,False,0.5413694482739942,0.26978239876578225
R0c_roll3_assessment_only,0.7249721453998722,other,False,0.47423750376836604,0.25073464163150616
R3_card_block_stats_A15,0.7823869548078545,other,False,0.535774293952421,0.24661266085543343
B7_UISEM_card_only,0.7336402829726092,SAR,False,0.5064697130211882,0.22717056995142104
E2_LightGBM_coh,0.7106530525910549,SAR,False,0.48381799534261005,0.22683505724844488
E6_B_nativeNaN_coh_only,0.7106530525910549,SAR,False,0.48381799534261005,0.22683505724844488
B7_UISEM_card+coh+delta,0.6969886391833461,SAR,False,0.5140889003888436,0.1828997387945025
B7_UISEM_card+coh,0.6969886391833461,SAR,False,0.5140889003888436,0.1828997387945025
E5_HistGBM_native_NaN,0.8369950999558949,other,False,0.6545634540938667,0.1824316458620282
R0c_roll3_baseline+assessment,0.6976463614886139,other,False,0.5185024479618007,0.17914391352681325
E5_LightGBM_native_NaN,0.805119134947277,other,False,0.6299615908443317,0.17515754410294537
E6_B_nativeNaN_all_multimodal,0.805119134947277,multimodal,False,0.6299615908443317,0.17515754410294537
R5_XGBoost_all_multimodal,0.8054271454442101,multimodal,False,0.6332572873088876,0.17216985813532248
E2_LightGBM_all,0.8115500035930273,multimodal,False,0.6397770070912174,0.17177299650180988
E1_base_LGBM,0.8115500035930273,multimodal,False,0.6397770070912174,0.17177299650180988
B5_sub_GBM,0.8076423199416678,multimodal,False,0.6394475046433539,0.16819481529831393
R1_random_cv,0.7828202498947672,other,False,0.6215263168097245,0.1612939330850427
R5_LightGBM_all_multimodal,0.7920682414235619,multimodal,False,0.6313046865811797,0.16076355484238225
B3_logratio_VV,0.681149122463606,SAR,False,0.5205224731755793,0.16062664928802672
R0c_roll13_baseline+assessment,0.6748244371013341,other,False,0.5193793573117255,0.15544507978960864
R4b_tier0_card,0.6470752317798374,other,False,0.49315561756748233,0.15391961421235506
R4_tier0_dietrich28,0.6470752295516843,other,False,0.49315561756748233,0.15391961198420195
R0c_roll7_baseline+assessment,0.6748244391773917,other,False,0.5229516080285848,0.1518728311488069
B3_logratio_VH,0.6671137775693625,SAR,False,0.5154963803798538,0.15161739718950873
E6_A_impute+obs_card_only,0.6870304497107437,SAR,False,0.5360741330280759,0.15095631668266773
L2b_bldg_reliable,0.6489069958399012,other,False,0.5,0.1489069958399012
R0b_prepost_single_card_groupkfold,0.6589429367388439,other,False,0.5173883662542323,0.1415545704846115
R0_dietrich28_faithful_groupkfold,0.684524676294238,other,False,0.5454552817638035,0.13906939453043443
R1_groupkfold,0.6845246644145762,other,False,0.5454552817638035,0.13906938265077262
R5_RF-200_dietrich28,0.6845246638378937,other,False,0.5454552817638035,0.13906938207409014
R3_ms_plus_cohdrop_F7,0.7719922317393865,other,False,0.6347923329859481,0.1371998987534384
B6_AdaBoost_alone,0.7936905409658794,multimodal,False,0.6574508388402541,0.1362397021256253
B7_UISEM_coh_only,0.6137886035205519,SAR,False,0.4806697069022174,0.13311889661833448
B5_sub_XGB,0.7351607455623612,multimodal,False,0.602301184823558,0.13285956073880323
E1_base_XGB,0.7351607455623612,multimodal,False,0.602301184823558,0.13285956073880323
E1_soft_voting,0.7801853801813274,other,False,0.6479789507405422,0.1322064294407852
