cell,analysis,parquet,tier_selection,cities,n_buildings,n_features_tested,summary_metrics,top_features,note,tags,metric,value,city,feature
cell04_auc,feature_auc_mannwhitney,bda_product_prepost,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",62043,450,"{'mean_best_auc': 0.557872539080276, 'max_best_auc': 0.8131612903225807, 'n_significant_p05': 3763}","[{'feature': 's2__composite__ndvi__post_winter_baseline__p10', 'mean_auc': 0.6205447131483007}, {'feature': 's2__composite__ndvi__post_winter_baseline__min', 'mean_auc': 0.6179422283847237}, {'feature",Per-feature AUC + Mann-Whitney U (Cell 4),"['auc', 'mann_whitney', 'feature_selection']",,,,
cell11_separability,feature_separability_jm_bhattacharyya,bda_product_prepost,"[0, 1, 2]","['Avdiivka', 'Bucha', 'Chernihiv', 'Chornobaivka', 'Dmytrivka', 'Hostomel', 'Irpin', 'Kharkiv', 'Kherson', 'Kramatorsk', 'Lysychansk', 'Makariv', 'Mariupol', 'Moschun', 'Okhtyrka', 'Rubizhne', 'Sievie",62043,449,"{'mean_jm': 0.06182894044360706, 'n_excellent': 0, 'n_good': 1, 'n_poor': 8218}","[{'feature': 's2__qa__cloud_freq__crossbattle__min', 'mean_jm': 0.476656511425972}, {'feature': 's2__qa__cloud_freq__crossbattle__p10', 'mean_jm': 0.33876074850559235}, {'feature': 's2__visibility__fi",J-M + Bhattacharyya + Chi-square separability (Cell 11),"['separability', 'jm_distance', 'bhattacharyya']",,,,
P1,,block_stats,,,,,,,,,best_auc,0.6067583070957455,ALL,s1__vh__blk02__median__max_abs_delta
P2,,coh_drop,,,,,,,,,best_auc,0.533820759302385,ALL,s1__coh__date_worst_drop__max
P2b,,card_drop,,,,,,,,,best_auc,0.5291018497183178,ALL,s1__vv__date_worst_drop__p50
P2c,,ms_change,,,,,,,,,best_auc,0.5,ALL,s2__date_worst_swir_rise__max
P2d,,ms_maha,,,,,,,,,best_auc,0.5909328455108943,ALL,s2__mahalanobis_running_max__mean
P2e,,lu_change,,,,,,,,,best_auc,0.5992216381427828,ALL,s2__lu__loss_fraction__min
P3,,prepost_single_card,,,,,,,,,best_auc,0.5582863507625608,ALL,delta_vv__max_abs_delta
P4,,composite_prepost_landuse,,,,,,,,,best_auc,0.5712519533133023,ALL,landuse__prebattle_baseline
P5,,rolling_stats_roll3,,,,,,,,,best_auc,0.5690850632702096,ALL,s1__vv__baseline__mean__min
P6,,rolling_stats_roll7,,,,,,,,,best_auc,0.5690850632702096,ALL,s1__vv__baseline__mean__min
P7,,rolling_stats_roll13,,,,,,,,,best_auc,0.5690850632702096,ALL,s1__vv__baseline__mean__min
P8,,fusion_composite_cohdrop,,,,,,,,,best_auc,0.6355616708758103,ALL,s2__composite__ndvi__prebattle_baseline__p10
P9,,fusion_composite_blockstats,,,,,,,,,best_auc,0.6281099685148945,ALL,s1__vh__blk02__median__max_abs_delta
P10,,scene_ms,,,,,,,,,best_auc_prebattle,0.5719937531531963,ALL,s2__b12__std
P10,,scene_ms,,,,,,,,,best_auc_crossbattle,0.642533419494837,ALL,s2__b02__p50
P10,,scene_ms,,,,,,,,,best_auc_postbattle,0.6557175176771401,ALL,s2__b02__p90
P11,,scene_card,,,,,,,,,best_auc_prebattle,0.54317268346746,ALL,s1__vh__max
P11,,scene_card,,,,,,,,,best_auc_crossbattle,0.5591065045618512,ALL,s1__vh__max
P11,,scene_card,,,,,,,,,best_auc_postbattle,0.5330434925927539,ALL,s1__vh__max
P12,,scene_coh,,,,,,,,,best_auc_prebattle,0.5335232435725461,ALL,s1__coh_vh__max
P12,,scene_coh,,,,,,,,,best_auc_crossbattle,0.5335328597506377,ALL,s1__coh_vh__max
P12,,scene_coh,,,,,,,,,best_auc_postbattle,0.5438005896462741,ALL,s1__coh_vh__mean
P13,,scene_indices,,,,,,,,,best_auc_prebattle,0.6028630973492674,ALL,s2__ndvi__p10
P13,,scene_indices,,,,,,,,,best_auc_crossbattle,0.6612752052678327,ALL,s2__ndvi__p10
P13,,scene_indices,,,,,,,,,best_auc_postbattle,0.6469106900170095,ALL,s2__mndwi__p90
P15,,rolling_coh,,,,,,,,,best_auc_prebattle,0.5116287396172918,ALL,s1__coh_vv__roll3__p50
P15,,rolling_coh,,,,,,,,,best_auc_crossbattle,0.5471577112780905,ALL,s1__coh_vv__roll13__p50
P16,,rolling_card,,,,,,,,,best_auc_prebattle,0.5546700903465461,ALL,s1__vh__roll7__max_abs_delta
P16,,rolling_card,,,,,,,,,best_auc_crossbattle,0.5890792285113907,ALL,s1__vh__roll13__std
P16,,rolling_card,,,,,,,,,best_auc_postbattle,0.5395911061612053,ALL,s1__vh__roll3__max
P10,,fusion_ms_card,,,,,,,,,best_auc_prebattle,0.5719937531531963,ALL,s2__b12__std
P10,,fusion_ms_card,,,,,,,,,best_auc_crossbattle,0.642533419494837,ALL,s2__b02__p50
P10,,fusion_ms_card,,,,,,,,,best_auc_postbattle,0.6557175176771401,ALL,s2__b02__p90
P10,,fusion_ms_card_cohdrop,,,,,,,,,best_auc_prebattle,0.5766891786955118,ALL,s2__b12__std
P10,,fusion_ms_card_cohdrop,,,,,,,,,best_auc_crossbattle,0.662164941762082,ALL,s2__b02__p50
P10,,fusion_ms_card_cohdrop,,,,,,,,,best_auc_postbattle,0.661826589232052,ALL,s2__b02__p90
P10,,fusion_card_cohdrop,,,,,,,,,best_auc_prebattle,0.5491088926185059,ALL,s1__vh__max
P10,,fusion_card_cohdrop,,,,,,,,,best_auc_crossbattle,0.5649859872217969,ALL,s1__vh__max
P10,,fusion_card_cohdrop,,,,,,,,,best_auc_postbattle,0.5412595037310252,ALL,s1__vh__max
P10,,fusion_ms_cohdrop,,,,,,,,,best_auc_prebattle,0.5766891786955118,ALL,s2__b12__std
P10,,fusion_ms_cohdrop,,,,,,,,,best_auc_crossbattle,0.662164941762082,ALL,s2__b02__p50
P10,,fusion_ms_cohdrop,,,,,,,,,best_auc_postbattle,0.661826589232052,ALL,s2__b02__p90
P10,,fusion_indices_card,,,,,,,,,best_auc_prebattle,0.6028630973492674,ALL,s2__ndvi__p10
P10,,fusion_indices_card,,,,,,,,,best_auc_crossbattle,0.6612752052678327,ALL,s2__ndvi__p10
P10,,fusion_indices_card,,,,,,,,,best_auc_postbattle,0.6469106900170095,ALL,s2__mndwi__p90
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_prebattle,0.6040864882086924,ALL,s2__ndvi__p10
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_crossbattle,0.6766835901995555,ALL,s2__mndwi__p90
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_postbattle,0.6495054843828822,ALL,s2__mndwi__p90
cell16,,block_accum_card,,,,,,,,,best_single_feature_auc,0.538394375026563,ALL,s1__vh__blk03__max_abs_delta__min
