model_id,variant_id,n,n_damaged,damage_rate,auc,TP,FN,FP,TN,recall,precision,n_cities,is_leaky,is_degenerate
B0_single_s1_vh_std,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.5611,4409,2923,294889,296374,0.601,0.015,21,False,False
NB08b_BDA_CARD_UISEM_voting,dataset=BDA;feature_set=CARD;classifier=UISEM_voting,368288,6431,0.017,0.5604,6,6425,4,361853,0.001,0.6,21,False,False
R1_random_cv,nb09a;cell=R1,63243,8247,0.13,0.5569,305,7942,884,54112,0.037,0.257,21,False,False
B4_step3_card+coh+optical,unsupervised_combined;step=step3_card+coh+optical;n_scores=24,98613,4253,0.043,0.5512,2421,1832,46886,47474,0.569,0.049,11,False,False
R4_tier1_dietrich28,nb09a;cell=R4,19020,2282,0.12,0.5506,194,2088,483,16255,0.085,0.287,11,False,False
R4b_tier1_card,nb09a;cell=R4b,19020,2282,0.12,0.5506,194,2088,483,16255,0.085,0.287,11,False,False
B0_single_s1_vv_std,unsupervised_change;source=bda_block_stats_v2;direction=drop,598595,7332,0.012,0.5496,4164,3168,295134,296129,0.568,0.014,21,False,False
NB08b_BDA_COH_DROP_RF-200,dataset=BDA;feature_set=COH_DROP;classifier=RF-200,21434,1431,0.067,0.5483,0,1431,7,19996,0.0,0.0,12,False,False
NB08b_BDA_CARD_RF-200,dataset=BDA;feature_set=CARD;classifier=RF-200,368288,6431,0.017,0.5473,16,6415,15,361842,0.002,0.516,21,False,False
B1_PWTT_VV+VH,unsupervised_pwtt;pol=vv+vh,313429,6370,0.02,0.5456,3538,2832,153177,153882,0.555,0.023,20,False,False
E6_A_impute+obs_card+coh,nan_ablation;strategy=A_impute+obs;modality=card+coh,62043,8080,0.13,0.5449,24,8056,73,53890,0.003,0.247,19,False,False
NB08b_BDA_RGB+CARD_UISEM_voting,dataset=BDA;feature_set=RGB+CARD;classifier=UISEM_voting,598595,7332,0.012,0.5442,6,7326,25,591238,0.001,0.194,21,False,False
NB08b_BDA_RGB+CARD_RF-200,dataset=BDA;feature_set=RGB+CARD;classifier=RF-200,598595,7332,0.012,0.5441,152,7180,1241,590022,0.021,0.109,21,False,False
R3b_card_coh,nb09a;cell=R3b,62043,8080,0.13,0.5423,23,8057,71,53892,0.003,0.245,19,False,False
E6_C_SAR_only_no_NaN,nan_ablation;strategy=C_sar_only_no_nan;modality=card+coh,62043,8080,0.13,0.5414,22,8058,69,53894,0.003,0.242,19,False,False
ABL_PREPOST_SAR_ALL,scenario=PREPOST_SAR;sensor=ALL;parquet=A13,598595,7332,0.012,0.5405,612,6720,33666,557597,0.083,0.018,21,False,False
ABL_FUSION_MS_COH_MS,scenario=FUSION_MS_COH;sensor=MS;parquet=F7,480313,7186,0.015,0.5394,169,7017,19153,453974,0.024,0.009,19,False,False
NB08b_BRIGHT_all_RF-200,dataset=BRIGHT;feature_set=all;classifier=RF-200,92423,14126,0.153,0.5368,3077,11049,10930,67367,0.218,0.22,14,False,False
E6_A_impute+obs_card_only,nan_ablation;strategy=A_impute+obs;modality=card_only,62043,8080,0.13,0.5361,161,7919,335,53628,0.02,0.325,19,False,False
R3_card_block_stats_A15,nb09a;cell=R3,63243,8247,0.13,0.5358,11,8236,6,54990,0.001,0.647,21,False,False
R4_tier2_dietrich28,nb09a;cell=R4,4226,506,0.12,0.5357,21,485,87,3633,0.042,0.194,6,False,False
R4b_tier2_card,nb09a;cell=R4b,4226,506,0.12,0.5357,21,485,87,3633,0.042,0.194,6,False,False
ABL_PREPOST_MS_MS,scenario=PREPOST_MS;sensor=MS;parquet=A9,480313,7186,0.015,0.5356,167,7019,19164,453963,0.023,0.009,19,False,False
ABL_PREPOST_MS_ALL,scenario=PREPOST_MS;sensor=ALL;parquet=A9,480313,7186,0.015,0.5356,167,7019,19164,453963,0.023,0.009,19,False,False
CLF_A9_RF_200,classifier=RF_200;parquet=A9,480313,7186,0.015,0.5356,167,7019,19164,453963,0.023,0.009,19,False,False
D2_sar-only,ablation=SAR-only (Dietrich equivalent),62043,8080,0.13,0.5329,152,7928,331,53632,0.019,0.315,19,False,False
NB08b_BDA_COH_DROP+RGB+CARD_RF-200,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=RF-200,205942,6144,0.03,0.532,253,5891,953,198845,0.041,0.21,12,False,False
NB08b_BRIGHT_all_UISEM_voting,dataset=BRIGHT;feature_set=all;classifier=UISEM_voting,92423,14126,0.153,0.5316,1339,12787,2801,75496,0.095,0.323,14,False,False
R3b_card_only,nb09a;cell=R3b,62043,8080,0.13,0.5313,164,7916,338,53625,0.02,0.327,19,False,False
NB08b_BRIGHT_all_GBM,dataset=BRIGHT;feature_set=all;classifier=GBM,92423,14126,0.153,0.5266,939,13187,1671,76626,0.066,0.36,14,False,False
NB08b_BRIGHT_all_AdaBoost,dataset=BRIGHT;feature_set=all;classifier=AdaBoost,92423,14126,0.153,0.5259,0,14126,0,78297,0.0,,14,False,False
B4_step1_card,unsupervised_combined;step=step1_card;n_scores=2,63243,8247,0.13,0.5259,4398,3849,27224,27772,0.533,0.139,21,False,False
D1_blk_pre+post_all,feat_set=pre+post_all,63243,8247,0.13,0.5256,4,8243,18,54978,0.0,0.182,21,False,False
R2_roll13,nb09a;cell=R2,63243,8247,0.13,0.5255,15,8232,65,54931,0.002,0.188,21,False,False
NB08b_BRIGHT_all_XGBoost,dataset=BRIGHT;feature_set=all;classifier=XGBoost,92423,14126,0.153,0.5255,1064,13062,2100,76197,0.075,0.336,14,False,False
R2_roll7,nb09a;cell=R2,63243,8247,0.13,0.5251,19,8228,53,54943,0.002,0.264,21,False,False
R2_roll3,nb09a;cell=R2,63243,8247,0.13,0.5248,24,8223,80,54916,0.003,0.231,21,False,False
R3_coh_only_A14,nb09a;cell=R3,51800,6935,0.134,0.5242,4119,2816,24740,20125,0.594,0.143,12,False,False
D1_blk_pre_baseline_all,feat_set=pre_baseline_all,63243,8247,0.13,0.5237,5,8242,3,54993,0.001,0.625,21,False,False
D1e_zonal_max,zonal=max,63243,8247,0.13,0.5235,25,8222,16,54980,0.003,0.61,21,False,False
B0_single_s1_vh_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,63243,8247,0.13,0.523,4310,3937,27312,27684,0.523,0.136,21,False,False
R0c_roll7_baseline+assessment,nb09a;cell=R0c,63243,8247,0.13,0.523,13,8234,29,54967,0.002,0.31,21,False,False
D1_blk_post_block_all,feat_set=post_block_all,63243,8247,0.13,0.5224,6,8241,16,54980,0.001,0.273,21,False,False
D1i_allblocks_groupkfold,groupkfold_cv,63243,8247,0.13,0.5217,6,8241,0,54996,0.001,1.0,21,False,False
D1e_zonal_min,zonal=min,63243,8247,0.13,0.5202,27,8220,20,54976,0.003,0.574,21,False,False
E8_IsolationForest_c=0.130,unsupervised_isolation_forest;contamination=0.130,62043,8080,0.13,0.5201,4249,3831,26773,27190,0.526,0.137,19,False,False
E8_IsolationForest_c=0.100,unsupervised_isolation_forest;contamination=0.100,62043,8080,0.13,0.5201,4249,3831,26773,27190,0.526,0.137,19,False,False
E8_IsolationForest_c=0.050,unsupervised_isolation_forest;contamination=0.050,62043,8080,0.13,0.5201,4249,3831,26773,27190,0.526,0.137,19,False,False
D6_sar_only,sensor=SAR_only,63243,8247,0.13,0.5197,3,8244,4,54992,0.0,0.429,21,False,False
R0c_roll13_baseline+assessment,nb09a;cell=R0c,63243,8247,0.13,0.5194,11,8236,30,54966,0.001,0.268,21,False,False
R5_ExtraTrees_dietrich28,nb09a;cell=R5,63243,8247,0.13,0.5189,599,7648,3139,51857,0.073,0.16,21,False,False
R0c_roll3_baseline+assessment,nb09a;cell=R0c,63243,8247,0.13,0.5185,12,8235,29,54967,0.001,0.293,21,False,False
B0_single_s1_vv_mean,unsupervised_change;source=bda_block_stats_v3;direction=|change|,63243,8247,0.13,0.5184,4309,3938,27313,27683,0.522,0.136,21,False,False
R0b_prepost_single_card_groupkfold,nb09a;cell=R0b,63243,8247,0.13,0.5174,111,8136,397,54599,0.013,0.219,21,False,False
R3_card_only_prepost_A13,nb09a;cell=R3,63243,8247,0.13,0.5174,111,8136,397,54599,0.013,0.219,21,False,False
D1e_zonal_median,zonal=median,63243,8247,0.13,0.5166,9,8238,15,54981,0.001,0.375,21,False,False
R5_RF-200_dietrich28,nb09a;cell=R5,63243,8247,0.13,0.5161,102,8145,475,54521,0.012,0.177,21,False,False
R0_dietrich28_faithful_groupkfold,nb09a;cell=R0,63243,8247,0.13,0.5161,102,8145,475,54521,0.012,0.177,21,False,False
R1_groupkfold,nb09a;cell=R1,63243,8247,0.13,0.5161,102,8145,475,54521,0.012,0.177,21,False,False
R1_geographic_70_30,nb09a;cell=R1,9121,1127,0.124,0.5158,31,1096,160,7834,0.028,0.162,7,False,False
D1_pre+post+delta,feat_set=pre+post+delta,63243,8247,0.13,0.5145,33,8214,94,54902,0.004,0.26,21,False,False
D1d_pre+post+delta,feat_set=pre+post+delta,63243,8247,0.13,0.5145,33,8214,94,54902,0.004,0.26,21,False,False
B7_UISEM_card+coh,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh,62043,8080,0.13,0.5141,38,8042,161,53802,0.005,0.191,19,False,False
B7_UISEM_card+coh+delta,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+coh+delta,62043,8080,0.13,0.5141,38,8042,161,53802,0.005,0.191,19,False,False
E7_SVM_rbf,non_tree;classifier=SVM_rbf;features=all_multimodal,62043,8080,0.13,0.5141,0,8080,0,53963,0.0,,19,False,False
NB08b_BDA_COH_DROP_UISEM_voting,dataset=BDA;feature_set=COH_DROP;classifier=UISEM_voting,21434,1431,0.067,0.5123,0,1431,1,20002,0.0,0.0,12,False,False
D1_delta_only,feat_set=delta_only,63243,8247,0.13,0.5123,129,8118,810,54186,0.016,0.137,21,False,False
D1d_delta_only,feat_set=delta_only,63243,8247,0.13,0.5123,129,8118,810,54186,0.016,0.137,21,False,False
D1e_zonal_mean,zonal=mean,63243,8247,0.13,0.5121,13,8234,16,54980,0.002,0.448,21,False,False
R4_tier0_dietrich28,nb09a;cell=R4,39997,5459,0.136,0.5108,88,5371,418,34120,0.016,0.174,4,False,False
R4b_tier0_card,nb09a;cell=R4b,39997,5459,0.136,0.5108,88,5371,418,34120,0.016,0.174,4,False,False
R5_GBM_dietrich28,nb09a;cell=R5,63243,8247,0.13,0.507,22,8225,123,54873,0.003,0.152,21,False,False
E2_LightGBM_card+coh,lightgbm_sensor_ablation;sensor=card+coh,62043,8080,0.13,0.5069,1166,6914,7301,46662,0.144,0.138,19,False,False
B7_UISEM_card_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card_only,62043,8080,0.13,0.5065,38,8042,147,53816,0.005,0.205,19,False,False
D1_post_only,feat_set=post_only,63243,8247,0.13,0.5058,124,8123,862,54134,0.015,0.126,21,False,False
D1d_post_only,feat_set=post_only,63243,8247,0.13,0.5058,124,8123,862,54134,0.015,0.126,21,False,False
D1d_pre_only,feat_set=pre_only,63243,8247,0.13,0.5054,138,8109,865,54131,0.017,0.138,21,False,False
D1_pre_only,feat_set=pre_only,63243,8247,0.13,0.5054,138,8109,865,54131,0.017,0.138,21,False,False
R5_XGBoost_dietrich28,nb09a;cell=R5,63243,8247,0.13,0.5036,26,8221,139,54857,0.003,0.158,21,False,False
D1_pre+post,feat_set=pre+post,63243,8247,0.13,0.5034,20,8227,80,54916,0.002,0.2,21,False,False
R5_LightGBM_dietrich28,nb09a;cell=R5,63243,8247,0.13,0.5033,2387,5860,15104,39892,0.289,0.136,21,False,False
D1e_zonal_std,zonal=std,63243,8247,0.13,0.5032,3,8244,15,54981,0.0,0.167,21,False,False
R4b_tier2_all,nb09a;cell=R4b,3533,407,0.115,0.5024,0,407,0,3126,0.0,,5,False,False
B3_logratio_IBI,unsupervised_logratio;sensor=optical;label=IBI;direction=-logratio,310131,6319,0.02,0.5012,3123,3196,151943,151869,0.494,0.02,19,False,False
E6_B_nativeNaN_card+coh,nan_ablation;strategy=B_native_nan;modality=card+coh,62043,8080,0.13,0.5011,1226,6854,7861,46102,0.152,0.135,19,False,False
E6_B_nativeNaN_card_only,nan_ablation;strategy=B_native_nan;modality=card_only,62043,8080,0.13,0.5005,1165,6915,7556,46407,0.144,0.134,19,False,False
D1_blk_pre+post_mean,feat_set=pre+post_mean,63243,8247,0.13,0.5003,154,8093,1130,53866,0.019,0.12,21,False,False
L2b_bldg_reliable,plausibility_standalone;signal=bldg_reliable;higher_is_damage=True,63243,8247,0.13,0.5,8247,0,54996,0,1.0,0.13,21,False,False
L2b_s2__lu__urban_retained,plausibility_standalone;signal=s2__lu__urban_retained;higher_is_damage=False,62043,8080,0.13,0.5,8080,0,53963,0,1.0,0.13,19,False,False
L2b_s2__lu__urban_retained_mean,plausibility_standalone;signal=s2__lu__urban_retained_mean;higher_is_damage=False,598595,7332,0.012,0.5,7332,0,591263,0,1.0,0.012,21,False,False
L2b_plausibility_score,plausibility_standalone;signal=plausibility_score;higher_is_damage=True,63243,8247,0.13,0.499,563,7684,3865,51131,0.068,0.127,21,False,False
D1_blk_pre_baseline_mean,feat_set=pre_baseline_mean,63243,8247,0.13,0.4985,125,8122,897,54099,0.015,0.122,21,False,False
D1_blk_post_block_mean,feat_set=post_block_mean,63243,8247,0.13,0.4985,125,8122,897,54099,0.015,0.122,21,False,False
E7b_GaussianNB,probabilistic;classifier=GaussianNB,62043,8080,0.13,0.4983,2309,5771,13732,40231,0.286,0.144,19,False,False
E2_LightGBM_card,lightgbm_sensor_ablation;sensor=card,62043,8080,0.13,0.494,1149,6931,7703,46260,0.142,0.13,19,False,False
D2_coh-only,ablation=COH-only (coherence baselines),62043,8080,0.13,0.4914,145,7935,1109,52854,0.018,0.116,19,False,False
L2b_s2__lu__date_persistent_loss,plausibility_standalone;signal=s2__lu__date_persistent_loss;higher_is_damage=True,62043,8080,0.13,0.4913,3328,4752,23118,30845,0.412,0.126,19,False,False
B2_CCD_exact_vh,unsupervised_ccd;mode=exact;pol=vh,101911,4304,0.042,0.4862,2050,2254,48906,48701,0.476,0.04,12,False,False
ABL_ROLLING_SAR_CARD,scenario=ROLLING_SAR;sensor=CARD;parquet=A17,598595,7332,0.012,0.486,600,6732,33685,557578,0.082,0.018,21,False,False
R3b_coh_only,nb09a;cell=R3b,62043,8080,0.13,0.4852,167,7913,1207,52756,0.021,0.122,19,False,False
E6_A_impute+obs_coh_only,nan_ablation;strategy=A_impute+obs;modality=coh_only,62043,8080,0.13,0.4852,167,7913,1207,52756,0.021,0.122,19,False,False
L2b_coh_drop,plausibility_standalone;signal=coh_drop;higher_is_damage=True,51800,6935,0.134,0.4851,2369,4566,16887,27978,0.342,0.123,12,False,False
L2b_lu_plausible_damage,plausibility_standalone;signal=lu_plausible_damage;higher_is_damage=True,480313,7186,0.015,0.485,1217,5969,94277,378850,0.169,0.013,19,False,False
E6_B_nativeNaN_coh_only,nan_ablation;strategy=B_native_nan;modality=coh_only,62043,8080,0.13,0.4838,1280,6800,9412,44551,0.158,0.12,19,False,False
E2_LightGBM_coh,lightgbm_sensor_ablation;sensor=coh,62043,8080,0.13,0.4838,1280,6800,9412,44551,0.158,0.12,19,False,False
B7_UISEM_coh_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh_only,62043,8080,0.13,0.4807,35,8045,158,53805,0.004,0.181,19,False,False
R0c_roll7_assessment_only,nb09a;cell=R0c,63243,8247,0.13,0.4801,2265,5982,18048,36948,0.275,0.112,21,False,False
B2_CCD_exact_vv,unsupervised_ccd;mode=exact;pol=vv,101911,4304,0.042,0.4799,2047,2257,48909,48698,0.476,0.04,12,False,False
E7_SVM_linear,non_tree;classifier=SVM_linear;features=all_multimodal,62043,8080,0.13,0.4793,0,8080,0,53963,0.0,,19,False,False
D1f_roll7_assess,window=roll7_assess_only,63243,8247,0.13,0.4781,2440,5807,17884,37112,0.296,0.12,21,False,False
D1f_roll3_assess,window=roll3_assess_only,63243,8247,0.13,0.4781,2440,5807,17884,37112,0.296,0.12,21,False,False
R0c_roll3_assessment_only,nb09a;cell=R0c,63243,8247,0.13,0.4742,2265,5982,18048,36948,0.275,0.112,21,False,False
L2b_s2__lu__loss_count,plausibility_standalone;signal=s2__lu__loss_count;higher_is_damage=True,62043,8080,0.13,0.4741,4526,3554,32096,21867,0.56,0.124,19,False,False
NB08b_BDA_COH_DROP_LightGBM,dataset=BDA;feature_set=COH_DROP;classifier=LightGBM,21434,1431,0.067,0.4696,96,1335,1754,18249,0.067,0.052,12,False,False
R4_tier2_ms,nb09a;cell=R4,3533,407,0.115,0.4657,0,407,2,3124,0.0,0.0,5,False,False
NB08b_BDA_COH_DROP_XGBoost,dataset=BDA;feature_set=COH_DROP;classifier=XGBoost,21434,1431,0.067,0.4652,0,1431,13,19990,0.0,0.0,12,False,False
NB08b_BDA_COH_DROP_GBM,dataset=BDA;feature_set=COH_DROP;classifier=GBM,21434,1431,0.067,0.4382,48,1383,1873,18130,0.034,0.025,12,False,False
L2b_s2__lu__loss_fraction,plausibility_standalone;signal=s2__lu__loss_fraction;higher_is_damage=True,62043,8080,0.13,0.431,4115,3965,32420,21543,0.509,0.113,19,False,False
L2b_s2__lu__date_persistent_loss_mean,plausibility_standalone;signal=s2__lu__date_persistent_loss_mean;higher_is_damage=True,598595,7332,0.012,0.3688,1878,5454,311949,279314,0.256,0.006,21,False,False
L2b_s2__lu__loss_count_mean,plausibility_standalone;signal=s2__lu__loss_count_mean;higher_is_damage=True,598595,7332,0.012,0.349,858,6474,299034,292229,0.117,0.003,21,False,False
L2b_s2__lu__loss_fraction_mean,plausibility_standalone;signal=s2__lu__loss_fraction_mean;higher_is_damage=True,598595,7332,0.012,0.3239,931,6401,298226,293037,0.127,0.003,21,False,False
B3_logratio_NDSI,unsupervised_logratio;sensor=optical;label=NDSI;direction=-logratio,310131,6319,0.02,0.2739,1216,5103,153850,149962,0.192,0.008,19,False,False
B3_logratio_MNDWI,unsupervised_logratio;sensor=optical;label=MNDWI;direction=-logratio,310131,6319,0.02,0.2739,1216,5103,153850,149962,0.192,0.008,19,False,False
D4_f8_strategy_A_drop_nan,nan_strategy=A_drop_rows,212859,358,0.002,0.2698,0,358,0,212501,0.0,,5,False,False
D10_card_post,unet_modality_ablation;config=card_post;channels=2;modality=card,15,0,0.0,,0,0,0,15,,,1,False,True
D10_card_prepost,unet_modality_ablation;config=card_prepost;channels=4;modality=card,15,0,0.0,,0,0,2,13,,0.0,1,False,True
D10_fusion_post,unet_modality_ablation;config=fusion_post;channels=5;modality=fusion,15,0,0.0,,0,0,1,14,,0.0,1,False,True
D10_fusion_prepost,unet_modality_ablation;config=fusion_prepost;channels=10;modality=fusion,15,0,0.0,,0,0,3,12,,0.0,1,False,True
D10_ms_post_rgb,unet_modality_ablation;config=ms_post_rgb;channels=3;modality=ms,15,0,0.0,,0,0,0,15,,,1,False,True
D10_ms_prepost,unet_modality_ablation;config=ms_prepost;channels=6;modality=ms,15,0,0.0,,0,0,0,15,,,1,False,True
D4_bda_min100,unet_size_sweep;min_area_m2=100,15,0,0.0,,0,0,2,13,,0.0,1,False,True
D4_bda_min20,unet_size_sweep;min_area_m2=20,15,0,0.0,,0,0,1,14,,0.0,1,False,True
D4_bda_min200,unet_size_sweep;min_area_m2=200,14,0,0.0,,0,0,0,14,,,1,False,True
D4_bda_min50,unet_size_sweep;min_area_m2=50,15,0,0.0,,0,0,1,14,,0.0,1,False,True
D5a_xbd_zeroshot,unet_transfer;type=xbd_zero_shot;features=ms_post_rgb,15,0,0.0,,0,0,13,2,,0.0,1,False,True
D8a_rgb_scratch,unet_post_only;features=rgb;init=scratch,15,0,0.0,,0,0,1,14,,0.0,1,False,True
D8c_xbd_zeroshot_rgb,unet_transfer;type=xbd_zero_shot;features=rgb_post_only,15,0,0.0,,0,0,13,2,,0.0,1,False,True
