model_id,variant_id,n,n_damaged,damage_rate,auc,TP,FN,FP,TN,recall,precision,n_cities,is_leaky,is_degenerate
ABL_ROLLING_SAR_SAR_ALL,scenario=ROLLING_SAR;sensor=SAR_ALL;parquet=A17,598595,7332,0.012,0.6706,641,6691,33784,557479,0.087,0.019,21,False,False
NB08b_xBD_RGB_ExtraTrees,dataset=xBD;feature_set=RGB;classifier=ExtraTrees,70931,22559,0.318,0.6688,10401,12158,10630,37742,0.461,0.495,19,False,False
NB08b_BDA_COH_DROP+RGB+CARD_GBM,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=GBM,205942,6144,0.03,0.6678,78,6066,1613,198185,0.013,0.046,12,False,False
R3b_card_ms,nb09a;cell=R3b,62043,8080,0.13,0.6674,104,7976,177,53786,0.013,0.37,19,False,False
B3_logratio_VH,unsupervised_logratio;sensor=sar;label=VH;direction=-logratio,598595,7332,0.012,0.6671,5577,1755,287318,303945,0.761,0.019,21,False,False
R3b_all_multimodal,nb09a;cell=R3b,62043,8080,0.13,0.6657,97,7983,165,53798,0.012,0.37,19,False,False
R4b_tier0_all,nb09a;cell=R4b,39997,5459,0.136,0.6657,132,5327,220,34318,0.024,0.375,4,False,False
R5_ExtraTrees_all_multimodal,nb09a;cell=R5,62043,8080,0.13,0.6617,180,7900,237,53726,0.022,0.432,19,False,False
E7c_ExtraTrees,tree_ensemble;classifier=ExtraTrees,62043,8080,0.13,0.6617,180,7900,237,53726,0.022,0.432,19,False,False
NB08b_BDA_RGB_XGBoost,dataset=BDA;feature_set=RGB;classifier=XGBoost,598595,7332,0.012,0.6615,0,7332,0,591263,0.0,,21,False,False
B3_logratio_NDVI,unsupervised_logratio;sensor=optical;label=NDVI;direction=-logratio,310131,6319,0.02,0.6607,4866,1453,150200,153612,0.77,0.031,19,False,False
NB08b_xBD_RGB_UISEM_voting,dataset=xBD;feature_set=RGB;classifier=UISEM_voting,70931,22559,0.318,0.6602,7582,14977,6294,42078,0.336,0.546,19,False,False
NB08b_xBD_RGB_RF-200,dataset=xBD;feature_set=RGB;classifier=RF-200,70931,22559,0.318,0.6592,8314,14245,7574,40798,0.369,0.523,19,False,False
R5_RF-200_all_multimodal,nb09a;cell=R5,62043,8080,0.13,0.6591,88,7992,169,53794,0.011,0.342,19,False,False
E1_base_RF,stacking_base;classifier=RF;features=all_multimodal,62043,8080,0.13,0.6591,88,7992,169,53794,0.011,0.342,19,False,False
R3_ms_plus_blocks_F8,nb09a;cell=R3,62043,8080,0.13,0.6591,88,7992,169,53794,0.011,0.342,19,False,False
B5_sub_RF,uisem_sub_classifier;classifier=RF;features=all_multimodal,62043,8080,0.13,0.6591,88,7992,169,53794,0.011,0.342,19,False,False
NB08b_BDA_RGB_GBM,dataset=BDA;feature_set=RGB;classifier=GBM,598595,7332,0.012,0.6586,10,7322,48,591215,0.001,0.172,21,False,False
B6_AdaBoost_alone,uisem_sub_classifier;classifier=AdaBoost;features=all_multimodal,62043,8080,0.13,0.6575,6,8074,43,53920,0.001,0.122,19,False,False
ABL_FUSION_MS_COH_ALL,scenario=FUSION_MS_COH;sensor=ALL;parquet=F7,480313,7186,0.015,0.6567,211,6975,18873,454254,0.029,0.011,19,False,False
CLF_F7_RF_200,classifier=RF_200;parquet=F7,480313,7186,0.015,0.6567,211,6975,18873,454254,0.029,0.011,19,False,False
NB08b_BDA_RGB+CARD_XGBoost,dataset=BDA;feature_set=RGB+CARD;classifier=XGBoost,598595,7332,0.012,0.6562,9,7323,63,591200,0.001,0.125,21,False,False
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LightGBM,205942,6144,0.03,0.6558,2467,3677,28282,171516,0.402,0.08,12,False,False
E6_A_impute+obs_all_multimodal,nan_ablation;strategy=A_impute+obs;modality=all_multimodal,62043,8080,0.13,0.6558,120,7960,198,53765,0.015,0.377,19,False,False
D2_sar_+_ms,ablation=SAR + MS (multimodal),62043,8080,0.13,0.6554,33,8047,51,53912,0.004,0.393,19,False,False
E5_HistGBM_native_NaN,histgbm_native_nan;imputation=none,62043,8080,0.13,0.6546,3345,4735,11533,42430,0.414,0.225,19,False,False
B5_UISEM_all_features,uisem_ensemble;sub=RF+GB+XGB+AB;features=all_multimodal,62043,8080,0.13,0.6546,145,7935,262,53701,0.018,0.356,19,False,False
B7_UISEM_card+ms,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card+ms,62043,8080,0.13,0.6541,179,7901,336,53627,0.022,0.348,19,False,False
R4_tier0_ms,nb09a;cell=R4,39997,5459,0.136,0.6539,181,5278,249,34289,0.033,0.421,4,False,False
NB08b_xBD_RGB_GBM,dataset=xBD;feature_set=RGB;classifier=GBM,70931,22559,0.318,0.6528,7185,15374,6041,42331,0.318,0.543,19,False,False
NB08b_BDA_COH_DROP+RGB+CARD_XGBoost,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=XGBoost,205942,6144,0.03,0.6525,27,6117,46,199752,0.004,0.37,12,False,False
NB08b_xBD_RGB_XGBoost,dataset=xBD;feature_set=RGB;classifier=XGBoost,70931,22559,0.318,0.6524,7449,15110,6431,41941,0.33,0.537,19,False,False
E7c_HistGBM_imputed,tree_ensemble;classifier=HistGBM;imputation=median,62043,8080,0.13,0.652,3376,4704,11909,42054,0.418,0.221,19,False,False
R3b_ms_only,nb09a;cell=R3b,62043,8080,0.13,0.6515,224,7856,343,53620,0.028,0.395,19,False,False
R3b_coh_ms,nb09a;cell=R3b,62043,8080,0.13,0.6514,191,7889,242,53721,0.024,0.441,19,False,False
R3_ms_only_A9,nb09a;cell=R3,62043,8080,0.13,0.6504,237,7843,357,53606,0.029,0.399,19,False,False
