city,feature,jm_distance,bhattacharyya
Avdiivka,s2__lu_transition_mode,0.5580525100704739,0.32715255711089647
Avdiivka,s2__swir_baseline_mean_max,0.2636528767700257,0.1413636285326439
Avdiivka,s2__swir_baseline_mean_mean,0.46716415778695675,0.26602766910915543
Avdiivka,s2__swir_baseline_mean_std,0.051929914704694324,0.02630799790912514
Avdiivka,s2__swir_baseline_std_max,0.01488989096905935,0.007472797414670891
Avdiivka,s2__swir_baseline_std_mean,0.06350049760761012,0.03226521754966844
Avdiivka,s2__swir_baseline_std_std,0.015069262894706226,0.007563160175519265
Avdiivka,s2__swir_z_running_max_max,0.5197114657700317,0.3009101562244979
Avdiivka,s2__swir_z_running_max_mean,1.3237191275955404,1.0842939780693288
Avdiivka,s2__swir_z_running_max_std,0.07713669346110663,0.03933179992296342
Kharkiv,s2__swir_baseline_mean_mean,0.060427102765686413,0.030679387787399277
Kharkiv,s2__swir_baseline_std_std,0.4618423386892543,0.2625618041251798
Kharkiv,s2__swir_z_running_max_mean,0.8583684710760406,0.5606887755723591
Kharkiv,s2__swir_z_running_max_std,0.11571983948590048,0.059601310305185964
Kramatorsk,s2__swir_baseline_std_std,1.9999998695078371,16.545099847105657
Kramatorsk,s2__swir_z_running_max_mean,1.9999996313977957,15.506694992058344
Kramatorsk,s2__swir_z_running_max_std,1.9999996890583462,15.676807731510054
Mykolaiv,s2__swir_baseline_mean_mean,0.2951360583250031,0.15966187261273043
Mykolaiv,s2__swir_z_running_max_std,0.11277165383003718,0.058037911335708015
