model,mean_folds,std_folds,n_cities,pooled
p__NB08b_BDA_COH_DROP+RGB+C,0.745561604421809,0.07158929096482046,12,0.738145489916821
p__NB08b_BDA_RGB_AdaBoost,0.7438905440812861,0.0749338414686828,12,0.7399685299176908
p__NB08b_BDA_RGB_XGBoost,0.7438066476193376,0.07368528966576166,12,0.7375440841571602
p_ensemble,0.7371537552801692,0.07592856859768621,12,0.7444711781783716
p__NB08b_BDA_RGB_LogReg,0.734402333333574,0.07625866128500051,12,0.748535144030627
