arm,city,auc
d+0,Avdiivka,0.5210922862133281
d+0,Borodyanka,0.505127763446462
d+0,Bucha,0.5710387779135291
d+0,Chernihiv,0.6190916097508655
d+0,Dmytrivka,0.5648742020007569
d+0,Hostomel,0.5983732489878655
d+0,Irpin,0.6090257687284091
d+0,Kharkiv,0.53814988241384
d+0,Kherson,0.632403215374665
d+0,Kramatorsk,0.6220619155883007
d+0,Lysychansk,0.6620023962265428
d+0,Makariv,0.5818984238694337
d+0,Mariupol,0.5925699033386637
d+0,Moschun,0.47404266014936663
d+0,Mykolaiv,0.5
d+0,Okhtyrka,0.5079087554929109
d+0,Rubizhne,0.5057896167126441
d+0,Sievierodonetsk,0.6689994798856573
d+0,Trostianets,0.4572468433665988
d+0,Volnovakha,0.5278867321510387
d+30,Avdiivka,0.5389592411941557
d+30,Borodyanka,0.5265941425244502
d+30,Bucha,0.5641958763114091
d+30,Chernihiv,0.6204540704566437
d+30,Dmytrivka,0.5926290990012669
d+30,Hostomel,0.5865742892635164
d+30,Irpin,0.6114327125557918
d+30,Kharkiv,0.568042326454146
d+30,Kherson,0.644868951923373
d+30,Kramatorsk,0.7056000057580832
d+30,Lysychansk,0.6516421455706813
d+30,Makariv,0.6510170127871965
d+30,Mariupol,0.5843904670985856
d+30,Moschun,0.4948108717334396
d+30,Mykolaiv,0.5
d+30,Okhtyrka,0.4942241522261835
d+30,Rubizhne,0.5227762413906497
d+30,Sievierodonetsk,0.6559510322385628
d+30,Trostianets,0.45158189362234863
d+30,Volnovakha,0.5438620134768178
d+90,Avdiivka,0.5329742388362222
d+90,Borodyanka,0.5420685701210705
d+90,Bucha,0.5577446596607162
d+90,Chernihiv,0.617566977713136
d+90,Dmytrivka,0.5727716693815095
d+90,Hostomel,0.5921647841437663
d+90,Irpin,0.5927026336693911
d+90,Kharkiv,0.5713830940532312
d+90,Kherson,0.49524161507899844
d+90,Kramatorsk,0.6472125929278143
d+90,Lysychansk,0.6489682456637766
d+90,Makariv,0.6595896612902039
d+90,Mariupol,0.5600791899088298
d+90,Moschun,0.4879281323282858
d+90,Mykolaiv,0.5
d+90,Okhtyrka,0.5630881560401294
d+90,Rubizhne,0.5287190765615579
d+90,Sievierodonetsk,0.6604393907263421
d+90,Trostianets,0.4506474228279143
d+90,Volnovakha,0.54635667750623
d+180,Avdiivka,0.5083077996374624
d+180,Borodyanka,0.5846753994688184
d+180,Bucha,0.5277859097866806
d+180,Chernihiv,0.6214512335401635
d+180,Dmytrivka,0.5497386963818549
d+180,Hostomel,0.5934794098455334
d+180,Irpin,0.5953261920769044
d+180,Kharkiv,0.5815464219553752
d+180,Kherson,0.5046736887492685
d+180,Kramatorsk,0.6396254186981153
d+180,Lysychansk,0.6574096455653139
d+180,Makariv,0.6214329708944657
d+180,Mariupol,0.5566203998061031
d+180,Moschun,0.4632198599386596
d+180,Mykolaiv,0.5
d+180,Okhtyrka,0.5981655749937816
d+180,Rubizhne,0.5242430565705098
d+180,Sievierodonetsk,0.6674476633223673
d+180,Trostianets,0.4488008369996781
d+180,Volnovakha,0.5571276274766167
d+365,Avdiivka,0.47974759528887434
d+365,Borodyanka,0.5226897836427368
d+365,Bucha,0.5690856859562005
d+365,Chernihiv,0.6275126704080437
d+365,Dmytrivka,0.5660935674679566
d+365,Hostomel,0.5982311478575199
d+365,Irpin,0.6060669816963559
d+365,Kharkiv,0.5641291576342999
d+365,Kherson,0.48614832609566044
d+365,Kramatorsk,0.5346825541777142
d+365,Lysychansk,0.6584212625568255
d+365,Makariv,0.6453448567789809
d+365,Mariupol,0.5593397885918627
d+365,Moschun,0.5002623810427858
d+365,Mykolaiv,0.5
d+365,Okhtyrka,0.5468436489511649
d+365,Rubizhne,0.5210016333787018
d+365,Sievierodonetsk,0.6609264306376229
d+365,Trostianets,0.44787381812545457
d+365,Volnovakha,0.5550209527640886
d+730,Avdiivka,0.4907854331358652
d+730,Borodyanka,0.534374905065357
d+730,Bucha,0.5539429250664394
d+730,Chernihiv,0.6284007748162964
d+730,Dmytrivka,0.5847074654063216
d+730,Hostomel,0.593317472391744
d+730,Irpin,0.6071508607118732
d+730,Kharkiv,0.586600931271215
d+730,Kherson,0.5694585604730666
d+730,Kramatorsk,0.4792416604512357
d+730,Lysychansk,0.6614529942886667
d+730,Makariv,0.6536107696120653
d+730,Mariupol,0.5578784255130735
d+730,Moschun,0.4548026092374171
d+730,Mykolaiv,0.5
d+730,Okhtyrka,0.5467109899676643
d+730,Rubizhne,0.5311318926183387
d+730,Sievierodonetsk,0.6585071838215009
d+730,Trostianets,0.45197684539352095
d+730,Volnovakha,0.5521465687753528
FULL,Avdiivka,0.4894443320275095
FULL,Borodyanka,0.534374905065357
FULL,Bucha,0.5396644455248983
FULL,Chernihiv,0.629394254529348
FULL,Dmytrivka,0.5798459429553944
FULL,Hostomel,0.599003749826115
FULL,Irpin,0.6079821954561377
FULL,Kharkiv,0.5718693695439198
FULL,Kherson,0.5694585604730666
FULL,Kramatorsk,0.49710161487240895
FULL,Lysychansk,0.6602903775940502
FULL,Makariv,0.6505679517664293
FULL,Mariupol,0.5543413590826123
FULL,Moschun,0.4548026092374171
FULL,Mykolaiv,0.5
FULL,Okhtyrka,0.5709559737998506
FULL,Rubizhne,0.5507106710269105
FULL,Sievierodonetsk,0.6585071838215009
FULL,Trostianets,0.45197684539352095
FULL,Volnovakha,0.5517836110273001
FULL_count_matched_to_d0,Avdiivka,0.5319692596596957
FULL_count_matched_to_d0,Borodyanka,0.49203987158049456
FULL_count_matched_to_d0,Bucha,0.5583069942060049
FULL_count_matched_to_d0,Chernihiv,0.6163111802039288
FULL_count_matched_to_d0,Dmytrivka,0.5409049167448212
FULL_count_matched_to_d0,Hostomel,0.6090002421959287
FULL_count_matched_to_d0,Irpin,0.5981936578106887
FULL_count_matched_to_d0,Kharkiv,0.5651352265428309
FULL_count_matched_to_d0,Kherson,0.5250007699651976
FULL_count_matched_to_d0,Kramatorsk,0.7075361612119324
FULL_count_matched_to_d0,Lysychansk,0.6616785621214802
FULL_count_matched_to_d0,Makariv,0.4851613552318063
FULL_count_matched_to_d0,Mariupol,0.5724038276086294
FULL_count_matched_to_d0,Moschun,0.49783945087825787
FULL_count_matched_to_d0,Mykolaiv,0.5
FULL_count_matched_to_d0,Okhtyrka,0.5686878161014842
FULL_count_matched_to_d0,Rubizhne,0.5171050888795513
FULL_count_matched_to_d0,Sievierodonetsk,0.6686124196483851
FULL_count_matched_to_d0,Trostianets,0.4507174708778958
FULL_count_matched_to_d0,Volnovakha,0.5502486394671852
