arm,mean_folds_auc,sd_folds,mean_scenes_per_building,n_buildings
d+0,0.6343374823411724,0.061540410792027836,7.957270825014333,896542
d+30,0.6397239533192891,0.05369213087755664,8.441069130057487,896542
d+90,0.6378885231258933,0.05691424416595968,9.164691670886585,896542
d+180,0.6403308527905054,0.05612036411566172,9.725899065520634,896542
d+365,0.6420799178263639,0.06221772997674311,11.00120797464034,896542
d+730,0.6498886772823157,0.059876812691546114,12.743695220078925,896542
FULL,0.6529866102473944,0.06957368841191434,14.342829449150178,896542
FULL_count_matched_to_d0,0.6303924290443147,0.049619893404554104,7.957270825014333,896542
