city,modality,product_type,check_name,status,detail,filepath,val_min,val_max,val_mean,val_std,pct_nodata,pct_nodata_leak,crs_epsg,width_px,height_px
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220305.tif,-100.00000762939453,20.814273834228516,-11.75528913326337,9.027276557110982,7.739795918367347,0.8344671201814059,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220317.tif,-100.00000762939453,19.21674156188965,-12.763319939025395,8.922814040809657,7.739795918367347,0.8204365079365079,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220410.tif,-100.00000762939453,22.53335952758789,-9.5008071162258,9.074628210580212,7.739795918367347,0.7950680272108843,4326.0,1200.0,588.0
Makariv,CARD,flat,NODATA_LEAK,FAIL,0.8% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Makariv/s1__vv__o109__20220422.tif,-100.00000762939453,25.86176872253418,-8.6193427168896,9.017973464289645,7.739795918367347,0.7950680272108843,4326.0,1200.0,588.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20211221.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220102.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220114.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220126.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220207.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220303.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220315.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220327.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vh__o087__20220420.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
Mykolaiv,CARD,flat,NODATA_LEAK,FAIL,97.2% pixels <=-99dB (min=-100),/content/drive_f/masterthesis/data/satellite/SAR_CARD/Mykolaiv/s1__vv__o087__20211221.tif,-100.00000762939453,-100.00000762939453,-100.00000762939453,0.0,2.8307750513458005,97.1692249486542,4326.0,1914.0,1856.0
