check_name,FAIL,PASS,WARN
ALIGN_RASTER_SMALLER,0,0,25
BELOW_NESZ,0,0,25
BELOW_RANGE,0,0,23
COH_STAT_ABOVE_1,14,0,0
COH_STAT_NEGATIVE,7,0,0
CONSTANT_RASTER,0,0,16
CROSS_MOD_COVERAGE,18,3,0
CRS_OK,0,21,0
MOSTLY_NODATA,55,0,0
NODATA_LEAK,29,0,0
OK,0,2256,0
ORBIT_CARD_OK,0,21,0
PRE_POST_BALANCE,0,0,2
SATURATED,3,0,0
SPATIAL_COMPLETENESS,1,45,1
STAT_NODATA_LEAK,1,0,0
TEMPORAL_GAPS,0,17,11
TEMPORAL_GAPS_PLAN,11,5,3
ZIGZAG_CARD,6,13,0
plan_gap,2,36,2
