city,modality,product_type,n_files,size_mb
Hostomel,MASK,building_labels,1,0.2858428955078125
Hostomel,MASK,damage_mask,1,0.055877685546875
Hostomel,MS,cloud_mask,10,0.028717994689941406
Hostomel,MS,composite,48,135.9686336517334
Hostomel,MS,fire_visibility,10,0.1988544464111328
Hostomel,MS,flat,130,104.86831665039062
Hostomel,MS,nbr,10,8.279884338378906
Hostomel,MS,qa_layer,6,0.053531646728515625
Hostomel,MS,rgb,10,27.54257583618164
Hostomel,UNKNOWN,UNKNOWN,30,50.73622989654541
Irpin,CARD,block_stats,32,60.28011417388916
Irpin,CARD,flat,20,53.711058616638184
Irpin,CARD,rolling,24,63.78207778930664
Irpin,CARD,rolling_stats,16,0.23903656005859375
Irpin,CARD,temporal_stats,32,51.6371488571167
Irpin,COH,flat,18,58.46685600280762
Irpin,COH,rolling,10,31.908997535705566
Irpin,COH,temporal_stats,12,28.9932279586792
Irpin,COH,zscore,9,31.713529586791992
Irpin,MASK,building_labels,1,0.25590991973876953
Irpin,MASK,damage_mask,1,0.045291900634765625
Irpin,MS,cloud_mask,9,0.027541160583496094
Irpin,MS,composite,32,80.13989639282227
Irpin,MS,fire_visibility,9,0.23467731475830078
Irpin,MS,flat,117,73.31149959564209
Irpin,MS,nbr,9,4.89008903503418
Irpin,MS,qa_layer,5,0.053554534912109375
Irpin,MS,rgb,9,18.283592224121094
Irpin,UNKNOWN,UNKNOWN,30,39.158103942871094
Kharkiv,CARD,block_stats,64,836.322434425354
Kharkiv,CARD,flat,48,963.6747074127197
Kharkiv,CARD,rolling,104,2066.2909049987793
Kharkiv,CARD,rolling_stats,16,1.1948738098144531
Kharkiv,CARD,temporal_stats,32,384.8324966430664
Kharkiv,MASK,building_labels,1,3.3946266174316406
Kharkiv,MASK,damage_mask,1,0.4589090347290039
Kharkiv,MS,cloud_mask,15,0.25591278076171875
Kharkiv,MS,composite,48,817.275297164917
Kharkiv,MS,fire_visibility,15,1.7856473922729492
Kharkiv,MS,flat,195,912.1201314926147
Kharkiv,MS,nbr,15,77.73509407043457
Kharkiv,MS,qa_layer,6,0.4443674087524414
Kharkiv,MS,rgb,15,230.92509365081787
Kharkiv,UNKNOWN,UNKNOWN,23,257.74079418182373
Kherson,CARD,block_stats,64,264.8526258468628
Kherson,CARD,flat,56,326.62774658203125
Kherson,CARD,rolling,128,739.6773672103882
Kherson,CARD,rolling_stats,16,0.5492496490478516
Kherson,CARD,temporal_stats,32,113.11310291290283
Kherson,COH,flat,20,178.0076198577881
Kherson,COH,rolling,12,105.79501342773438
Kherson,COH,temporal_stats,6,44.828481674194336
Kherson,MASK,building_labels,1,0.44684791564941406
Kherson,MASK,damage_mask,1,0.07790851593017578
Kherson,MS,cloud_mask,19,0.07457351684570312
Kherson,MS,composite,48,224.86774921417236
Kherson,MS,fire_visibility,19,0.28253936767578125
Kherson,MS,flat,247,302.06519317626953
Kherson,MS,nbr,19,27.27960968017578
Kherson,MS,qa_layer,6,0.08269500732421875
Kherson,MS,rgb,19,81.39765453338623
Kherson,UNKNOWN,UNKNOWN,23,69.74527645111084
Kramatorsk,CARD,block_stats,272,1298.4303846359253
Kramatorsk,CARD,flat,250,1704.8313465118408
Kramatorsk,CARD,rolling,710,4720.292482376099
Kramatorsk,CARD,rolling_stats,32,54.65599346160889
Kramatorsk,CARD,temporal_stats,32,152.41057586669922
Kramatorsk,COH,flat,104,1324.7368927001953
Kramatorsk,COH,rolling,136,1683.0748090744019
Kramatorsk,COH,temporal_stats,6,61.7003059387207
Kramatorsk,MASK,building_labels,1,0.7535839080810547
Kramatorsk,MASK,damage_mask,1,0.1223897933959961
Kramatorsk,MS,cloud_mask,81,0.35758018493652344
Kramatorsk,MS,composite,48,286.7617835998535
Kramatorsk,MS,fire_visibility,81,1.717982292175293
Kramatorsk,MS,flat,1053,1520.9361057281494
Kramatorsk,MS,nbr,81,136.0199327468872
Kramatorsk,MS,qa_layer,5,0.13970565795898438
Kramatorsk,MS,rgb,81,421.53596782684326
Kramatorsk,UNKNOWN,UNKNOWN,23,83.29157447814941
Lysychansk,CARD,block_stats,32,127.13823699951172
Lysychansk,CARD,flat,16,104.84214401245117
Lysychansk,CARD,rolling,16,104.10289287567139
Lysychansk,CARD,rolling_stats,16,0.6287479400634766
Lysychansk,CARD,temporal_stats,32,127.221022605896
Lysychansk,COH,flat,10,61.26837348937988
Lysychansk,COH,rolling,3,18.01094341278076
Lysychansk,COH,temporal_stats,12,54.390146255493164
Lysychansk,COH,zscore,5,32.74245738983154
Lysychansk,MASK,building_labels,1,0.6710290908813477
Lysychansk,MASK,damage_mask,1,0.11481285095214844
Lysychansk,MS,cloud_mask,14,0.0902252197265625
Lysychansk,MS,composite,48,275.956805229187
Lysychansk,MS,fire_visibility,14,0.40585899353027344
Lysychansk,MS,flat,182,271.2962656021118
Lysychansk,MS,nbr,14,22.611942291259766
Lysychansk,MS,qa_layer,6,0.2139453887939453
Lysychansk,MS,rgb,14,69.30373668670654
Lysychansk,UNKNOWN,UNKNOWN,30,86.61482238769531
Makariv,CARD,block_stats,32,52.50162887573242
Makariv,CARD,flat,18,48.74694538116455
Makariv,CARD,rolling,20,53.5784330368042
Makariv,CARD,rolling_stats,16,0.3247814178466797
Makariv,CARD,temporal_stats,32,52.61921787261963
Makariv,MASK,building_labels,1,0.12446117401123047
Makariv,MASK,damage_mask,1,0.027805328369140625
Makariv,MS,cloud_mask,11,0.03162956237792969
Makariv,MS,composite,32,65.96261978149414
Makariv,MS,fire_visibility,11,0.19083213806152344
Makariv,MS,flat,143,87.18786430358887
Makariv,MS,nbr,11,6.592792510986328
Makariv,MS,qa_layer,5,0.04456329345703125
Makariv,MS,rgb,11,21.38877296447754
Makariv,UNKNOWN,UNKNOWN,23,31.633830070495605
