city,modality,product_type,check_name,status,detail,filepath
Orikhiv,CARD,flat,plan_gap,FAIL,CARD: 18 TIFs missing on disk but plan says on_disk/extracted,
Orikhiv,MS,flat,plan_gap,PASS,MS: 23/23 complete,
Pisky,CARD,flat,plan_gap,FAIL,CARD: 22 TIFs missing on disk but plan says on_disk/extracted,
Pisky,MS,flat,plan_gap,PASS,MS: 19/19 complete,
Popasna,CARD,flat,plan_gap,FAIL,CARD: 11 TIFs missing on disk but plan says on_disk/extracted,
Popasna,MS,flat,plan_gap,PASS,MS: 13/13 complete,
Robotyne,CARD,flat,plan_gap,FAIL,CARD: 14 TIFs missing on disk but plan says on_disk/extracted,
Robotyne,MS,flat,plan_gap,PASS,MS: 21/21 complete,
Rubizhne,CARD,flat,plan_gap,PASS,CARD: 13/13 complete,
Rubizhne,MS,flat,plan_gap,PASS,MS: 13/13 complete,
Sievierodonetsk,CARD,flat,plan_gap,FAIL,CARD: 4 TIFs missing on disk but plan says on_disk/extracted,
Sievierodonetsk,MS,flat,plan_gap,PASS,MS: 15/15 complete,
Sloviansk,CARD,flat,plan_gap,WARN,CARD: 14/14 not yet downloaded (expected gap),
Sloviansk,MS,flat,plan_gap,PASS,MS: 20/20 complete,
Soledar,CARD,flat,plan_gap,FAIL,CARD: 23 TIFs missing on disk but plan says on_disk/extracted,
Soledar,MS,flat,plan_gap,PASS,MS: 22/22 complete,
Toretsk,CARD,flat,plan_gap,FAIL,CARD: 120 TIFs missing on disk but plan says on_disk/extracted,
Toretsk,MS,flat,plan_gap,WARN,MS: 1/46 not yet downloaded (expected gap),
Trostianets,CARD,flat,plan_gap,PASS,CARD: 9/9 complete,
Trostianets,MS,flat,plan_gap,PASS,MS: 17/17 complete,
Volnovakha,CARD,flat,plan_gap,PASS,CARD: 8/8 complete,
Volnovakha,MS,flat,plan_gap,PASS,MS: 12/12 complete,
Vovchansk,CARD,flat,plan_gap,FAIL,CARD: 61 TIFs missing on disk but plan says on_disk/extracted,
Vovchansk,MS,flat,plan_gap,WARN,MS: 14/84 not yet downloaded (expected gap),
Vuhledar,CARD,flat,plan_gap,FAIL,CARD: 83 TIFs missing on disk but plan says on_disk/extracted,
Vuhledar,MS,flat,plan_gap,PASS,MS: 115/115 complete,
Zaporizhzhia,CARD,flat,plan_gap,WARN,CARD: 129/129 not yet downloaded (expected gap),
Zaporizhzhia,MS,flat,plan_gap,WARN,MS: 51/58 not yet downloaded (expected gap),
Zolote,CARD,flat,plan_gap,FAIL,CARD: 10 TIFs missing on disk but plan says on_disk/extracted,
Zolote,MS,flat,plan_gap,PASS,MS: 18/18 complete,
