city,modality,product_type,check_name,status,detail,filepath,val_min,val_max,val_mean,val_std,pct_nodata,crs_epsg,width_px,height_px
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__count.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__count.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__kurtosis.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__kurtosis.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__min.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__min.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__skewness.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__skewness.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__min.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__min.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__mean.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__mean.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__count.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__count.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__kurtosis.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__kurtosis.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__max.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vh__roll3__assessment__max.tif,,,,,,,,
Okhtyrka,CARD,rolling_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__std.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/CARD/rolling_stats/s1__vv__roll3__assessment__std.tif,,,,,,,,
Okhtyrka,COH,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_COH/Okhtyrka/coherence_baseline/s1__coh__baseline__std.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_COH/Okhtyrka/coherence_baseline/s1__coh__baseline__std.tif,,,,,,,,
Okhtyrka,CARD,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vv__baseline__count.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vv__baseline__count.tif,,,,,,,,
Okhtyrka,CARD,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vv__baseline__kurtosis.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vv__baseline__kurtosis.tif,,,,,,,,
Okhtyrka,COH,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_COH/Okhtyrka/coherence_baseline/s1__coh__baseline__min.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_COH/Okhtyrka/coherence_baseline/s1__coh__baseline__min.tif,,,,,,,,
Okhtyrka,COH,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_COH/Okhtyrka/coherence_baseline/s1__coh__baseline__mean.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_COH/Okhtyrka/coherence_baseline/s1__coh__baseline__mean.tif,,,,,,,,
Okhtyrka,COH,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/post_baseline/s1__coh__post_baseline__mean.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/post_baseline/s1__coh__post_baseline__mean.tif,,,,,,,,
Okhtyrka,CARD,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__assessment__median.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__assessment__median.tif,,,,,,,,
Okhtyrka,CARD,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__baseline__median.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__baseline__median.tif,,,,,,,,
Okhtyrka,CARD,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__baseline__count.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__baseline__count.tif,,,,,,,,
Okhtyrka,CARD,temporal_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__assessment__mean.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/SAR_CARD/Okhtyrka/temporal_stats/s1__vh__assessment__mean.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20211223.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20211223.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220104.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220104.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220116.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220116.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220128.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220128.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220209.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220209.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220305.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220305.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220317.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220317.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220329.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220329.tif,,,,,,,,
Okhtyrka,COH,zscore,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220422.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Okhtyrka/COH/zscore/s1__coh_vv__zscore__20220422.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__min.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__min.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__std.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__std.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__count.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__count.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk01__kurtosis.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk01__kurtosis.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__count.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__count.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__kurtosis.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__kurtosis.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__skewness.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__skewness.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__kurtosis.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vv__blk_pre01__kurtosis.tif,,,,,,,,
Rubizhne,CARD,block_stats,READ_ERROR,FAIL,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__median.tif: No such file or directory,/content/drive_f/masterthesis/data/satellite/temporal_products/Rubizhne/CARD/block_stats/s1__vh__blk_pre01__median.tif,,,,,,,,
