auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid,city,feature,source,product
0.5779889620163503,0.5779889620163503,higher=damaged,58752.0,0.012422849787066271,-13.962209701538086,-15.445280075073242,1186,Avdiivka,s1__vh__card_prepost__post,card_prepost,P7b
0.5748999006384716,0.5748999006384716,higher=damaged,58438.0,0.0163559239878375,-1.2084275484085083,-2.521885633468628,1186,Avdiivka,s1__vv__card_prepost__delta,card_prepost,P7b
0.4530098672884141,0.5469901327115859,lower=damaged,46048.0,0.13201994380175605,-6.458807945251465,-5.896974086761475,1186,Avdiivka,s1__vv__card_prepost__pre,card_prepost,P7b
0.5399856368483703,0.5399856368483703,higher=damaged,54889.0,0.19996755326365878,-2.027416706085205,-2.734989881515503,1186,Avdiivka,s1__vh__card_prepost__delta,card_prepost,P7b
0.5385394839103189,0.5385394839103189,higher=damaged,54742.0,0.2167243299720384,-11.934796333312988,-12.71028995513916,1186,Avdiivka,s1__vh__card_prepost__pre,card_prepost,P7b
0.5327155210577577,0.5327155210577577,higher=damaged,54150.0,0.2943672475025939,-7.667236328125,-8.418859481811523,1186,Avdiivka,s1__vv__card_prepost__post,card_prepost,P7b
0.5437547403016939,0.5437547403016939,higher=damaged,154857.0,0.04731982609337783,-3.143003225326538,-3.9369723796844482,1662,Bucha,s1__vv__card_prepost__pre,card_prepost,P7b
0.45901921402286583,0.5409807859771342,lower=damaged,130725.0,0.0632149767028193,-12.107751846313477,-11.701020240783691,1662,Bucha,s1__vh__card_prepost__post,card_prepost,P7b
0.46297297676901045,0.5370270232309895,lower=damaged,131851.0,0.09326064663562869,-1.1654565334320068,-0.7985637187957764,1662,Bucha,s1__vv__card_prepost__delta,card_prepost,P7b
0.5301132054271187,0.5301132054271187,higher=damaged,150972.0,0.17224573079958694,-4.308459758758545,-4.735536575317383,1662,Bucha,s1__vv__card_prepost__post,card_prepost,P7b
0.47353858254445347,0.5264614174555465,lower=damaged,134860.0,0.2303417084253193,-12.007994651794434,-11.660749435424805,1662,Bucha,s1__vh__card_prepost__pre,card_prepost,P7b
0.4927139807297958,0.5072860192702042,lower=damaged,140321.0,0.7412390926397412,-0.09975574165582657,-0.040271155536174774,1662,Bucha,s1__vh__card_prepost__delta,card_prepost,P7b
0.5351497352520346,0.5351497352520346,higher=damaged,469763.0,0.03142284552748085,2.0133237838745117,1.7029756307601929,2810,Chernihiv,s1__vv__card_prepost__delta,card_prepost,P7b
0.5254153490025244,0.5254153490025244,higher=damaged,461218.0,0.11976032346406593,-4.399275302886963,-4.608102321624756,2810,Chernihiv,s1__vv__card_prepost__post,card_prepost,P7b
0.47910496049285956,0.5208950395071404,lower=damaged,420566.0,0.20087345154537772,-12.222700119018555,-11.933995246887207,2810,Chernihiv,s1__vh__card_prepost__post,card_prepost,P7b
