method,auc,f1,type,n_features
Dietrich 2025 (paper),0.813,0.749,paper,28
Ballinger 2024 PWTT (paper),0.87,,paper,1
B0_single_s1_coh_drop_countM,0.8289973355040072,,unsupervised,1
B0_single_s1_coh_max_dropM,0.8091917870692514,,unsupervised,1
B0_single_s1_coh_max_dropX,0.7854384958274554,,unsupervised,1
B0_single_s1_coh_running_minM,0.817747463540232,,unsupervised,1
B0_single_s1_coh_running_minX,0.823684370220048,,unsupervised,1
B0_single_s1_vh_kurtosis,0.5622234198520462,,unsupervised,1
B0_single_s1_vh_max,0.5754492807978583,,unsupervised,1
B0_single_s1_vh_mean,0.5224759023693848,,unsupervised,1
B0_single_s1_vh_median,0.6402571614016472,,unsupervised,1
B0_single_s1_vh_min,0.6239388676802405,,unsupervised,1
B0_single_s1_vh_skewness,0.5717037372130125,,unsupervised,1
B0_single_s1_vh_std,0.5610997404218738,,unsupervised,1
B0_single_s1_vv_kurtosis,0.5723417286731256,,unsupervised,1
B0_single_s1_vv_max,0.5659336497010401,,unsupervised,1
B0_single_s1_vv_mean,0.48935024794247056,,unsupervised,1
B0_single_s1_vv_median,0.632186090928827,,unsupervised,1
B0_single_s1_vv_min,0.60073487676702,,unsupervised,1
B0_single_s1_vv_skewness,0.5613558764218787,,unsupervised,1
B0_single_s1_vv_std,0.5495864390378823,,unsupervised,1
B1_PWTT_VH_exact,0.5733681641054026,,unsupervised,1
B1_PWTT_VV+VH,0.5456191379375988,,unsupervised,2
B1_PWTT_VV_exact,0.5711952140799923,,unsupervised,1
B2_CCD_exact_vh,0.4861976655263809,,unsupervised,1
B2_CCD_exact_vv,0.47994367076825006,,unsupervised,1
B3_logratio_BAEI,0.5668219418649276,,unsupervised,1
B3_logratio_BSI,0.6231529239435386,,unsupervised,1
B3_logratio_IBI,0.5011502176114206,,unsupervised,1
B3_logratio_MNDWI,0.2739036900588485,,unsupervised,1
B3_logratio_NDBI,0.6263474531887225,,unsupervised,1
B3_logratio_NDSI,0.2739036900588485,,unsupervised,1
B3_logratio_NDVI,0.660706416281496,,unsupervised,1
B3_logratio_SAVI,0.648713904783242,,unsupervised,1
B3_logratio_UI,0.5899706892015268,,unsupervised,1
B3_logratio_VH,0.6671137775693625,,unsupervised,1
B3_logratio_VV,0.681149122463606,,unsupervised,1
B4_step1_card,0.6513286371789955,,unsupervised_combined,14
B4_step2_card+coh,0.5721801616017013,,unsupervised_combined,21
B4_step3_card+coh+optical,0.5511761465636754,,unsupervised_combined,24
B4_step4_all+methods,0.6083070928064443,,unsupervised_combined,34
B5_UISEM_all_features,0.7395001445725922,0.010359869138495093,supervised,915
B5_sub_GBM,0.8076423199416678,0.013159626266614028,supervised,915
B5_sub_RF,0.6208657711930357,0.014321627180620095,supervised,915
B5_sub_XGB,0.7351607455623612,0.05508274231678487,supervised,915
B6_AdaBoost_alone,0.7936905409658794,0.0,supervised,915
B6_UISEM_no_AdaBoost,0.702445937832879,0.011417697431018078,supervised,915
B7_UISEM_all_multimodal,0.7024458169466371,0.011417697431018078,supervised,915
B7_UISEM_card+coh,0.6969886391833461,0.012165450121654502,supervised,780
B7_UISEM_card+coh+delta,0.6969886391833461,0.012165450121654502,supervised,780
B7_UISEM_card+ms,0.7162411901555579,0.011170140307859965,supervised,885
B7_UISEM_card_only,0.7336402829726092,0.02404227212681638,supervised,750
B7_UISEM_coh+ms,0.688314854706523,0.011922503725782414,supervised,165
B7_UISEM_coh_only,0.6137886035205519,0.013227513227513227,supervised,30
B7_UISEM_ms_only,0.5899315158909838,0.005376344086021506,supervised,135
