label,auc,auc_std,f1,precision,recall,n,n_groups,n_features,dataset,feature_set,classifier,row
BDA__RGB+CARD__AdaBoost,0.7373420349746298,0.03156322580205826,0.0,0.0,0.0,598595,21,31,BDA,RGB+CARD,AdaBoost,BDA__RGB+CARD
BDA__RGB+CARD__LogReg,0.7506362133169763,0.1272543290729336,0.05331929467576025,0.027868294945122895,0.6147026732133115,598595,21,31,BDA,RGB+CARD,LogReg,BDA__RGB+CARD
BDA__RGB+CARD__LightGBM,0.7062172039046868,0.10224470882945874,0.05896617936183722,0.031235057177822625,0.5256410256410257,598595,21,31,BDA,RGB+CARD,LightGBM,BDA__RGB+CARD
BDA__RGB+CARD__XGBoost,0.6561671097475961,0.044537378553510386,0.0024311183144246355,0.125,0.0012274959083469722,598595,21,31,BDA,RGB+CARD,XGBoost,BDA__RGB+CARD
BDA__RGB+CARD__UISEM_voting,0.5442330563770383,0.07573955383952767,0.0016297704739915795,0.1935483870967742,0.0008183306055646482,598595,21,31,BDA,RGB+CARD,UISEM_voting,BDA__RGB+CARD
BDA__COH_DROP__RF-200,0.5483021886339691,0.061747737863671485,0.0,0.0,0.0,21434,12,19,BDA,COH_DROP,RF-200,BDA__COH_DROP
BDA__COH_DROP__ExtraTrees,0.6116785487068624,0.06489855736163358,0.019704433497536946,0.02743142144638404,0.015373864430468204,21434,12,19,BDA,COH_DROP,ExtraTrees,BDA__COH_DROP
BDA__COH_DROP__GBM,0.4382219676133136,0.08914669032167372,0.028639618138424822,0.024986985944820406,0.033542976939203356,21434,12,19,BDA,COH_DROP,GBM,BDA__COH_DROP
BDA__COH_DROP__AdaBoost,0.5627088326688103,0.10738886312076049,0.0,0.0,0.0,21434,12,19,BDA,COH_DROP,AdaBoost,BDA__COH_DROP
BDA__COH_DROP__LogReg,0.6458498031724311,0.07837088497730473,0.18631137853228752,0.11008125952260031,0.6058700209643606,21434,12,19,BDA,COH_DROP,LogReg,BDA__COH_DROP
BDA__COH_DROP__LightGBM,0.46957028772728115,0.04849915162995944,0.05851874428527888,0.05189189189189189,0.06708595387840671,21434,12,19,BDA,COH_DROP,LightGBM,BDA__COH_DROP
BDA__COH_DROP__XGBoost,0.465214110266409,0.0662490824499994,0.0,0.0,0.0,21434,12,19,BDA,COH_DROP,XGBoost,BDA__COH_DROP
BDA__COH_DROP__UISEM_voting,0.5123338417476372,0.08113265829968,0.0,0.0,0.0,21434,12,19,BDA,COH_DROP,UISEM_voting,BDA__COH_DROP
BDA__COH_DROP+RGB__RF-200,0.6277056831794644,0.0697630143331002,0.13304853888063398,0.08214831804281346,0.3497721354166667,205942,12,38,BDA,COH_DROP+RGB,RF-200,BDA__COH_DROP+RGB
BDA__COH_DROP+RGB__ExtraTrees,0.6443329340596242,0.06222626053383449,0.14748397654438838,0.0932810074176298,0.35205078125,205942,12,38,BDA,COH_DROP+RGB,ExtraTrees,BDA__COH_DROP+RGB
BDA__COH_DROP+RGB__GBM,0.6484560213106905,0.03590404208422346,0.018407960199004977,0.039029535864978905,0.012044270833333334,205942,12,38,BDA,COH_DROP+RGB,GBM,BDA__COH_DROP+RGB
BDA__COH_DROP+RGB__AdaBoost,0.7308881099141904,0.028377577393173904,0.0,0.0,0.0,205942,12,38,BDA,COH_DROP+RGB,AdaBoost,BDA__COH_DROP+RGB
BDA__COH_DROP+RGB__LogReg,0.7391496767529475,0.03931985700357324,0.16391004436238685,0.09728183118741059,0.5201822916666666,205942,12,38,BDA,COH_DROP+RGB,LogReg,BDA__COH_DROP+RGB
BDA__COH_DROP+RGB__LightGBM,0.640834501554252,0.06591189905686358,0.11466415863312172,0.06517865098458522,0.4762369791666667,205942,12,38,BDA,COH_DROP+RGB,LightGBM,BDA__COH_DROP+RGB
BDA__COH_DROP+RGB__XGBoost,0.6259719228041416,0.04169034823030105,0.004515400741815836,0.24561403508771928,0.0022786458333333335,205942,12,38,BDA,COH_DROP+RGB,XGBoost,BDA__COH_DROP+RGB
BDA__COH_DROP+RGB__UISEM_voting,0.6247775332838771,0.07253913796757144,0.01430615164520744,0.30612244897959184,0.00732421875,205942,12,38,BDA,COH_DROP+RGB,UISEM_voting,BDA__COH_DROP+RGB
BDA__COH_DROP+CARD__RF-200,0.6156181207239313,0.055090025000600715,0.035339398180545836,0.3494809688581315,0.01861065045144647,130789,12,31,BDA,COH_DROP+CARD,RF-200,BDA__COH_DROP+CARD
BDA__COH_DROP+CARD__ExtraTrees,0.6101740981482285,0.05894958432624766,0.1482641607935265,0.1404549950544016,0.15699281370923163,130789,12,31,BDA,COH_DROP+CARD,ExtraTrees,BDA__COH_DROP+CARD
BDA__COH_DROP+CARD__GBM,0.6050467475819655,0.04776344553060344,0.019593507822781107,0.04745042492917847,0.012345679012345678,130789,12,31,BDA,COH_DROP+CARD,GBM,BDA__COH_DROP+CARD
BDA__COH_DROP+CARD__AdaBoost,0.686816432348238,0.03429134026388851,0.0,0.0,0.0,130789,12,31,BDA,COH_DROP+CARD,AdaBoost,BDA__COH_DROP+CARD
BDA__COH_DROP+CARD__LogReg,0.6924227848900644,0.04594396611882321,0.14686589784271473,0.0842617249062551,0.5714022480191634,130789,12,31,BDA,COH_DROP+CARD,LogReg,BDA__COH_DROP+CARD
BDA__COH_DROP+CARD__LightGBM,0.6290941249876492,0.051452506800699044,0.14462824430161908,0.08934305302438601,0.37939929979730974,130789,12,31,BDA,COH_DROP+CARD,LightGBM,BDA__COH_DROP+CARD
BDA__COH_DROP+CARD__XGBoost,0.6108296729773947,0.04605897000660924,0.007266121707538601,0.2564102564102564,0.0036852773171181133,130789,12,31,BDA,COH_DROP+CARD,XGBoost,BDA__COH_DROP+CARD
BDA__COH_DROP+CARD__UISEM_voting,0.619354249117956,0.05216535167899724,0.006210045662100457,0.3541666666666667,0.0031324857195503962,130789,12,31,BDA,COH_DROP+CARD,UISEM_voting,BDA__COH_DROP+CARD
BDA__COH_DROP+RGB+CARD__RF-200,0.531995066889303,0.07753715635696572,0.06884353741496599,0.20978441127694858,0.041178385416666664,205942,12,50,BDA,COH_DROP+RGB+CARD,RF-200,BDA__COH_DROP+RGB+CARD
BDA__COH_DROP+RGB+CARD__ExtraTrees,0.6475965151072114,0.04608067840000522,0.16822125813449024,0.12613858165256994,0.25244140625,205942,12,50,BDA,COH_DROP+RGB+CARD,ExtraTrees,BDA__COH_DROP+RGB+CARD
BDA__COH_DROP+RGB+CARD__GBM,0.6678098875632619,0.029355328327766578,0.019910657306955966,0.046126552335895916,0.0126953125,205942,12,50,BDA,COH_DROP+RGB+CARD,GBM,BDA__COH_DROP+RGB+CARD
BDA__COH_DROP+RGB+CARD__AdaBoost,0.738145489916821,0.02941787964078714,0.0,0.0,0.0,205942,12,50,BDA,COH_DROP+RGB+CARD,AdaBoost,BDA__COH_DROP+RGB+CARD
BDA__COH_DROP+RGB+CARD__LogReg,0.7483272546189619,0.03948951403581046,0.1404248419004378,0.08020003704389701,0.5638020833333334,205942,12,50,BDA,COH_DROP+RGB+CARD,LogReg,BDA__COH_DROP+RGB+CARD
BDA__COH_DROP+RGB+CARD__LightGBM,0.6557904534198029,0.03949514692167429,0.13373810750006776,0.08023025139028911,0.4015299479166667,205942,12,50,BDA,COH_DROP+RGB+CARD,LightGBM,BDA__COH_DROP+RGB+CARD
BDA__COH_DROP+RGB+CARD__XGBoost,0.652526431252857,0.03663620790385852,0.008685861347917002,0.3698630136986301,0.00439453125,205942,12,50,BDA,COH_DROP+RGB+CARD,XGBoost,BDA__COH_DROP+RGB+CARD
BDA__COH_DROP+RGB+CARD__UISEM_voting,0.5668108892357583,0.07001845387497972,0.008041170794467674,0.33783783783783783,0.004069010416666667,205942,12,50,BDA,COH_DROP+RGB+CARD,UISEM_voting,BDA__COH_DROP+RGB+CARD
