file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_NB08b_BDA_COH_DROP+RGB_AdaBoost__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_AdaBoost,dataset=BDA;feature_set=COH_DROP+RGB;classifier=AdaBoost,205942,0,6144,0,199798
oof_NB08b_BDA_COH_DROP+RGB_ExtraTrees__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_ExtraTrees,dataset=BDA;feature_set=COH_DROP+RGB;classifier=ExtraTrees,205942,2163,3981,21025,178773
oof_NB08b_BDA_COH_DROP+RGB_GBM__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_GBM,dataset=BDA;feature_set=COH_DROP+RGB;classifier=GBM,205942,74,6070,1822,197976
oof_NB08b_BDA_COH_DROP+RGB_LightGBM__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_LightGBM,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LightGBM,205942,2926,3218,41966,157832
oof_NB08b_BDA_COH_DROP+RGB_LogReg__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_LogReg,dataset=BDA;feature_set=COH_DROP+RGB;classifier=LogReg,205942,3196,2948,29657,170141
oof_NB08b_BDA_COH_DROP+RGB_RF-200__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_RF-200,dataset=BDA;feature_set=COH_DROP+RGB;classifier=RF-200,205942,2149,3995,24011,175787
oof_NB08b_BDA_COH_DROP+RGB_UISEM_voting__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_UISEM_voting,dataset=BDA;feature_set=COH_DROP+RGB;classifier=UISEM_voting,205942,45,6099,102,199696
oof_NB08b_BDA_COH_DROP+RGB_XGBoost__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP+RGB_XGBoost,dataset=BDA;feature_set=COH_DROP+RGB;classifier=XGBoost,205942,14,6130,43,199755
oof_NB08b_BDA_COH_DROP_AdaBoost__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_AdaBoost,dataset=BDA;feature_set=COH_DROP;classifier=AdaBoost,21434,0,1431,0,20003
oof_NB08b_BDA_COH_DROP_ExtraTrees__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_ExtraTrees,dataset=BDA;feature_set=COH_DROP;classifier=ExtraTrees,21434,22,1409,780,19223
oof_NB08b_BDA_COH_DROP_GBM__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_GBM,dataset=BDA;feature_set=COH_DROP;classifier=GBM,21434,48,1383,1873,18130
oof_NB08b_BDA_COH_DROP_LightGBM__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_LightGBM,dataset=BDA;feature_set=COH_DROP;classifier=LightGBM,21434,96,1335,1754,18249
oof_NB08b_BDA_COH_DROP_LogReg__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_LogReg,dataset=BDA;feature_set=COH_DROP;classifier=LogReg,21434,867,564,7009,12994
oof_NB08b_BDA_COH_DROP_RF-200__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_RF-200,dataset=BDA;feature_set=COH_DROP;classifier=RF-200,21434,0,1431,7,19996
oof_NB08b_BDA_COH_DROP_UISEM_voting__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_UISEM_voting,dataset=BDA;feature_set=COH_DROP;classifier=UISEM_voting,21434,0,1431,1,20002
oof_NB08b_BDA_COH_DROP_XGBoost__20260424_062449_51866a.parquet,NB08b_BDA_COH_DROP_XGBoost,dataset=BDA;feature_set=COH_DROP;classifier=XGBoost,21434,0,1431,13,19990
oof_NB08b_BDA_RGB+CARD_AdaBoost__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_AdaBoost,dataset=BDA;feature_set=RGB+CARD;classifier=AdaBoost,598595,0,7332,0,591263
oof_NB08b_BDA_RGB+CARD_ExtraTrees__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_ExtraTrees,dataset=BDA;feature_set=RGB+CARD;classifier=ExtraTrees,598595,2003,5329,31426,559837
oof_NB08b_BDA_RGB+CARD_GBM__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_GBM,dataset=BDA;feature_set=RGB+CARD;classifier=GBM,598595,42,7290,11832,579431
oof_NB08b_BDA_RGB+CARD_LightGBM__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_LightGBM,dataset=BDA;feature_set=RGB+CARD;classifier=LightGBM,598595,3854,3478,119533,471730
oof_NB08b_BDA_RGB+CARD_LogReg__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_LogReg,dataset=BDA;feature_set=RGB+CARD;classifier=LogReg,598595,4507,2825,157218,434045
oof_NB08b_BDA_RGB+CARD_RF-200__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_RF-200,dataset=BDA;feature_set=RGB+CARD;classifier=RF-200,598595,152,7180,1241,590022
oof_NB08b_BDA_RGB+CARD_UISEM_voting__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_UISEM_voting,dataset=BDA;feature_set=RGB+CARD;classifier=UISEM_voting,598595,6,7326,25,591238
oof_NB08b_BDA_RGB+CARD_XGBoost__20260424_062449_51866a.parquet,NB08b_BDA_RGB+CARD_XGBoost,dataset=BDA;feature_set=RGB+CARD;classifier=XGBoost,598595,9,7323,63,591200
oof_NB08b_BDA_RGB_AdaBoost__20260424_062449_51866a.parquet,NB08b_BDA_RGB_AdaBoost,dataset=BDA;feature_set=RGB;classifier=AdaBoost,598595,0,7332,0,591263
oof_NB08b_BDA_RGB_ExtraTrees__20260424_062449_51866a.parquet,NB08b_BDA_RGB_ExtraTrees,dataset=BDA;feature_set=RGB;classifier=ExtraTrees,598595,3703,3629,110281,480982
oof_NB08b_BDA_RGB_GBM__20260424_062449_51866a.parquet,NB08b_BDA_RGB_GBM,dataset=BDA;feature_set=RGB;classifier=GBM,598595,10,7322,48,591215
oof_NB08b_BDA_RGB_LightGBM__20260424_062449_51866a.parquet,NB08b_BDA_RGB_LightGBM,dataset=BDA;feature_set=RGB;classifier=LightGBM,598595,4643,2689,162300,428963
oof_NB08b_BDA_RGB_LogReg__20260424_062449_51866a.parquet,NB08b_BDA_RGB_LogReg,dataset=BDA;feature_set=RGB;classifier=LogReg,598595,3367,3965,79709,511554
oof_NB08b_BDA_RGB_RF-200__20260424_062449_51866a.parquet,NB08b_BDA_RGB_RF-200,dataset=BDA;feature_set=RGB;classifier=RF-200,598595,3930,3402,118368,472895
oof_NB08b_BDA_RGB_UISEM_voting__20260424_062449_51866a.parquet,NB08b_BDA_RGB_UISEM_voting,dataset=BDA;feature_set=RGB;classifier=UISEM_voting,598595,8,7324,31,591232
oof_NB08b_BDA_RGB_XGBoost__20260424_062449_51866a.parquet,NB08b_BDA_RGB_XGBoost,dataset=BDA;feature_set=RGB;classifier=XGBoost,598595,0,7332,0,591263
oof_NB08b_BRIGHT_all_AdaBoost__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_AdaBoost,dataset=BRIGHT;feature_set=all;classifier=AdaBoost,92423,0,14126,0,78297
oof_NB08b_BRIGHT_all_ExtraTrees__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_ExtraTrees,dataset=BRIGHT;feature_set=all;classifier=ExtraTrees,92423,6650,7476,24829,53468
oof_NB08b_BRIGHT_all_GBM__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_GBM,dataset=BRIGHT;feature_set=all;classifier=GBM,92423,939,13187,1671,76626
oof_NB08b_BRIGHT_all_LightGBM__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_LightGBM,dataset=BRIGHT;feature_set=all;classifier=LightGBM,92423,7845,6281,32729,45568
oof_NB08b_BRIGHT_all_LogReg__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_LogReg,dataset=BRIGHT;feature_set=all;classifier=LogReg,92423,8616,5510,28519,49778
oof_NB08b_BRIGHT_all_RF-200__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_RF-200,dataset=BRIGHT;feature_set=all;classifier=RF-200,92423,3077,11049,10930,67367
oof_NB08b_BRIGHT_all_UISEM_voting__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_UISEM_voting,dataset=BRIGHT;feature_set=all;classifier=UISEM_voting,92423,1339,12787,2801,75496
oof_NB08b_BRIGHT_all_XGBoost__20260424_062449_51866a.parquet,NB08b_BRIGHT_all_XGBoost,dataset=BRIGHT;feature_set=all;classifier=XGBoost,92423,1064,13062,2100,76197
oof_NB08b_xBD_RGB_AdaBoost__20260422_152038_51866a.parquet,NB08b_xBD_RGB_AdaBoost,dataset=xBD;feature_set=RGB;classifier=AdaBoost,70931,952,21607,1107,47265
oof_NB08b_xBD_RGB_AdaBoost__20260424_062449_51866a.parquet,NB08b_xBD_RGB_AdaBoost,dataset=xBD;feature_set=RGB;classifier=AdaBoost,70931,952,21607,1107,47265
oof_NB08b_xBD_RGB_ExtraTrees__20260422_152038_51866a.parquet,NB08b_xBD_RGB_ExtraTrees,dataset=xBD;feature_set=RGB;classifier=ExtraTrees,70931,10401,12158,10630,37742
