city,feature,n,mean,std,skewness,kurtosis,shapiro_stat,shapiro_p,is_normal_005,pct_nan
Avdiivka,s2__qa__cloud_freq__crossbattle,1186,9.8809025e-05,0.0019030066,22.143423,526.69073,0.027129445044007383,1.0529881655515352e-60,False,0.0
Avdiivka,s2__visibility__clear__freq__crossbattle,1186,0.998261,0.0143054975,-16.741476,395.88107,0.09478477947778408,1.9943361910293402e-59,False,0.0
Avdiivka,s2__visibility__cloud__freq__crossbattle,1186,0.0011593592,0.009536998,10.563542,147.55568,0.09808860579537171,2.3132659254512406e-59,False,0.0
Avdiivka,s2__visibility__fire__freq__crossbattle,1186,0.00010539629,0.0025654843,24.289948,588.00165,0.01801282793981962,7.179677200738041e-61,False,0.0
Avdiivka,s2__visibility__smoke__freq__crossbattle,1186,0.0002634907,0.0040512444,15.303736,232.20428,0.03700687845345352,1.600008020934673e-60,False,0.0
Avdiivka,s2__composite__b02__post_winter_baseline,1186,0.3393402,0.105633415,1.3887693,2.777063,0.9045184838528165,1.39826660383845e-26,False,0.0
Avdiivka,s2__composite__b03__post_winter_baseline,1186,0.33877718,0.10321188,1.4410024,2.8827786,0.8959200588131098,1.3697545401477612e-27,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline,1186,0.35234097,0.105046704,1.3734974,2.6352973,0.9039034101778483,1.1779896519252442e-26,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline,1186,0.37264144,0.09357525,1.1946776,2.2718658,0.9271135924733916,1.5013949205168192e-23,False,0.0
Avdiivka,s2__composite__b07__post_winter_baseline,1186,0.38754407,0.082256354,1.3058196,3.1079745,0.9235921818523092,4.5810689421729024e-24,False,0.0
Avdiivka,s2__composite__b08__post_winter_baseline,1186,0.39849237,0.098634556,1.340723,2.8828363,0.9164444407935809,4.6508660270571445e-25,False,0.0
Avdiivka,s2__composite__b11__post_winter_baseline,1186,0.22383249,0.02232996,0.52049124,1.1990008,0.9755291902299011,2.773947343359111e-13,False,0.0
Avdiivka,s2__composite__b12__post_winter_baseline,1186,0.20495099,0.015744125,0.82584864,3.5280838,0.9501969175367622,1.3170985092644205e-19,False,0.0
Avdiivka,s2__composite__b8a__post_winter_baseline,1186,0.39434406,0.078952484,1.2263718,2.843925,0.931264045289773,6.438700883005994e-23,False,0.0
Avdiivka,s2__composite__cire__post_winter_baseline,1186,0.05064567,0.06789195,0.9223238,0.8126793,0.9430275058390509,5.906436679620042e-21,False,0.0
Avdiivka,s2__composite__mndwi__post_winter_baseline,1186,0.18246771,0.14823405,0.25463876,-0.2472837,0.9928914951053478,1.8239480806998144e-05,False,0.0
Avdiivka,s2__composite__ndbi__post_winter_baseline,1186,-0.26592106,0.115397766,-0.38824525,-0.059515953,0.9882944841657175,3.884830933210631e-08,False,0.0
Avdiivka,s2__composite__ndre__post_winter_baseline,1186,0.033340737,0.037473492,0.7005797,0.47566605,0.9671575822357767,9.721855246913889e-16,False,0.0
Avdiivka,s2__composite__ndvi__post_winter_baseline,1186,0.06705654,0.046104856,0.8047005,1.0572433,0.9622506732132231,5.565444366977783e-17,False,0.0
Avdiivka,s2__composite__ndwi__post_winter_baseline,1186,-0.08712101,0.050194573,-0.5128209,0.8147893,0.9849769377390829,1.0199897011046156e-09,False,0.0
Avdiivka,s2__obs_count__post_winter_baseline,1186,2.5952783,0.49104515,-0.38822693,-1.8492796,0.6232612616943629,5.212336240189537e-45,False,0.0
Avdiivka,s2__qa__cloud_freq__postbattle,1186,0.08541316,0.097772494,0.31631202,-1.8390069,0.6544585697913439,1.0635638370202035e-43,False,0.0
Avdiivka,s2__visibility__clear__freq__postbattle,1186,0.91096133,0.10011598,-0.26092422,-1.8262447,0.6404480899175818,2.673156842071867e-44,False,0.0
