city,feature,auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid
Avdiivka,s2__composite__ndbi__delta,0.3707955808714301,0.62920441912857,lower=damaged,37691.0,3.447551246475911e-05,-0.33907425,-0.2712532,1186
Avdiivka,s2__composite__ndvi__delta,0.6286043148481539,0.6286043148481539,higher=damaged,63897.0,3.748584931170237e-05,-0.052326024,-0.07245719,1186
Avdiivka,s2__composite__b08__post_winter_baseline,0.6185255142696928,0.6185255142696928,higher=damaged,62872.5,0.0001450684893422603,0.44589627,0.39445895,1186
Avdiivka,s2__composite__b05__post_winter_baseline,0.6137886255644424,0.6137886255644424,higher=damaged,62391.0,0.00026479040284349293,0.41201445,0.3692913,1186
Avdiivka,s2__composite__ndwi__delta,0.3900677822703617,0.6099322177296382,lower=damaged,39650.0,0.0004252602652555483,0.06705749,0.0886118,1186
Avdiivka,s2__composite__b05__prebattle_baseline,0.4032946708772345,0.5967053291227655,lower=damaged,40994.5,0.0019359767197220268,0.1990212,0.20617819,1186
Avdiivka,s2__composite__b05__winter_baseline,0.4032946708772345,0.5967053291227655,lower=damaged,40994.5,0.0019359767197220268,0.1990212,0.20617819,1186
Avdiivka,s2__composite__b12__post_winter_baseline,0.4047260671526527,0.5952739328473473,lower=damaged,41140.0,0.0022581462363595608,0.20102328,0.20528518,1186
Avdiivka,s2__composite__b07__post_winter_baseline,0.5905813141299963,0.5905813141299963,higher=damaged,60032.0,0.003689379130800178,0.41743514,0.38500077,1186
Avdiivka,s2__composite__mndwi__delta,0.5806353235152337,0.5806353235152337,higher=damaged,59021.0,0.009745447326430954,0.41016117,0.36262745,1186
Avdiivka,s2__visibility__clear__freq__prebattle,0.4267577644639889,0.5732422355360112,lower=damaged,43379.5,0.00523470212685869,0.8230926,0.85387534,1186
Avdiivka,s2__composite__ndre__delta,0.5707680351011815,0.5707680351011815,higher=damaged,58018.0,0.023303522469277502,-0.068770304,-0.07540141,1186
Avdiivka,s2__composite__b8a__post_winter_baseline,0.5698777164556464,0.5698777164556464,higher=damaged,57927.5,0.025098642846378475,0.4175088,0.39237303,1186
Avdiivka,s2__visibility__cloud__freq__prebattle,0.5683676179795176,0.5683676179795176,higher=damaged,57774.0,0.009042620408140445,0.17383514,0.1458633,1186
Avdiivka,s2__composite__b02__prebattle_baseline,0.5679495125382443,0.5679495125382443,higher=damaged,57731.5,0.029400535952696052,0.1755715,0.16712631,1186
Avdiivka,s2__composite__b02__winter_baseline,0.5679495125382443,0.5679495125382443,higher=damaged,57731.5,0.029400535952696052,0.1755715,0.16712631,1186
Avdiivka,s2__qa__cloud_freq__prebattle,0.5649342344735315,0.5649342344735315,higher=damaged,57425.0,0.017672973180226346,0.17121097,0.14556241,1186
Avdiivka,s2__obs_count__prebattle_baseline,0.43722515715845706,0.5627748428415429,lower=damaged,44443.5,0.014242224276620388,4.860215,5.0365963,1186
Avdiivka,s2__obs_count__winter_baseline,0.43722515715845706,0.5627748428415429,lower=damaged,44443.5,0.014242224276620388,4.860215,5.0365963,1186
Avdiivka,s2__composite__cire__delta,0.5587954628181291,0.5587954628181291,higher=damaged,56801.0,0.05948086291288184,-0.107369184,-0.115767136,1186
Avdiivka,s2__obs_count__delta,0.5393855325679544,0.5393855325679544,higher=damaged,54828.0,0.16532900125001826,-2.2903225,-2.4391582,1186
Avdiivka,s2__visibility__clear__freq__crossbattle,0.47200661098485963,0.5279933890151404,lower=damaged,47979.0,0.0006453775572338032,0.9952957,0.9985133,1186
Avdiivka,s2__visibility__cloud__freq__crossbattle,0.5258241596080631,0.5258241596080631,higher=damaged,53449.5,0.00020626109388626558,0.004032258,0.0009149131,1186
Avdiivka,s2__composite__b03__prebattle_baseline,0.5252191364401028,0.5252191364401028,higher=damaged,53388.0,0.4189279803575795,0.18225485,0.17803678,1186
Avdiivka,s2__composite__b03__winter_baseline,0.5252191364401028,0.5252191364401028,higher=damaged,53388.0,0.4189279803575795,0.18225485,0.17803678,1186
Avdiivka,s2__composite__b04__prebattle_baseline,0.479571860028136,0.520428139971864,lower=damaged,48748.0,0.5126615009792517,0.19298925,0.19202442,1186
Avdiivka,s2__composite__b04__winter_baseline,0.479571860028136,0.520428139971864,lower=damaged,48748.0,0.5126615009792517,0.19298925,0.19202442,1186
