file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_E6_B_nativeNaN_card_only__20260425_003102_dac44a.parquet,E6_B_nativeNaN_card_only,nan_ablation;strategy=B_native_nan;modality=card_only,480313,4090,3096,65869,407258
oof_E6_B_nativeNaN_card_only__20260614_180054_dac44a.parquet,E6_B_nativeNaN_card_only,nan_ablation;strategy=B_native_nan;modality=card_only,387066,695,1400,23500,361471
oof_E6_B_nativeNaN_coh_only__20260425_003102_dac44a.parquet,E6_B_nativeNaN_coh_only,nan_ablation;strategy=B_native_nan;modality=coh_only,480313,3456,3730,100897,372230
oof_E6_B_nativeNaN_coh_only__20260614_180054_dac44a.parquet,E6_B_nativeNaN_coh_only,nan_ablation;strategy=B_native_nan;modality=coh_only,387066,1141,954,117817,267154
oof_E6_C_SAR_only_no_NaN__20260425_003102_dac44a.parquet,E6_C_SAR_only_no_NaN,nan_ablation;strategy=C_sar_only_no_nan;modality=card+coh,480313,196,6990,18988,454139
oof_E6_C_SAR_only_no_NaN__20260614_180054_dac44a.parquet,E6_C_SAR_only_no_NaN,nan_ablation;strategy=C_sar_only_no_nan;modality=card+coh,387066,8,2087,2,384969
oof_E7_KNN_15__20260614_180054_dac44a.parquet,E7_KNN_15,non_tree;classifier=KNN_15;features=all_multimodal,387066,1,2094,3,384968
oof_E7_KNN_5__20260614_180054_dac44a.parquet,E7_KNN_5,non_tree;classifier=KNN_5;features=all_multimodal,387066,17,2078,144,384827
oof_E7_LogReg__20260614_180054_dac44a.parquet,E7_LogReg,non_tree;classifier=LogReg;features=all_multimodal,387066,1309,786,144015,240956
oof_E7_SVM_linear__20260614_180054_dac44a.parquet,E7_SVM_linear,non_tree;classifier=SVM_linear;features=all_multimodal,387066,0,2095,0,384971
oof_E7_SVM_rbf__20260614_180054_dac44a.parquet,E7_SVM_rbf,non_tree;classifier=SVM_rbf;features=all_multimodal,387066,0,2095,0,384971
oof_E7b_GaussianNB__20260614_180054_dac44a.parquet,E7b_GaussianNB,probabilistic;classifier=GaussianNB,387066,697,1398,61767,323204
oof_E7b_LDA__20260614_180054_dac44a.parquet,E7b_LDA,discriminant;classifier=LDA,387066,316,1779,6510,378461
oof_E7b_NearestCentroid__20260614_180054_dac44a.parquet,E7b_NearestCentroid,probabilistic;classifier=NearestCentroid,387066,1026,1069,78011,306960
oof_E7b_QDA__20260614_180054_dac44a.parquet,E7b_QDA,discriminant;classifier=QDA,387066,1647,448,223265,161706
oof_E7b_RidgeClassifier__20260614_180054_dac44a.parquet,E7b_RidgeClassifier,probabilistic;classifier=RidgeClassifier,387066,1280,815,97863,287108
oof_E7c_ExtraTrees__20260614_180054_dac44a.parquet,E7c_ExtraTrees,tree_ensemble;classifier=ExtraTrees,387066,6,2089,0,384971
oof_E7c_HistGBM_imputed__20260614_180054_dac44a.parquet,E7c_HistGBM_imputed,tree_ensemble;classifier=HistGBM;imputation=median,387066,1212,883,66198,318773
oof_E7d_MLP_128_64__20260614_180054_dac44a.parquet,E7d_MLP_128_64,mlp;classifier=MLP_128_64,387066,0,2095,34,384937
oof_E7d_MLP_256_128_64__20260614_180054_dac44a.parquet,E7d_MLP_256_128_64,mlp;classifier=MLP_256_128_64,387066,2,2093,97,384874
oof_E8_IsolationForest_c=0.005__20260614_180054_dac44a.parquet,E8_IsolationForest_c=0.005,unsupervised_isolation_forest;contamination=0.005,387066,1357,738,192177,192794
oof_E8_IsolationForest_c=0.050__20260614_180054_dac44a.parquet,E8_IsolationForest_c=0.050,unsupervised_isolation_forest;contamination=0.050,387066,1357,738,192177,192794
oof_E8_IsolationForest_c=0.100__20260614_180054_dac44a.parquet,E8_IsolationForest_c=0.100,unsupervised_isolation_forest;contamination=0.100,387066,1357,738,192177,192794
