city,feature,method,bhattacharyya,jm_distance,chi2,chi2_p,cramers_v,separability
Avdiivka,s2__composite__b04__post_winter_baseline__min,bhattacharyya,0.03140825033187866,0.061840176582336426,,,,poor
Avdiivka,s2__composite__b04__post_winter_baseline__p10,bhattacharyya,0.03462054580450058,0.06805634498596191,,,,poor
Avdiivka,s2__composite__b04__post_winter_baseline__p50,bhattacharyya,0.052177153527736664,0.10167849063873291,,,,poor
Avdiivka,s2__composite__b04__post_winter_baseline__p90,bhattacharyya,0.05819546803832054,0.11306905746459961,,,,poor
Avdiivka,s2__composite__b04__post_winter_baseline__std,bhattacharyya,0.08430784195661545,0.16170358657836914,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__max,bhattacharyya,0.010644862428307533,0.021176695823669434,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__max_abs_delta,bhattacharyya,0.00123112415894866,0.0024605989456176758,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__mean,bhattacharyya,0.04382597282528877,0.08575904369354248,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__min,bhattacharyya,0.06553210318088531,0.12686192989349365,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__p10,bhattacharyya,0.06992833316326141,0.1350787878036499,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__p50,bhattacharyya,0.04762611910700798,0.09301960468292236,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__p90,bhattacharyya,0.015225010924041271,0.030219316482543945,,,,poor
Avdiivka,s2__composite__b04__prebattle_baseline__std,bhattacharyya,0.0028922257479280233,0.005776166915893555,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__max,bhattacharyya,0.010644862428307533,0.021176695823669434,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__max_abs_delta,bhattacharyya,0.00123112415894866,0.0024605989456176758,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__mean,bhattacharyya,0.04382597282528877,0.08575904369354248,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__min,bhattacharyya,0.06553210318088531,0.12686192989349365,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__p10,bhattacharyya,0.06992833316326141,0.1350787878036499,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__p50,bhattacharyya,0.04762611910700798,0.09301960468292236,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__p90,bhattacharyya,0.015225010924041271,0.030219316482543945,,,,poor
Avdiivka,s2__composite__b04__winter_baseline__std,bhattacharyya,0.0028922257479280233,0.005776166915893555,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__max,bhattacharyya,0.035214681178331375,0.06920373439788818,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__max_abs_delta,bhattacharyya,0.03846448287367821,0.07546818256378174,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__mean,bhattacharyya,0.031080592423677444,0.061205148696899414,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__min,bhattacharyya,0.023645304143428802,0.04673588275909424,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__p10,bhattacharyya,0.024929866194725037,0.04924333095550537,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__p50,bhattacharyya,0.03263416886329651,0.06421494483947754,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__p90,bhattacharyya,0.03624286875128746,0.07118785381317139,,,,poor
Avdiivka,s2__composite__b05__post_winter_baseline__std,bhattacharyya,0.05091460049152374,0.09928023815155029,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__max,bhattacharyya,0.051553938537836075,0.1004951000213623,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__max_abs_delta,bhattacharyya,0.05489739403128624,0.10683548450469971,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__mean,bhattacharyya,0.08043917268514633,0.1545778512954712,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__min,bhattacharyya,0.10186345875263214,0.19369423389434814,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__p10,bhattacharyya,0.10088250041007996,0.19192159175872803,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__p50,bhattacharyya,0.08209218829870224,0.15762591361999512,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__p90,bhattacharyya,0.06006908044219017,0.11660110950469971,,,,poor
Avdiivka,s2__composite__b05__prebattle_baseline__std,bhattacharyya,0.05432235449552536,0.10574662685394287,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__max,bhattacharyya,0.051553938537836075,0.1004951000213623,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__max_abs_delta,bhattacharyya,0.05489739403128624,0.10683548450469971,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__mean,bhattacharyya,0.08043917268514633,0.1545778512954712,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__min,bhattacharyya,0.10186345875263214,0.19369423389434814,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__p10,bhattacharyya,0.10088250041007996,0.19192159175872803,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__p50,bhattacharyya,0.08209218829870224,0.15762591361999512,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__p90,bhattacharyya,0.06006908044219017,0.11660110950469971,,,,poor
Avdiivka,s2__composite__b05__winter_baseline__std,bhattacharyya,0.05432235449552536,0.10574662685394287,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__max,bhattacharyya,0.03536972403526306,0.06950294971466064,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__max_abs_delta,bhattacharyya,0.04872782900929451,0.09511923789978027,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__mean,bhattacharyya,0.031344763934612274,0.06171727180480957,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__min,bhattacharyya,0.028902437537908554,0.05697762966156006,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__p10,bhattacharyya,0.02895164303481579,0.057072997093200684,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__p50,bhattacharyya,0.0328509695827961,0.06463444232940674,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__p90,bhattacharyya,0.03625139594078064,0.0712043046951294,,,,poor
Avdiivka,s2__composite__b07__post_winter_baseline__std,bhattacharyya,0.06415626406669617,0.12428319454193115,,,,poor
Avdiivka,s2__composite__b07__prebattle_baseline__max,bhattacharyya,0.062208693474531174,0.12062644958496094,,,,poor
Avdiivka,s2__composite__b07__prebattle_baseline__max_abs_delta,bhattacharyya,0.0759420394897461,0.14626026153564453,,,,poor
Avdiivka,s2__composite__b07__prebattle_baseline__mean,bhattacharyya,0.09173454344272614,0.17530536651611328,,,,poor
Avdiivka,s2__composite__b07__prebattle_baseline__min,bhattacharyya,0.11629973351955414,0.2195833921432495,,,,poor
