model_a,model_b,mod_family_a,mod_family_b,n_common,kappa_point,kappa_mean,kappa_lo,kappa_hi,kappa_ci_width
B3_logratio_SAVI,B3_logratio_NDVI,MS,MS,3533,0.9275,0.9274,0.9145,0.9394,0.0249
B3_logratio_SAVI,B5_UISEM_RF_Optuna_bldg,,,0,,,,,
B3_logratio_SAVI,B5_UISEM_ExtraTrees_Optuna_bldg,,,0,,,,,
B3_logratio_SAVI,B5_UISEM_LightGBM_Optuna_bldg,,,0,,,,,
B3_logratio_SAVI,B5_UISEM_Tuned_Voting_bldg,,,0,,,,,
B3_logratio_SAVI,B5_sub_RF_full_F8_bldg,,,0,,,,,
B3_logratio_SAVI,B5_UISEM_XGBoost_Optuna_bldg,,,0,,,,,
B3_logratio_SAVI,B5_UISEM_ExtraTrees_Optuna,MS,other,3533,0.172,0.1716,0.1511,0.1945,0.0435
B3_logratio_SAVI,B5_UISEM_RF_Optuna,MS,other,3533,0.2534,0.2531,0.2227,0.2889,0.0661
B3_logratio_SAVI,B6_UISEM_Model1_full_F8_bldg,,,0,,,,,
B3_logratio_SAVI,B5_UISEM_LightGBM_Optuna,MS,other,3533,0.1318,0.1316,0.1071,0.1576,0.0506
B3_logratio_SAVI,B5_UISEM_Tuned_Voting,MS,other,3533,0.0198,0.0197,0.0135,0.0266,0.0131
B3_logratio_SAVI,B5_UISEM_Model2_full_F8_bldg,,,0,,,,,
B3_logratio_SAVI,R3b_card_ms,MS,other,3533,0.0017,0.0017,0.0,0.004,0.004
B3_logratio_NDVI,B5_UISEM_RF_Optuna_bldg,,,0,,,,,
B3_logratio_NDVI,B5_UISEM_ExtraTrees_Optuna_bldg,,,0,,,,,
B3_logratio_NDVI,B5_UISEM_LightGBM_Optuna_bldg,,,0,,,,,
B3_logratio_NDVI,B5_UISEM_Tuned_Voting_bldg,,,0,,,,,
B3_logratio_NDVI,B5_sub_RF_full_F8_bldg,,,0,,,,,
B3_logratio_NDVI,B5_UISEM_XGBoost_Optuna_bldg,,,0,,,,,
B3_logratio_NDVI,B5_UISEM_ExtraTrees_Optuna,MS,other,3533,0.1686,0.1684,0.1484,0.1886,0.0401
B3_logratio_NDVI,B5_UISEM_RF_Optuna,MS,other,3533,0.2296,0.2294,0.1957,0.261,0.0653
B3_logratio_NDVI,B6_UISEM_Model1_full_F8_bldg,,,0,,,,,
B3_logratio_NDVI,B5_UISEM_LightGBM_Optuna,MS,other,3533,0.1148,0.1145,0.0874,0.139,0.0516
B3_logratio_NDVI,B5_UISEM_Tuned_Voting,MS,other,3533,0.0187,0.0191,0.0124,0.0261,0.0137
B3_logratio_NDVI,B5_UISEM_Model2_full_F8_bldg,,,0,,,,,
B3_logratio_NDVI,R3b_card_ms,MS,other,3533,0.0017,0.0017,0.0,0.0042,0.0042
B5_UISEM_RF_Optuna_bldg,B5_UISEM_ExtraTrees_Optuna_bldg,other,other,40635,0.8084,0.8084,0.8028,0.8133,0.0105
B5_UISEM_RF_Optuna_bldg,B5_UISEM_LightGBM_Optuna_bldg,other,other,40635,0.7624,0.7627,0.7572,0.7684,0.0112
B5_UISEM_RF_Optuna_bldg,B5_UISEM_Tuned_Voting_bldg,other,other,40635,0.7425,0.7425,0.7362,0.7491,0.0128
B5_UISEM_RF_Optuna_bldg,B5_sub_RF_full_F8_bldg,other,other,40635,0.6379,0.6379,0.6303,0.6463,0.016
B5_UISEM_RF_Optuna_bldg,B5_UISEM_XGBoost_Optuna_bldg,other,other,40635,0.6542,0.6544,0.647,0.6622,0.0152
B5_UISEM_RF_Optuna_bldg,B5_UISEM_ExtraTrees_Optuna,,,0,,,,,
B5_UISEM_RF_Optuna_bldg,B5_UISEM_RF_Optuna,,,0,,,,,
B5_UISEM_RF_Optuna_bldg,B6_UISEM_Model1_full_F8_bldg,other,other,40635,0.6519,0.652,0.6448,0.659,0.0142
B5_UISEM_RF_Optuna_bldg,B5_UISEM_LightGBM_Optuna,,,0,,,,,
B5_UISEM_RF_Optuna_bldg,B5_UISEM_Tuned_Voting,,,0,,,,,
B5_UISEM_RF_Optuna_bldg,B5_UISEM_Model2_full_F8_bldg,other,other,40635,0.5807,0.5805,0.5731,0.588,0.015
