model_a,model_b,mod_family_a,mod_family_b,n_common,kappa_point,kappa_mean,kappa_lo,kappa_hi,kappa_ci_width
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,598595,0.0006,0.0006,0.0005,0.0008,0.0003
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,598595,0.0014,0.0014,0.0011,0.0017,0.0006
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.0009,0.0009,0.0007,0.0011,0.0004
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.0007,0.0007,0.0005,0.0009,0.0004
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.0008,0.0008,0.0007,0.001,0.0004
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.0007,0.0007,0.0005,0.0008,0.0003
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.687,0.6871,0.6849,0.6893,0.0044
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.8166,0.8166,0.8149,0.8183,0.0034
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6731,0.6731,0.6707,0.6755,0.0048
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,584986,0.7754,0.7754,0.7736,0.7773,0.0036
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,598595,0.7418,0.7418,0.74,0.7438,0.0038
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7157,0.7155,0.7133,0.7176,0.0043
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,598595,0.6606,0.6607,0.6586,0.6629,0.0043
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,598595,0.7282,0.7283,0.7263,0.7305,0.0042
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.79,0.79,0.7882,0.7918,0.0037
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6982,0.6982,0.696,0.7005,0.0045
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.83,0.83,0.8282,0.8318,0.0036
NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.7692,0.7691,0.7673,0.771,0.0037
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6969,0.6969,0.6946,0.6993,0.0047
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7649,0.7649,0.7629,0.7669,0.004
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,466704,0.6936,0.6936,0.6912,0.696,0.0048
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,466704,0.6081,0.6081,0.6055,0.6106,0.0051
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.757,0.757,0.7547,0.7589,0.0042
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,466704,0.5357,0.5357,0.533,0.5384,0.0054
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,466704,0.7272,0.7272,0.7248,0.7299,0.0051
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7778,0.7778,0.7757,0.7799,0.0042
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.8611,0.8612,0.8596,0.8629,0.0033
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7124,0.7124,0.7103,0.7148,0.0045
NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6393,0.6393,0.6371,0.6419,0.0048
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6742,0.6742,0.6716,0.6769,0.0053
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,584986,0.7544,0.7544,0.7522,0.7565,0.0043
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,598595,0.7155,0.7155,0.7133,0.7174,0.0041
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7209,0.7209,0.7184,0.7231,0.0047
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,598595,0.6515,0.6515,0.6492,0.6536,0.0044
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,598595,0.7301,0.7301,0.7281,0.7323,0.0042
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.778,0.7781,0.7762,0.7799,0.0038
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6992,0.6992,0.6969,0.7014,0.0044
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.8543,0.8542,0.8526,0.8557,0.0032
NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.795,0.795,0.7932,0.7967,0.0036
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,466704,0.6886,0.6887,0.6864,0.691,0.0046
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,466704,0.6181,0.6182,0.6155,0.6208,0.0053
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7264,0.7265,0.7241,0.7286,0.0045
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,466704,0.5274,0.5275,0.5249,0.5298,0.0049
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,466704,0.7231,0.723,0.7205,0.7254,0.0049
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7431,0.7431,0.7407,0.7454,0.0046
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7764,0.7764,0.7745,0.7782,0.0037
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6909,0.6908,0.6883,0.6929,0.0046
NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6126,0.6126,0.61,0.6151,0.0051
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,SAR,multimodal,584986,0.7558,0.7559,0.7539,0.7581,0.0042
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,SAR,multimodal,466704,0.7228,0.7228,0.7206,0.7251,0.0045
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,SAR,other,584986,0.6764,0.6765,0.6744,0.6787,0.0043
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,SAR,multimodal,584986,0.6754,0.6753,0.673,0.6776,0.0046
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,SAR,multimodal,466704,0.7376,0.7375,0.7352,0.7398,0.0047
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,SAR,multimodal,466704,0.715,0.7151,0.7128,0.7172,0.0044
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,SAR,multimodal,584986,0.7658,0.7657,0.7637,0.7679,0.0042
NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,SAR,multimodal,584986,0.7371,0.7372,0.735,0.7393,0.0044
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6791,0.6791,0.6766,0.6816,0.005
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,598595,0.7364,0.7364,0.7346,0.7383,0.0037
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,598595,0.775,0.775,0.7728,0.7772,0.0044
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.6818,0.6818,0.6794,0.6842,0.0048
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.611,0.611,0.6083,0.6135,0.0052
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.6709,0.6709,0.6688,0.6731,0.0043
NB11e_dietrich28__block_stats__RF-200-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.6582,0.6582,0.6561,0.6605,0.0044
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,466704,0.5736,0.5736,0.5711,0.5761,0.005
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,466704,0.7371,0.7371,0.7346,0.7395,0.0049
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.8112,0.8112,0.8092,0.8132,0.004
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7399,0.7399,0.7378,0.7418,0.004
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7222,0.7223,0.7202,0.7244,0.0042
NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6694,0.6693,0.667,0.6717,0.0047
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,other,multimodal,598595,0.6049,0.6049,0.6026,0.607,0.0044
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,other,multimodal,480313,0.6024,0.6024,0.6003,0.6046,0.0044
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,other,multimodal,466704,0.5274,0.5275,0.525,0.5297,0.0047
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,other,multimodal,598595,0.6044,0.6044,0.6021,0.607,0.0049
NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,other,multimodal,598595,0.6212,0.6212,0.6189,0.6234,0.0045
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.7811,0.7811,0.7791,0.7831,0.004
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7333,0.7333,0.7308,0.7358,0.0049
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.7182,0.7182,0.716,0.7204,0.0044
NB11e_dietrich28__block_stats__ExtraTrees-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.6257,0.6257,0.6236,0.6279,0.0043
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7655,0.7655,0.7634,0.7677,0.0043
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.7885,0.7884,0.7865,0.7904,0.0038
NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.7103,0.7103,0.708,0.7125,0.0045
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.7232,0.7231,0.7209,0.7251,0.0042
NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6435,0.6435,0.6412,0.6463,0.0051
NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.8181,0.8181,0.8165,0.8196,0.0032
