model_a,model_b,mod_family_a,mod_family_b,n_common,kappa_point,kappa_mean,kappa_lo,kappa_hi,kappa_ci_width
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11e_dietrich28__block_stats__XGBoost-Optuna,multimodal,multimodal,598595,0.0009,0.0009,0.0007,0.0011,0.0004
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.7482,0.7481,0.7464,0.7499,0.0036
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6017,0.6018,0.5994,0.6043,0.0049
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.707,0.707,0.7048,0.7091,0.0043
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.5934,0.5934,0.5907,0.5962,0.0056
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,584986,0.7177,0.7177,0.7154,0.7198,0.0044
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,598595,0.7751,0.775,0.7732,0.7771,0.0039
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.631,0.6309,0.6286,0.6336,0.005
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11c_A22_lu_change__lu_change__LightGBM-MIA-Optuna,multimodal,other,598595,0.6255,0.6255,0.6232,0.6277,0.0044
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11e_dietrich28__block_stats__ExtraTrees-Optuna,multimodal,multimodal,598595,0.6824,0.6823,0.68,0.6846,0.0047
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F8__fusion_composite_blockstats__LightGBM-MIA-Optuna,multimodal,multimodal,480313,0.6751,0.6751,0.6729,0.6774,0.0045
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11a_F2_F6__fusion_ms_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.6089,0.6089,0.606,0.6117,0.0056
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.711,0.711,0.7088,0.7134,0.0046
NB11e_dietrich28__block_stats__LightGBM-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.6807,0.6807,0.6786,0.6829,0.0043
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A15_block_stats__block_stats__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.0008,0.0008,0.0006,0.001,0.0004
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F4_F7__fusion_ms_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.0007,0.0007,0.0005,0.0009,0.0004
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA-Optuna,multimodal,multimodal,598595,0.0008,0.0008,0.0006,0.001,0.0004
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F2_F6__fusion_indices_card_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.0007,0.0006,0.0005,0.0009,0.0004
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F3__fusion_card_cohdrop__LightGBM-MIA-Optuna,multimodal,SAR,584986,0.0006,0.0006,0.0004,0.0008,0.0003
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11e_dietrich28__block_stats__RF-200-Optuna,multimodal,multimodal,598595,0.001,0.001,0.0008,0.0012,0.0005
NB11e_dietrich28__block_stats__XGBoost-Optuna,NB11a_F4_F7__fusion_composite_cohdrop__LightGBM-MIA-Optuna,multimodal,multimodal,466704,0.0007,0.0007,0.0005,0.0009,0.0004
