feature,city,auc,source
s1__coh__running_min,Avdiivka,0.5007968597821917,coh_drop
s1__coh__drop_count,Avdiivka,0.5305118594378695,coh_drop
s1__coh__date_first_drop,Avdiivka,0.5357406368975594,coh_drop
s1__coh__date_worst_drop,Avdiivka,0.5028136036753927,coh_drop
s1__coh__max_drop,Avdiivka,0.5333303820008067,coh_drop
s1__coh__scenes_observed,Avdiivka,0.5004771320918061,coh_drop
s1__coh__lu_transition,Avdiivka,0.5097590728880756,coh_drop
was_observed_cohdrop,Avdiivka,0.5287902487973319,coh_drop
s1__coh__running_min,Bucha,0.5046261833197561,coh_drop
s1__coh__drop_count,Bucha,0.5020435967302452,coh_drop
s1__coh__date_first_drop,Bucha,0.5017275766173207,coh_drop
s1__coh__date_worst_drop,Bucha,0.5025509845782185,coh_drop
s1__coh__max_drop,Bucha,0.500138697716228,coh_drop
s1__coh__scenes_observed,Bucha,0.5021612264389449,coh_drop
s1__coh__lu_transition,Bucha,0.5,coh_drop
was_observed_cohdrop,Bucha,0.5021454254332987,coh_drop
s1__coh__running_min,Dmytrivka,0.5018711786578823,coh_drop
s1__coh__drop_count,Dmytrivka,0.5007207207207207,coh_drop
s1__coh__date_first_drop,Dmytrivka,0.5021037658156772,coh_drop
s1__coh__date_worst_drop,Dmytrivka,0.5012627586034788,coh_drop
s1__coh__max_drop,Dmytrivka,0.5005375458561054,coh_drop
s1__coh__scenes_observed,Dmytrivka,0.5007881011205111,coh_drop
s1__coh__lu_transition,Dmytrivka,0.5,coh_drop
was_observed_cohdrop,Dmytrivka,0.5007881011205111,coh_drop
s1__coh__running_min,Hostomel,0.5104729557796482,coh_drop
s1__coh__drop_count,Hostomel,0.5004534415252322,coh_drop
s1__coh__date_first_drop,Hostomel,0.5079585870645271,coh_drop
s1__coh__date_worst_drop,Hostomel,0.5135567335857922,coh_drop
s1__coh__max_drop,Hostomel,0.5183341384319017,coh_drop
s1__coh__scenes_observed,Hostomel,0.5030574973865582,coh_drop
s1__coh__lu_transition,Hostomel,0.5132732804888325,coh_drop
was_observed_cohdrop,Hostomel,0.5275619029026097,coh_drop
s1__coh__running_min,Irpin,0.5045396021430433,coh_drop
s1__coh__drop_count,Irpin,0.5022019664072102,coh_drop
s1__coh__date_first_drop,Irpin,0.5085790898982214,coh_drop
s1__coh__date_worst_drop,Irpin,0.5070295333507133,coh_drop
s1__coh__max_drop,Irpin,0.5092780529589215,coh_drop
s1__coh__scenes_observed,Irpin,0.500782093776768,coh_drop
s1__coh__lu_transition,Irpin,0.5039922695084513,coh_drop
was_observed_cohdrop,Irpin,0.5071299552557234,coh_drop
s1__coh__running_min,Lysychansk,0.5015272961267299,coh_drop
s1__coh__drop_count,Lysychansk,0.5009495982468956,coh_drop
s1__coh__date_first_drop,Lysychansk,0.5025451011756028,coh_drop
s1__coh__date_worst_drop,Lysychansk,0.5060987867298207,coh_drop
s1__coh__max_drop,Lysychansk,0.5040029479986894,coh_drop
s1__coh__scenes_observed,Lysychansk,0.5061160509634947,coh_drop
s1__coh__lu_transition,Lysychansk,0.5003822327493358,coh_drop
was_observed_cohdrop,Lysychansk,0.5119034929337622,coh_drop
s1__coh__running_min,Mariupol,0.5003435001664072,coh_drop
s1__coh__drop_count,Mariupol,0.5009840329294545,coh_drop
s1__coh__date_first_drop,Mariupol,0.5066082281956326,coh_drop
s1__coh__date_worst_drop,Mariupol,0.5074473433254358,coh_drop
s1__coh__max_drop,Mariupol,0.5099572805012814,coh_drop
s1__coh__scenes_observed,Mariupol,0.5007897296469854,coh_drop
s1__coh__lu_transition,Mariupol,0.5614989524301005,coh_drop
was_observed_cohdrop,Mariupol,0.5005123088680901,coh_drop
s1__coh__running_min,Moschun,0.522758065597961,coh_drop
s1__coh__drop_count,Moschun,0.5167482728553223,coh_drop
