product,city,auc,n_feat
A16,Avdiivka,0.5826069512192917,72
A16,Borodyanka,0.4494324624029704,42
A16,Bucha,0.48486181477889106,42
A16,Chernihiv,0.4384355261574022,42
A16,Dmytrivka,0.4768390822329178,42
A16,Hostomel,0.48071959658785035,42
A16,Irpin,0.4629343501606332,42
A16,Kharkiv,0.3930458976709966,72
A16,Kramatorsk,0.3871218450165818,72
A16,Lysychansk,0.4678140808166803,42
A16,Makariv,0.4289185842711274,42
A16,Mariupol,0.5730053325678153,42
A16,Moschun,0.3675080151559312,42
A16,Mykolaiv,0.6083914248785263,72
A16,Okhtyrka,0.3829167274949039,42
A16,Rubizhne,0.42187156122892017,42
A16,Sievierodonetsk,0.6000831073454513,42
A16,Trostianets,0.6337245606657237,42
A16,Volnovakha,0.38636629918354165,42
A17,Avdiivka,0.5667962798632962,42
A17,Borodyanka,0.4494324624029704,42
A17,Bucha,0.48486181477889106,42
A17,Chernihiv,0.4384355261574022,42
A17,Dmytrivka,0.4768390822329178,42
A17,Hostomel,0.48071959658785035,42
A17,Irpin,0.4629343501606332,42
A17,Kharkiv,0.4037697732478601,42
A17,Kramatorsk,0.4453735348472191,42
A17,Lysychansk,0.4678140808166803,42
A17,Makariv,0.4289185842711274,42
A17,Mariupol,0.5730053325678152,42
A17,Moschun,0.3675080151559312,42
A17,Mykolaiv,0.6083914248785263,42
A17,Okhtyrka,0.3829167274949039,42
A17,Rubizhne,0.42187156122892017,42
A17,Sievierodonetsk,0.6000831073454513,42
A17,Trostianets,0.6337245606657237,42
A17,Volnovakha,0.38636629918354165,42
A18,Avdiivka,0.5667962798632962,42
A18,Borodyanka,0.4494324624029704,42
A18,Bucha,0.48486181477889106,42
A18,Chernihiv,0.4384355261574022,42
A18,Dmytrivka,0.4768390822329178,42
A18,Hostomel,0.48071959658785035,42
A18,Irpin,0.4629343501606332,42
A18,Kharkiv,0.4037697732478601,42
A18,Kramatorsk,0.4453735348472191,42
A18,Lysychansk,0.4678140808166803,42
A18,Makariv,0.4289185842711274,42
A18,Mariupol,0.5730053325678152,42
A18,Moschun,0.3675080151559312,42
A18,Mykolaiv,0.6083914248785263,42
A18,Okhtyrka,0.3829167274949039,42
A18,Rubizhne,0.42187156122892017,42
A18,Sievierodonetsk,0.6000831073454513,42
A18,Trostianets,0.6337245606657237,42
A18,Volnovakha,0.38636629918354165,42
A15,Avdiivka,0.5956994504014905,750
A15,Borodyanka,0.4517359423865236,126
A15,Bucha,0.5181199967643857,126
A15,Chernihiv,0.4448493103424337,126
A15,Dmytrivka,0.5188492430786951,126
A15,Hostomel,0.4985613802348126,126
A15,Irpin,0.5001540398565518,126
A15,Kharkiv,0.44863153130985006,750
A15,Kramatorsk,0.49717728665097083,750
A15,Lysychansk,0.46726346126630314,126
A15,Makariv,0.43758939198018876,126
A15,Mariupol,0.5996838196356153,126
A15,Moschun,0.36483241037598363,126
A15,Mykolaiv,0.37206838993675695,750
A15,Okhtyrka,0.3580593359178576,126
A15,Rubizhne,0.423066426889504,126
A15,Sievierodonetsk,0.6207141875609421,126
A15,Trostianets,0.6354608708949803,126
A15,Volnovakha,0.40533650076110517,126
