file,notebook,model_id,experiment_id,variant_id,n_rows,n_damaged,TP,FN,FP,TN,id_col,group,recall,precision
nb07/oof_predictions/oof_D1d_pre_only__20260422_205106_06ea54.parquet,nb07,D1d_pre_only,20260422_205106_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1d_pre_only__20260423_002242_06ea54.parquet,nb07,D1d_pre_only,20260423_002242_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1d_pre_only__20260423_211335_06ea54.parquet,nb07,D1d_pre_only,20260423_211335_06ea54,feat_set=pre_only,598595,7332,598,6734,33643,557620,building_id,buildings_v2,0.08156028368794327,0.01746444321135481
nb07/oof_predictions/oof_D1e_zonal_max__20260422_120607_06ea54.parquet,nb07,D1e_zonal_max,20260422_120607_06ea54,zonal=max,598595,7332,604,6728,33678,557585,building_id,buildings_v2,0.08237861429350792,0.017618575345662447
nb07/oof_predictions/oof_D1e_zonal_max__20260422_205106_06ea54.parquet,nb07,D1e_zonal_max,20260422_205106_06ea54,zonal=max,598595,7332,604,6728,33678,557585,building_id,buildings_v2,0.08237861429350792,0.017618575345662447
nb07/oof_predictions/oof_D1e_zonal_max__20260423_002242_06ea54.parquet,nb07,D1e_zonal_max,20260423_002242_06ea54,zonal=max,598595,7332,604,6728,33678,557585,building_id,buildings_v2,0.08237861429350792,0.017618575345662447
nb07/oof_predictions/oof_D1e_zonal_max__20260423_211335_06ea54.parquet,nb07,D1e_zonal_max,20260423_211335_06ea54,zonal=max,598595,7332,606,6726,33688,557575,building_id,buildings_v2,0.08265139116202946,0.01767072957368636
nb07/oof_predictions/oof_D1e_zonal_mean__20260422_120607_06ea54.parquet,nb07,D1e_zonal_mean,20260422_120607_06ea54,zonal=mean,598595,7332,599,6733,33645,557618,building_id,buildings_v2,0.08169667212220404,0.017492115407078613
nb07/oof_predictions/oof_D1e_zonal_mean__20260422_205106_06ea54.parquet,nb07,D1e_zonal_mean,20260422_205106_06ea54,zonal=mean,598595,7332,599,6733,33645,557618,building_id,buildings_v2,0.08169667212220404,0.017492115407078613
nb07/oof_predictions/oof_D1e_zonal_mean__20260423_002242_06ea54.parquet,nb07,D1e_zonal_mean,20260423_002242_06ea54,zonal=mean,598595,7332,599,6733,33645,557618,building_id,buildings_v2,0.08169667212220404,0.017492115407078613
nb07/oof_predictions/oof_D1e_zonal_mean__20260423_211335_06ea54.parquet,nb07,D1e_zonal_mean,20260423_211335_06ea54,zonal=mean,598595,7332,599,6733,33642,557621,building_id,buildings_v2,0.08169667212220404,0.017493647965888846
nb07/oof_predictions/oof_D1e_zonal_std__20260422_120607_06ea54.parquet,nb07,D1e_zonal_std,20260422_120607_06ea54,zonal=std,598595,7332,599,6733,33655,557608,building_id,buildings_v2,0.08169667212220404,0.017487008816488587
nb07/oof_predictions/oof_D1e_zonal_std__20260422_205106_06ea54.parquet,nb07,D1e_zonal_std,20260422_205106_06ea54,zonal=std,598595,7332,599,6733,33655,557608,building_id,buildings_v2,0.08169667212220404,0.017487008816488587
nb07/oof_predictions/oof_D1e_zonal_std__20260423_002242_06ea54.parquet,nb07,D1e_zonal_std,20260423_002242_06ea54,zonal=std,598595,7332,599,6733,33655,557608,building_id,buildings_v2,0.08169667212220404,0.017487008816488587
nb07/oof_predictions/oof_D1e_zonal_std__20260423_211335_06ea54.parquet,nb07,D1e_zonal_std,20260423_211335_06ea54,zonal=std,598595,7332,601,6731,33662,557601,building_id,buildings_v2,0.08196944899072559,0.01754078743834457
nb07/oof_predictions/oof_D1f_roll3_assess__20260422_120607_06ea54.parquet,nb07,D1f_roll3_assess,20260422_120607_06ea54,window=roll3_assess_only,598595,7332,5704,1628,485823,105440,building_id,buildings_v2,0.7779596290234588,0.011604652440252518
nb07/oof_predictions/oof_D1f_roll3_assess__20260422_205106_06ea54.parquet,nb07,D1f_roll3_assess,20260422_205106_06ea54,window=roll3_assess_only,598595,7332,5704,1628,485823,105440,building_id,buildings_v2,0.7779596290234588,0.011604652440252518
nb07/oof_predictions/oof_D1f_roll3_assess__20260423_002242_06ea54.parquet,nb07,D1f_roll3_assess,20260423_002242_06ea54,window=roll3_assess_only,598595,7332,5704,1628,485823,105440,building_id,buildings_v2,0.7779596290234588,0.011604652440252518
