feature,VIF
s1__vh__baseline__count,inf
s1__vv__baseline__count,inf
s1__coh__baseline__mean,125203.1
s1__coh__baseline__median,31011.49
s1__coh__baseline__max,12529.661
s1__vh__baseline__mean,11222.218
s1__coh__baseline__min,5583.1
s1__vh__baseline__min,4960.738
s1__vh__baseline__max,2501.0757
s1__vh__baseline__median,2143.7793
s1__vv__baseline__mean,1974.4869
s1__vv__baseline__min,1257.2854
s1__vv__baseline__median,445.36157
s1__vv__baseline__max,421.38986
s1__coh__baseline__std,382.439
s1__vv__baseline__std,292.11298
s1__vh__baseline__std,276.0364
s1__coh__baseline__count,257.2719
s1__vh__baseline__kurtosis,9.996357
s1__vv__baseline__kurtosis,9.033286
s1__vh__baseline__skewness,5.211327
s1__vv__baseline__skewness,4.3857117
