city,feature,n_damaged,n_control,mean_damaged,mean_control,std_damaged,std_control,cohens_d,mann_whitney_u,mann_whitney_p,rank_biserial,significant_005,effect_size_label
Avdiivka,s2__visibility__fire__freq__prebattle,93,1093,0.0,0.0,0.0,0.0,0.0,50824.5,1.0,0.0,False,negligible
Avdiivka,s2__visibility__smoke__freq__prebattle,93,1093,0.0,0.0,0.0,0.0,0.0,50824.5,1.0,0.0,False,negligible
Avdiivka,s2__composite__b02__prebattle_baseline,93,1093,0.1755715,0.16712631,0.036679525,0.026991816,0.30306941270828247,57731.5,0.029400535952696052,-0.13589902507648866,True,small
Avdiivka,s2__composite__b03__prebattle_baseline,93,1093,0.18225485,0.17803678,0.03704427,0.029220156,0.14106526970863342,53388.0,0.4189279803575795,-0.050438272880205304,False,negligible
Avdiivka,s2__composite__b04__prebattle_baseline,93,1093,0.19298925,0.19202442,0.040278964,0.030660143,0.030616646632552147,48748.0,0.5126615009792517,0.04085627994372798,False,negligible
Avdiivka,s2__composite__b05__prebattle_baseline,93,1093,0.1990212,0.20617819,0.033033807,0.019620175,-0.34126123785972595,40994.5,0.0019359767197220268,0.19341065824553116,True,small
Avdiivka,s2__composite__b07__prebattle_baseline,93,1093,0.22429831,0.24098718,0.04124346,0.025082152,-0.6252641081809998,33969.5,1.0646858398674403e-07,0.3316313982429734,True,medium
Avdiivka,s2__composite__b08__prebattle_baseline,93,1093,0.23248497,0.255576,0.05417664,0.035842605,-0.6143030524253845,33079.5,2.193413177228703e-08,0.3491426379010123,True,medium
Avdiivka,s2__composite__b11__prebattle_baseline,93,1093,0.23506056,0.26049662,0.045328494,0.030803723,-0.7907205820083618,29737.5,2.931969020369988e-11,0.41489832659445736,True,medium
Avdiivka,s2__composite__b12__prebattle_baseline,93,1093,0.21214049,0.22693081,0.03773889,0.024813706,-0.567791759967804,33014.0,1.946909066204322e-08,0.35043138643764327,True,medium
Avdiivka,s2__composite__b8a__prebattle_baseline,93,1093,0.23467858,0.25812855,0.0456333,0.02804555,-0.7872649431228638,30619.0,1.866355703991462e-10,0.3975543291129279,True,medium
Avdiivka,s2__composite__cire__prebattle_baseline,93,1093,0.12662838,0.16908339,0.100036405,0.06553278,-0.6167529225349426,33105.0,2.297587740097926e-08,0.34864091137148423,True,medium
Avdiivka,s2__composite__mndwi__prebattle_baseline,93,1093,-0.12513342,-0.18888624,0.0793488,0.08179227,0.7812363505363464,73191.0,1.745262300242337e-12,-0.4400731930466606,True,medium
Avdiivka,s2__composite__ndbi__prebattle_baseline,93,1093,0.00897057,0.010793223,0.057449546,0.061566927,-0.029754245653748512,49133.0,0.5938380491036527,0.03328119312536282,False,negligible
Avdiivka,s2__composite__ndre__prebattle_baseline,93,1093,0.07878345,0.11072701,0.054452512,0.03564902,-0.8529667854309082,29691.0,2.6536558077299233e-11,0.41581323967771444,True,large
