leaky_model,clean_model,auc_leaky,auc_clean,delta_auc,group
D1i_allblocks_random,D1i_allblocks_groupkfold,0.7196602063802726,0.6178829601233143,0.10177724625695828,buildings_v2
D1j_dynamic_random,D1j_dynamic_groupkfold,0.3384068829380744,0.32412275924962297,0.014284123688451444,buildings_v2
