notebook,parquet_id,manifest_key,classifier,baseline_auc,baseline_auc_expected,tuned_auc,delta_auc,mean_folds_auc,std_folds_auc,n_trials_requested,n_trials_done,early_stopped,patience,n_features,n_buildings,n_cities,study_tag
NB11d_A11_A12_composite_vs_scenes,A12,composite_vs_scenes_landuse,LightGBM-MIA,0.7852456660578068,0.785,0.8120264235269727,0.026780757469165972,0.6238334716041454,0.06235230544839494,200,46,True,40,6,438885,16,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_landuse__LightGBM-MIA
NB11d_A11_A12_composite_vs_scenes,A11,composite_vs_scenes_bands,LightGBM-MIA,0.7631774430611865,0.763,0.79550493929645,0.03232749623526354,0.7056466109422134,0.03320765369815717,200,113,True,40,18,438885,16,NB11d_A11_A12_composite_vs_scenes__composite_vs_scenes_bands__LightGBM-MIA
