notebook,parquet_id,manifest_key,classifier,baseline_auc,baseline_auc_expected,tuned_auc,delta_auc,mean_folds_auc,std_folds_auc,n_trials_requested,n_trials_done,early_stopped,patience,n_features,n_buildings,n_cities,study_tag
NB11b_A16_A17_A18_rolling,A17,rolling_stats_roll7,LightGBM-MIA,0.8232707899505969,0.823,0.8513759240682441,0.028105134117647257,0.6569741135337556,0.1496037461461402,200,49,True,40,57,598595,21,NB11b_A16_A17_A18_rolling__rolling_stats_roll7__LightGBM-MIA
NB11b_A16_A17_A18_rolling,A18,rolling_stats_roll13,LightGBM-MIA,0.8232707899505969,0.823,0.8323169688840124,0.009046178933415527,0.7287259580849467,0.07941046075791475,200,83,True,40,57,598595,21,NB11b_A16_A17_A18_rolling__rolling_stats_roll13__LightGBM-MIA
NB11b_A16_A17_A18_rolling,A16,rolling_stats_roll3,LightGBM-MIA,0.8241265028525089,0.824,0.8310469044573365,0.006920401604827653,0.688708304152355,0.06459670263081403,200,46,True,40,87,598595,21,NB11b_A16_A17_A18_rolling__rolling_stats_roll3__LightGBM-MIA
