model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate,modality,modality_family,is_accumulator
B2_CCD_vh_faithful,unsupervised_ccd;pol=vh;k=-0.05;z=-2.0;persistence=3;score=count_damage_months,points_v3plus,0.5096827523739258,42056,12,1022,4461,6123,30450,False,False,other,other,False
B2_CCD_vh_Optuna_pixel,unsupervised_ccd_optuna;pol=vh;k=-0.0207;z=-1.197;persistence=4;aggregation=pixel,points_v3plus,0.5088924393572363,42184,12,1831,3665,11593,25095,False,False,other,other,False
E2_LightGBM_card+coh,lightgbm_sensor_ablation;sensor=card+coh,points_v3plus,0.5068523172643229,62043,19,1166,6914,7301,46662,False,False,SAR_card+coh,SAR,False
B7_UISEM_card_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=card_only,points_v3plus,0.5064697130211882,62043,19,38,8042,147,53816,False,False,SAR_card_only,SAR,False
D1d_post_only,feat_set=post_only,points_v3plus,0.5057814019795374,63243,21,124,8123,862,54134,False,False,other,other,False
D1_post_only,feat_set=post_only,points_v3plus,0.5057814019795374,63243,21,124,8123,862,54134,False,False,other,other,False
D1_pre_only,feat_set=pre_only,points_v3plus,0.5053539140732551,63243,21,138,8109,865,54131,False,False,other,other,False
D1d_pre_only,feat_set=pre_only,points_v3plus,0.5053539140732551,63243,21,138,8109,865,54131,False,False,other,other,False
B3a_LogRatio_VV_faithful,unsupervised_logratio;pol=vv;direction=|I_ratio|;mode=v3_single_pre_single_post;data_is_db=True,points_v3plus,0.5040546101852655,62151,20,4024,3989,27052,27086,False,False,SAR_unsupervised,SAR,False
B0_single_s1_coh_drop_count,unsupervised_single_score;source=bda_coh_drop_v3;direction=-raw,points_v3plus,0.5037192503570151,51800,12,6734,201,43240,1625,False,False,SAR_coh_unsupervised,SAR,True
D1_pre+post,feat_set=pre+post,points_v3plus,0.5033692067493242,63243,21,20,8227,80,54916,False,False,other,other,False
D1e_zonal_std,zonal=std,points_v3plus,0.5031760569061261,63243,21,3,8244,15,54981,False,False,other,other,False
R4b_tier2_all,nb09a;cell=R4b,points_v3plus,0.5024082711222826,3533,5,0,407,0,3126,False,True,other,other,False
B3a_LogRatio_VV+VH_faithful,unsupervised_logratio;pol=vv+vh;direction=|I_vv|+|I_vh|;mode=v3_single_pre_single_post,points_v3plus,0.5018370036477491,62151,20,4005,4008,27071,27067,False,False,SAR_unsupervised,SAR,False
E6_B_nativeNaN_card+coh,nan_ablation;strategy=B_native_nan;modality=card+coh,points_v3plus,0.5011482611022624,62043,19,1226,6854,7861,46102,False,False,SAR_card+coh,SAR,False
B2_CCD_vv_persistence_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B2_CCD_vv_persistence_faithful,points_v3plus,0.5007156423768601,38139,12,14,4589,54,33482,False,False,other,other,False
B2_CCD_vh_persistence_faithful_bldg,unsupervised;aggregation=building_max_vote;derived_from=B2_CCD_vh_persistence_faithful,points_v3plus,0.5005160296346624,38133,12,9,4591,31,33502,False,False,other,other,False
E6_B_nativeNaN_card_only,nan_ablation;strategy=B_native_nan;modality=card_only,points_v3plus,0.5004967053883455,62043,19,1165,6915,7556,46407,False,False,SAR_card_only,SAR,False
D1_blk_pre+post_mean,feat_set=pre+post_mean,points_v3plus,0.5003283129521207,63243,21,154,8093,1130,53866,False,False,other,other,False
B3a_LogRatio_VH_faithful,unsupervised_logratio;pol=vh;direction=+I_ratio;mode=v3_single_pre_single_post;data_is_db=True,points_v3plus,0.5002654366786227,62151,20,3995,4018,27081,27057,False,False,SAR_unsupervised,SAR,False
L2b_s2__lu__urban_retained,plausibility_standalone;signal=s2__lu__urban_retained;higher_is_damage=False,points_v3plus,0.5,62043,19,8080,0,53963,0,False,True,other,other,False
L2b_bldg_reliable,plausibility_standalone;signal=bldg_reliable;higher_is_damage=True,points_v3plus,0.5,63243,21,8247,0,54996,0,False,True,other,other,False
B2_CCD_vh_persistence_faithful,unsupervised_ccd;pol=vh;k=-0.05;z=-2.0;persistence=3;score=binary_persistence,points_v3plus,0.4999091032668123,42056,12,5,5478,40,36533,False,False,other,other,False
B2_CCD_vv_persistence_faithful,unsupervised_ccd;pol=vv;k=-0.05;z=-2.0;persistence=3;score=binary_persistence,points_v3plus,0.49979969031902005,42061,12,8,5477,68,36508,False,False,other,other,False
L2b_plausibility_score,plausibility_standalone;signal=plausibility_score;higher_is_damage=True,points_v3plus,0.498990981215182,63243,21,563,7684,3865,51131,False,False,other,other,False
D1_blk_pre_baseline_mean,feat_set=pre_baseline_mean,points_v3plus,0.4985494717637809,63243,21,125,8122,897,54099,False,False,other,other,False
D1_blk_post_block_mean,feat_set=post_block_mean,points_v3plus,0.4985494717637809,63243,21,125,8122,897,54099,False,False,other,other,False
E7b_GaussianNB,probabilistic;classifier=GaussianNB,points_v3plus,0.4982916214318466,62043,19,2309,5771,13732,40231,False,False,other,other,False
E2_LightGBM_card,lightgbm_sensor_ablation;sensor=card,points_v3plus,0.49403447365750974,62043,19,1149,6931,7703,46260,False,False,SAR_card_only,SAR,False
R4_tier0_dietrich28,nb09a;cell=R4,points_v3plus,0.49315561756748233,39997,4,4,5455,51,34487,False,False,other,other,False
R4b_tier0_card,nb09a;cell=R4b,points_v3plus,0.49315561756748233,39997,4,4,5455,51,34487,False,False,other,other,False
D2_coh-only,ablation=COH-only (coherence baselines),points_v3plus,0.491374857736223,62043,19,145,7935,1109,52854,False,False,other,other,False
L2b_s2__lu__date_persistent_loss,plausibility_standalone;signal=s2__lu__date_persistent_loss;higher_is_damage=True,points_v3plus,0.4913197353962552,62043,19,3328,4752,23118,30845,False,False,other,other,False
R3b_coh_only,nb09a;cell=R3b,points_v3plus,0.48521864334803655,62043,19,167,7913,1207,52756,False,False,SAR_coh_only,SAR,False
E6_A_impute+obs_coh_only,nan_ablation;strategy=A_impute+obs;modality=coh_only,points_v3plus,0.48521864334803655,62043,19,167,7913,1207,52756,False,False,SAR_coh_only,SAR,False
L2b_coh_drop,plausibility_standalone;signal=coh_drop;higher_is_damage=True,points_v3plus,0.4851259152768728,51800,12,2369,4566,16887,27978,False,False,SAR_coh_unsupervised,SAR,True
E2_LightGBM_coh,lightgbm_sensor_ablation;sensor=coh,points_v3plus,0.48381799534261005,62043,19,1280,6800,9412,44551,False,False,SAR_coh_only,SAR,False
E6_B_nativeNaN_coh_only,nan_ablation;strategy=B_native_nan;modality=coh_only,points_v3plus,0.48381799534261005,62043,19,1280,6800,9412,44551,False,False,SAR_coh_only,SAR,False
B7_UISEM_coh_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=coh_only,points_v3plus,0.4806697069022174,62043,19,35,8045,158,53805,False,False,SAR_coh_only,SAR,False
R0c_roll7_assessment_only,nb09a;cell=R0c,points_v3plus,0.48012550542935306,63243,21,2265,5982,18048,36948,False,False,other,other,False
E7_SVM_linear,non_tree;classifier=SVM_linear;features=all_multimodal,points_v3plus,0.47927447491983416,62043,19,0,8080,0,53963,False,True,multimodal_all,multimodal,False
D1f_roll7_assess,window=roll7_assess_only,points_v3plus,0.4781416623943893,63243,21,2440,5807,17884,37112,False,False,other,other,False
D1f_roll3_assess,window=roll3_assess_only,points_v3plus,0.4781416623943893,63243,21,2440,5807,17884,37112,False,False,other,other,False
R0c_roll3_assessment_only,nb09a;cell=R0c,points_v3plus,0.47423750376836604,63243,21,2265,5982,18048,36948,False,False,other,other,False
L2b_s2__lu__loss_count,plausibility_standalone;signal=s2__lu__loss_count;higher_is_damage=True,points_v3plus,0.47405385414428625,62043,19,4526,3554,32096,21867,False,False,other,other,True
R4_tier2_ms,nb09a;cell=R4,points_v3plus,0.46574815960612503,3533,5,0,407,2,3124,False,False,other,other,False
B3_logratio_BAEI,unsupervised_logratio;sensor=optical;label=BAEI;direction=|logratio|,points_v3plus,0.4387022688366258,3533,5,175,232,1592,1534,False,False,SAR_unsupervised,SAR,False
L2b_s2__lu__loss_fraction,plausibility_standalone;signal=s2__lu__loss_fraction;higher_is_damage=True,points_v3plus,0.43101608697598626,62043,19,4115,3965,32420,21543,False,False,other,other,True
