model_id,variant_id,group,auc,n_samples,n_cities,TP,FN,FP,TN,is_leaky,is_degenerate,modality,modality_family,is_accumulator
E1_stacking_LogReg,stacking_meta;meta=LogReg;base=RF+GBM+XGB+LGBM,points_v3plus,0.6487429895584855,62043,19,141,7939,280,53683,False,False,other,other,False
E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,points_v3plus,0.6479789507405422,62043,19,389,7691,798,53165,False,False,other,other,False
D2_sar_+_ms_+_coh,ablation=SAR + MS + COH (full),points_v3plus,0.6468040785371274,62043,19,32,8048,55,53908,False,False,multimodal_all,multimodal,False
B7_UISEM_ms_only,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=ms_only,points_v3plus,0.6465070515863178,62043,19,340,7740,567,53396,False,False,MS_only,MS,False
D2_all_features,ablation=All features (clean),points_v3plus,0.6464426980404432,62043,19,35,8045,61,53902,False,False,multimodal_all,multimodal,False
D4_f8_strategy_B_impute,nan_strategy=B_impute_all_rows,points_v3plus,0.6464426888665739,62043,19,35,8045,61,53902,False,False,other,other,False
D6_ms_only,sensor=MS_only,points_v3plus,0.6463633509520549,62043,19,104,7976,128,53835,False,False,MS_only,MS,False
D4_a9_ms_only,nan_strategy=no_nan_baseline,points_v3plus,0.6463633463651204,62043,19,104,7976,128,53835,False,False,MS_only,MS,False
D2_ms-only,ablation=MS-only (optical composites),points_v3plus,0.6459132625801728,62043,19,110,7970,142,53821,False,False,other,other,False
B7_UISEM_all_multimodal,uisem_sensor_ablation;sub=RF+GB+XGB;sensor_group=all_multimodal,points_v3plus,0.6458528331568587,62043,19,196,7884,367,53596,False,False,multimodal_all,multimodal,False
B6_UISEM_no_AdaBoost,uisem_ensemble;sub=RF+GB+XGB;features=all_multimodal;ablation=no_adaboost,points_v3plus,0.6458528331568587,62043,19,196,7884,367,53596,False,False,multimodal_all,multimodal,False
E2_LightGBM_ms,lightgbm_sensor_ablation;sensor=ms,points_v3plus,0.6455003994761354,62043,19,3022,5058,10580,43383,False,False,MS_only,MS,False
D1c_pre_composite,pre_only,points_v3plus,0.6431124825994636,62043,19,113,7967,133,53830,False,False,other,other,False
B5_sub_GB_full_F8,,points_v3plus,0.642307405624279,62043,19,95,7985,141,53822,False,False,other,other,False
E2_LightGBM_all,lightgbm;features=all_multimodal,points_v3plus,0.6397770070912174,62043,19,2391,5689,7623,46340,False,False,multimodal_all,multimodal,False
E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,points_v3plus,0.6397770070912174,62043,19,2391,5689,7623,46340,False,False,multimodal_all,multimodal,False
B5_sub_GBM,uisem_sub_classifier;classifier=GBM;features=all_multimodal,points_v3plus,0.6394475046433539,62043,19,154,7926,251,53712,False,False,multimodal_all,multimodal,False
