file,model_id,variant_id,n_rows,TP,FN,FP,TN
oof_E1_base_GBM__20260429_090246_dac44a.parquet,E1_base_GBM,stacking_base;classifier=GBM;features=all_multimodal,62043,225,7855,588,53375
oof_E1_base_LGBM__20260429_090246_dac44a.parquet,E1_base_LGBM,stacking_base;classifier=LGBM;features=all_multimodal,62043,2391,5689,7623,46340
oof_E1_base_RF__20260429_090246_dac44a.parquet,E1_base_RF,stacking_base;classifier=RF;features=all_multimodal,62043,88,7992,169,53794
oof_E1_base_XGB__20260429_090246_dac44a.parquet,E1_base_XGB,stacking_base;classifier=XGB;features=all_multimodal,62043,879,7201,2850,51113
oof_E1_soft_voting__20260429_090246_dac44a.parquet,E1_soft_voting,stacking_soft_voting;base=RF+GBM+XGB+LGBM,62043,389,7691,798,53165
oof_E1_stacking_LogReg__20260429_090246_dac44a.parquet,E1_stacking_LogReg,stacking_meta;meta=LogReg;base=RF+GBM+XGB+LGBM,62043,141,7939,280,53683
oof_E2_LightGBM_all__20260429_090246_dac44a.parquet,E2_LightGBM_all,lightgbm;features=all_multimodal,62043,2391,5689,7623,46340
oof_E2_LightGBM_card+coh__20260429_090246_dac44a.parquet,E2_LightGBM_card+coh,lightgbm_sensor_ablation;sensor=card+coh,62043,1166,6914,7301,46662
oof_E2_LightGBM_card__20260429_090246_dac44a.parquet,E2_LightGBM_card,lightgbm_sensor_ablation;sensor=card,62043,1149,6931,7703,46260
oof_E2_LightGBM_coh__20260429_090246_dac44a.parquet,E2_LightGBM_coh,lightgbm_sensor_ablation;sensor=coh,62043,1280,6800,9412,44551
oof_E2_LightGBM_ms__20260429_090246_dac44a.parquet,E2_LightGBM_ms,lightgbm_sensor_ablation;sensor=ms,62043,3022,5058,10580,43383
oof_E5_HistGBM_native_NaN__20260429_090246_dac44a.parquet,E5_HistGBM_native_NaN,histgbm_native_nan;imputation=none,62043,3345,4735,11533,42430
oof_E5_LightGBM_native_NaN__20260429_090246_dac44a.parquet,E5_LightGBM_native_NaN,lightgbm_native_nan;imputation=none,62043,2138,5942,7317,46646
oof_E6_A_impute+obs_all_multimodal__20260429_090246_dac44a.parquet,E6_A_impute+obs_all_multimodal,nan_ablation;strategy=A_impute+obs;modality=all_multimodal,62043,120,7960,198,53765
oof_E6_A_impute+obs_card+coh__20260429_090246_dac44a.parquet,E6_A_impute+obs_card+coh,nan_ablation;strategy=A_impute+obs;modality=card+coh,62043,24,8056,73,53890
oof_E6_A_impute+obs_card_only__20260429_090246_dac44a.parquet,E6_A_impute+obs_card_only,nan_ablation;strategy=A_impute+obs;modality=card_only,62043,161,7919,335,53628
oof_E6_A_impute+obs_coh_only__20260429_090246_dac44a.parquet,E6_A_impute+obs_coh_only,nan_ablation;strategy=A_impute+obs;modality=coh_only,62043,167,7913,1207,52756
oof_E6_B_nativeNaN_all_multimodal__20260429_090246_dac44a.parquet,E6_B_nativeNaN_all_multimodal,nan_ablation;strategy=B_native_nan;modality=all_multimodal,62043,2138,5942,7317,46646
oof_E6_B_nativeNaN_card+coh__20260429_090246_dac44a.parquet,E6_B_nativeNaN_card+coh,nan_ablation;strategy=B_native_nan;modality=card+coh,62043,1226,6854,7861,46102
