model_id,auc,n,n_damaged,TP,FN,FP,TN,variant_id
B3_logratio_VH,0.6671,598595,7332,5577,1755,287318,303945,unsupervised_logratio;sensor=sar;label=VH;direction=-logratio
R3b_all_multimodal,0.6657,62043,8080,97,7983,165,53798,nb09a;cell=R3b
R4b_tier0_all,0.6657,39997,5459,132,5327,220,34318,nb09a;cell=R4b
E7c_ExtraTrees,0.6617,62043,8080,180,7900,237,53726,tree_ensemble;classifier=ExtraTrees
R5_ExtraTrees_all_multimodal,0.6617,62043,8080,180,7900,237,53726,nb09a;cell=R5
NB08b_BDA_RGB_XGBoost,0.6615,598595,7332,0,7332,0,591263,dataset=BDA;feature_set=RGB;classifier=XGBoost
L2b_ndvi_delta,0.6607,310131,6319,4866,1453,150200,153612,plausibility_standalone;signal=ndvi_delta;higher_is_damage=False
B3_logratio_NDVI,0.6607,310131,6319,4866,1453,150200,153612,unsupervised_logratio;sensor=optical;label=NDVI;direction=-logratio
NB08b_xBD_RGB_UISEM_voting,0.6602,70931,22559,7582,14977,6294,42078,dataset=xBD;feature_set=RGB;classifier=UISEM_voting
NB08b_xBD_RGB_RF-200,0.6592,70931,22559,8314,14245,7574,40798,dataset=xBD;feature_set=RGB;classifier=RF-200
R5_RF-200_all_multimodal,0.6591,62043,8080,88,7992,169,53794,nb09a;cell=R5
B5_sub_RF,0.6591,62043,8080,88,7992,169,53794,uisem_sub_classifier;classifier=RF;features=all_multimodal
R3_ms_plus_blocks_F8,0.6591,62043,8080,88,7992,169,53794,nb09a;cell=R3
E1_base_RF,0.6591,62043,8080,88,7992,169,53794,stacking_base;classifier=RF;features=all_multimodal
NB08b_BDA_RGB_GBM,0.6586,598595,7332,10,7322,48,591215,dataset=BDA;feature_set=RGB;classifier=GBM
B6_AdaBoost_alone,0.6575,62043,8080,6,8074,43,53920,uisem_sub_classifier;classifier=AdaBoost;features=all_multimodal
ABL_FUSION_MS_COH_ALL,0.6567,480313,7186,211,6975,18873,454254,scenario=FUSION_MS_COH;sensor=ALL;parquet=F7
CLF_F7_RF_200,0.6567,480313,7186,211,6975,18873,454254,classifier=RF_200;parquet=F7
NB08b_BDA_RGB+CARD_XGBoost,0.6562,598595,7332,9,7323,63,591200,dataset=BDA;feature_set=RGB+CARD;classifier=XGBoost
NB08b_BDA_COH_DROP+RGB+CARD_LightGBM,0.6558,205942,6144,2467,3677,28282,171516,dataset=BDA;feature_set=COH_DROP+RGB+CARD;classifier=LightGBM
E6_A_impute+obs_all_multimodal,0.6558,62043,8080,120,7960,198,53765,nan_ablation;strategy=A_impute+obs;modality=all_multimodal
D2_sar_+_ms,0.6554,62043,8080,33,8047,51,53912,ablation=SAR + MS (multimodal)
B5_UISEM_all_features,0.6546,62043,8080,145,7935,262,53701,uisem_ensemble;sub=RF+GB+XGB+AB;features=all_multimodal
E5_HistGBM_native_NaN,0.6546,62043,8080,3345,4735,11533,42430,histgbm_native_nan;imputation=none
