feature,VIF
s2__composite__mndwi__prebattle_baseline,21788.592
s2__composite__mndwi__delta,15782.894
s2__composite__ndbi__prebattle_baseline,14979.657
s2__composite__ndbi__delta,11475.524
s2__composite__ndwi__prebattle_baseline,11267.438
s2__composite__mndwi__post_winter_baseline,10324.44
s2__composite__ndwi__delta,9441.314
s2__composite__ndwi__post_winter_baseline,9341.435
s2__composite__b8a__prebattle_baseline,8661.443
s2__composite__b05__prebattle_baseline,8447.742
s2__composite__b07__prebattle_baseline,7958.831
s2__composite__ndbi__post_winter_baseline,7865.549
s2__composite__b8a__post_winter_baseline,5136.9307
s2__composite__b05__delta,5048.816
s2__composite__b8a__delta,4819.6543
s2__composite__b07__delta,4557.7876
s2__composite__b07__post_winter_baseline,4319.572
s2__composite__ndre__prebattle_baseline,3918.9946
s2__composite__ndre__delta,3505.4775
s2__composite__b03__prebattle_baseline,3367.5664
s2__composite__b04__prebattle_baseline,2714.3206
s2__composite__ndre__post_winter_baseline,2537.0054
s2__composite__b05__post_winter_baseline,2257.7334
s2__composite__b03__delta,2179.4253
s2__composite__cire__delta,2045.0044
s2__composite__cire__prebattle_baseline,1925.5383
s2__composite__b04__delta,1906.5018
s2__composite__cire__post_winter_baseline,1683.9523
s2__composite__b08__prebattle_baseline,1513.0967
s2__composite__b08__post_winter_baseline,1168.4926
s2__composite__b04__post_winter_baseline,1159.3682
s2__composite__ndvi__prebattle_baseline,1155.3761
s2__composite__ndvi__delta,1146.1412
s2__composite__b03__post_winter_baseline,1061.1104
s2__composite__ndvi__post_winter_baseline,1054.0438
s2__composite__b08__delta,1026.1294
s2__composite__b11__post_winter_baseline,991.7957
s2__composite__b12__post_winter_baseline,913.24457
s2__composite__b12__delta,657.4402
s2__composite__b11__prebattle_baseline,577.4693
s2__composite__b11__delta,453.41376
s2__composite__b12__prebattle_baseline,307.74847
s2__composite__b02__prebattle_baseline,182.842
s2__composite__b02__delta,121.03813
s2__composite__b02__post_winter_baseline,56.032383
