feature,VIF
s2__composite__ndvi__prebattle_baseline,inf
s2__composite__ndvi__post_winter_baseline,inf
s2__composite__ndwi__prebattle_baseline,inf
s2__composite__ndwi__post_winter_baseline,inf
s2__composite__mndwi__post_winter_baseline,inf
s2__composite__ndre__post_winter_baseline,inf
s2__composite__b02__post_winter_baseline,inf
s2__composite__cire__post_winter_baseline,inf
s2__composite__cire__prebattle_baseline,inf
s2__composite__mndwi__prebattle_baseline,inf
s2__composite__ndre__prebattle_baseline,inf
s2__composite__b04__post_winter_baseline,inf
s2__composite__b03__post_winter_baseline,inf
s2__composite__b02__prebattle_baseline,inf
s2__composite__b04__prebattle_baseline,inf
s2__composite__b8a__prebattle_baseline,inf
s2__composite__b08__prebattle_baseline,inf
s2__composite__b07__prebattle_baseline,inf
s2__composite__b03__prebattle_baseline,inf
s2__composite__b11__delta,inf
s2__composite__ndbi__prebattle_baseline,inf
s2__composite__ndbi__post_winter_baseline,inf
s2__composite__b05__delta,inf
s2__composite__b8a__post_winter_baseline,inf
s2__composite__b05__post_winter_baseline,inf
s2__composite__b07__delta,inf
s2__composite__b08__post_winter_baseline,inf
s2__composite__b12__delta,inf
s2__composite__b8a__delta,inf
s2__composite__b08__delta,inf
s2__composite__b07__post_winter_baseline,inf
s2__composite__b03__delta,inf
s2__composite__b11__prebattle_baseline,inf
s2__composite__ndre__delta,inf
s2__composite__ndwi__delta,inf
s2__composite__b12__post_winter_baseline,inf
s2__composite__mndwi__delta,inf
s2__composite__b05__prebattle_baseline,inf
s2__composite__b04__delta,inf
s2__composite__ndvi__delta,inf
s2__composite__b02__delta,inf
s2__composite__cire__delta,inf
s2__composite__b11__post_winter_baseline,inf
s2__composite__b12__prebattle_baseline,inf
s2__composite__ndbi__delta,inf
