city,base,pre_col,post_col,rho_all,rho_damaged,rho_control,delta_rho
Avdiivka,s2__composite__b02,s2__composite__b02__prebattle_baseline,s2__composite__b02__post_winter_baseline,0.10395989630089085,-0.07484165528972048,0.11057051015800697,0.18541216544772743
Avdiivka,s2__composite__b03,s2__composite__b03__prebattle_baseline,s2__composite__b03__post_winter_baseline,0.12669514551332628,-0.05755701615126933,0.14264624586793567,0.20020326201920502
Avdiivka,s2__composite__b04,s2__composite__b04__prebattle_baseline,s2__composite__b04__post_winter_baseline,0.1554666079387671,0.000574455386515752,0.17808741294326358,0.1775129575567478
Avdiivka,s2__composite__b05,s2__composite__b05__prebattle_baseline,s2__composite__b05__post_winter_baseline,0.12485017591675246,0.1352690161439527,0.14043249473126443,0.005163478587311726
Avdiivka,s2__composite__b07,s2__composite__b07__prebattle_baseline,s2__composite__b07__post_winter_baseline,0.07280194175369772,0.18595455952861129,0.0809955704907671,-0.10495898903784419
Avdiivka,s2__composite__b08,s2__composite__b08__prebattle_baseline,s2__composite__b08__post_winter_baseline,0.12062066295173642,0.06827041081294827,0.15046538118432531,0.08219497037137705
Avdiivka,s2__composite__b11,s2__composite__b11__prebattle_baseline,s2__composite__b11__post_winter_baseline,0.31935646304154136,0.6438954518540657,0.272513703934363,-0.3713817479197027
Avdiivka,s2__composite__b12,s2__composite__b12__prebattle_baseline,s2__composite__b12__post_winter_baseline,0.4782657514636349,0.6419384679657424,0.4598569597640043,-0.18208150820173807
Avdiivka,s2__composite__b8a,s2__composite__b8a__prebattle_baseline,s2__composite__b8a__post_winter_baseline,0.07853711397349643,0.22558264450478943,0.08288996480583856,-0.14269267969895089
Avdiivka,s2__composite__cire,s2__composite__cire__prebattle_baseline,s2__composite__cire__post_winter_baseline,0.27303470784344974,0.4851093670734981,0.23971562205803468,-0.24539374501546343
Avdiivka,s2__composite__mndwi,s2__composite__mndwi__prebattle_baseline,s2__composite__mndwi__post_winter_baseline,0.14693154907352637,0.04644743517054101,0.11818002815549207,0.07173259298495106
Avdiivka,s2__composite__ndbi,s2__composite__ndbi__prebattle_baseline,s2__composite__ndbi__post_winter_baseline,0.03295930413389893,0.10317507684044044,0.023200450966494267,-0.07997462587394617
Avdiivka,s2__composite__ndre,s2__composite__ndre__prebattle_baseline,s2__composite__ndre__post_winter_baseline,0.39070338920219294,0.6187968129867804,0.3473355365816664,-0.27146127640511397
Avdiivka,s2__composite__ndvi,s2__composite__ndvi__prebattle_baseline,s2__composite__ndvi__post_winter_baseline,0.4536012817606317,0.5353764435558472,0.4145316901866016,-0.12084475336924566
Avdiivka,s2__composite__ndwi,s2__composite__ndwi__prebattle_baseline,s2__composite__ndwi__post_winter_baseline,0.4257222182471309,0.4303213870072513,0.38502206435006836,-0.04529932265718295
Bucha,s2__composite__b02,s2__composite__b02__prebattle_baseline,s2__composite__b02__post_winter_baseline,0.33050971653696604,0.20578042757413517,0.3402286754302665,0.13444824785613135
Bucha,s2__composite__b03,s2__composite__b03__prebattle_baseline,s2__composite__b03__post_winter_baseline,0.43222729410021143,0.30984455958549223,0.4410311607229196,0.13118660113742736
Bucha,s2__composite__b04,s2__composite__b04__prebattle_baseline,s2__composite__b04__post_winter_baseline,0.47437418105241136,0.32468761941546515,0.48161077464205354,0.1569231552265884
Bucha,s2__composite__b05,s2__composite__b05__prebattle_baseline,s2__composite__b05__post_winter_baseline,0.5372124173513607,0.3388962621161755,0.5607624513466528,0.2218661892304773
Bucha,s2__composite__b07,s2__composite__b07__prebattle_baseline,s2__composite__b07__post_winter_baseline,0.5380497685667349,0.3338422914620767,0.564627901340169,0.23078560987809232
Bucha,s2__composite__b08,s2__composite__b08__prebattle_baseline,s2__composite__b08__post_winter_baseline,0.49590354293029193,0.32253290217074204,0.5152818952046193,0.19274899303387727
