tier,sensor,auc,f1,n_features,n_buildings,n_cities
PREPOST,CARD,0.524805881261862,0.001837953744830755,96,368288,21
PREPOST,COH,0.5825977659513681,0.062086265765451884,36,163644,16
PREPOST,MS,0.6304451993384343,0.0012616306576249802,192,310131,19
PREPOST,SAR_ALL,0.5863267258238323,0.008860011813349085,132,368288,21
PREPOST,ALL,0.6570839255650158,0.0009302325581395349,324,368288,21
PREPOST_COH,CARD,0.5248058814767216,0.001837953744830755,96,368288,21
PREPOST_COH,COH,0.582597785057187,0.062086265765451884,36,163644,16
PREPOST_COH,MS,0.630445189701954,0.0012616306576249802,192,310131,19
PREPOST_COH,SAR_ALL,0.5863267243198159,0.008860011813349085,132,368288,21
PREPOST_COH,ALL,0.6570839313662216,0.0009302325581395349,324,368288,21
FULL_TEMPORAL,CARD,0.5048407107739408,0.0102880658436214,124,368288,21
FULL_TEMPORAL,COH,0.5825977850571868,0.062086265765451884,36,163644,16
FULL_TEMPORAL,MS,0.6304451886601722,0.0012616306576249802,192,310131,19
FULL_TEMPORAL,SAR_ALL,0.5668573175835715,0.007105847520355292,160,368288,21
FULL_TEMPORAL,ALL,0.6301750420590758,0.0009293680297397769,352,368288,21
POST_ONLY,CARD,0.5752701890058282,0.0037226617031177293,48,368288,21
POST_ONLY,COH,0.6003902830308708,0.06779366641579343,18,156817,15
POST_ONLY,MS,0.5085477884853233,0.009203260583749671,64,310131,19
POST_ONLY,SAR_ALL,0.7326686550957386,0.01949820788530466,66,368288,21
POST_ONLY,ALL,0.6794978854060871,0.006417112299465241,130,368288,21
