p_flip,spearman_rho_mean,spearman_rho_std,top5_overlap_mean,mean_abs_delta_auc_mean
0.01,0.9406,0.0034,1.4,0.0677
0.05,0.826,0.0068,0.0,0.1227
0.1,0.7883,0.011,0.0,0.1382
0.2,0.7447,0.0197,0.0,0.1492
