auc_raw,auc_best,direction,mann_whitney_u,mann_whitney_p,mean_damaged,mean_control,n_valid,city,feature,source,product
0.4579320384664737,0.5420679615335263,lower=damaged,506759.5,0.1707403105660067,-6.166761875152588,-5.643747806549072,12523,Avdiivka,s1__vv__card_prepost__pre,card_prepost,P7b
0.5332022743004412,0.5332022743004412,higher=damaged,590055.5,0.2796353782560047,-1.599970817565918,-2.1442337036132812,12523,Avdiivka,s1__vv__card_prepost__delta,card_prepost,P7b
0.4735588175228126,0.5264411824771874,lower=damaged,524052.5,0.38924914825855605,-7.766732692718506,-7.787981986999512,12523,Avdiivka,s1__vv__card_prepost__post,card_prepost,P7b
0.5246076813666044,0.5246076813666044,higher=damaged,580544.5,0.42297175952883725,-14.107994079589844,-14.511167526245117,12523,Avdiivka,s1__vh__card_prepost__post,card_prepost,P7b
0.5105776477328383,0.5105776477328383,higher=damaged,565018.5,0.7305294275396756,-2.1233866214752197,-2.148791790008545,12523,Avdiivka,s1__vh__card_prepost__delta,card_prepost,P7b
0.49747023836418086,0.5025297616358191,lower=damaged,550513.5,0.9343596561981891,-11.98460578918457,-12.36237621307373,12523,Avdiivka,s1__vh__card_prepost__pre,card_prepost,P7b
0.5686030012549137,0.5686030012549137,higher=damaged,1532388.5,0.002945665607526785,-3.127638578414917,-4.533692359924316,17215,Bucha,s1__vv__card_prepost__pre,card_prepost,P7b
0.5636293574114492,0.5636293574114492,higher=damaged,1518984.5,0.00581941991124602,-4.262688159942627,-5.30515718460083,17215,Bucha,s1__vv__card_prepost__post,card_prepost,P7b
0.4608956343696452,0.5391043656303548,lower=damaged,1242116.5,0.09010663347356446,-1.1350501775741577,-0.771464467048645,17215,Bucha,s1__vv__card_prepost__delta,card_prepost,P7b
0.4779412364944642,0.5220587635055358,lower=damaged,1288054.5,0.3390455611457208,-0.3932606875896454,-0.2853662967681885,17215,Bucha,s1__vh__card_prepost__delta,card_prepost,P7b
0.4906773862470065,0.5093226137529935,lower=damaged,1322378.5,0.6861771136340205,-12.18513298034668,-12.0781831741333,17215,Bucha,s1__vh__card_prepost__post,card_prepost,P7b
0.5027504576984245,0.5027504576984245,higher=damaged,1354915.5,0.9051160840115667,-11.791872024536133,-11.792817115783691,17215,Bucha,s1__vh__card_prepost__pre,card_prepost,P7b
0.4719334945619182,0.5280665054380818,lower=damaged,8021447.0,0.0769914595499166,-14.198925018310547,-13.845050811767578,51375,Chernihiv,s1__vh__card_prepost__pre,card_prepost,P7b
0.4795777616102055,0.5204222383897945,lower=damaged,8151376.5,0.19817629889954402,-6.292144775390625,-6.126330375671387,51375,Chernihiv,s1__vv__card_prepost__pre,card_prepost,P7b
0.5168133338463655,0.5168133338463655,higher=damaged,8784269.0,0.2894292593410036,1.794371485710144,1.747189998626709,51375,Chernihiv,s1__vv__card_prepost__delta,card_prepost,P7b
0.4833737875644541,0.5166262124355459,lower=damaged,8215897.5,0.294830159525728,-12.196917533874512,-11.942105293273926,51375,Chernihiv,s1__vh__card_prepost__post,card_prepost,P7b
0.5107339030578715,0.5107339030578715,higher=damaged,8680937.0,0.4988368199314407,2.002009153366089,1.902944564819336,51375,Chernihiv,s1__vh__card_prepost__delta,card_prepost,P7b
0.4996947694138243,0.5003052305861757,lower=damaged,8493305.0,0.9846575072923962,-4.497772693634033,-4.379140377044678,51375,Chernihiv,s1__vv__card_prepost__post,card_prepost,P7b
0.27378908748190783,0.7262109125180922,lower=damaged,16268.0,0.0550205600539681,-3.0129573345184326,0.5856000185012817,9909,Chornobaivka,s1__vv__card_prepost__delta,card_prepost,P7b
0.6807869669123834,0.6807869669123834,higher=damaged,40451.0,0.12517362940632187,-1.147078037261963,-5.201237678527832,9909,Chornobaivka,s1__vv__card_prepost__pre,card_prepost,P7b
0.37111649668450636,0.6288835033154936,lower=damaged,22051.0,0.27432570561354874,-1.9137111902236938,0.47682926058769226,9909,Chornobaivka,s1__vh__card_prepost__delta,card_prepost,P7b
0.6001884950688344,0.6001884950688344,higher=damaged,35662.0,0.3954608162963841,-4.160035133361816,-4.61563777923584,9909,Chornobaivka,s1__vv__card_prepost__post,card_prepost,P7b
0.583543707294086,0.583543707294086,higher=damaged,34673.0,0.47859131156199064,-9.835110664367676,-12.054657936096191,9909,Chornobaivka,s1__vh__card_prepost__pre,card_prepost,P7b
