model_id,auc_v2,modality,auc_v3,delta_v2_minus_v3
R5_XGBoost_dietrich28,0.8302795858107583,other,0.5205326517215406,0.3097469340892177
R5_LightGBM_dietrich28,0.8161540764762641,other,0.5154907735256613,0.30066330295060284
R5_GBM_dietrich28,0.8048063804585743,other,0.5199841975345487,0.2848221829240256
R5_ExtraTrees_dietrich28,0.8111518470397765,other,0.5413694482739942,0.26978239876578225
R0c_roll3_assessment_only,0.7249721453998722,other,0.47423750376836604,0.25073464163150616
R3_card_block_stats_A15,0.7823869548078545,other,0.535774293952421,0.24661266085543343
B7_UISEM_card_only,0.7336402829726092,SAR_card_only,0.5064697130211882,0.22717056995142104
E2_LightGBM_card,0.7207604318259747,SAR_card_only,0.49403447365750974,0.22672595816846497
E2_LightGBM_card+coh,0.7196988932290961,SAR_card_only,0.5068523172643229,0.2128465759647732
E6_B_nativeNaN_card+coh,0.7133251483983398,SAR_card+coh,0.5011482611022624,0.21217688729607742
E6_B_nativeNaN_card_only,0.7107733515605791,SAR_card_only,0.5004967053883455,0.21027664617223363
B7_UISEM_card+coh+delta,0.6969886391833461,SAR_card+coh,0.5140889003888436,0.1828997387945025
B7_UISEM_card+coh,0.6969886391833461,SAR_card+coh,0.5140889003888436,0.1828997387945025
R0c_roll3_baseline+assessment,0.6976463614886139,other,0.5185024479618007,0.17914391352681325
R5_XGBoost_all_multimodal,0.8054271454442101,multimodal_all,0.6332572873088876,0.17216985813532248
B5_sub_GBM,0.8076423199416678,multimodal_all,0.6394475046433539,0.16819481529831393
R1_random_cv,0.7828202498947672,other,0.6215263168097245,0.1612939330850427
R5_LightGBM_all_multimodal,0.7920682414235619,multimodal_all,0.6313046865811797,0.16076355484238225
B3_logratio_VV,0.681149122463606,SAR_unsupervised,0.5205224731755793,0.16062664928802672
R0c_roll13_baseline+assessment,0.6748244371013341,other,0.5193793573117255,0.15544507978960864
R4b_tier0_card,0.6470752317798374,other,0.49315561756748233,0.15391961421235506
R4_tier0_dietrich28,0.6470752295516843,other,0.49315561756748233,0.15391961198420195
R0c_roll7_baseline+assessment,0.6748244391773917,other,0.5229516080285848,0.1518728311488069
B3_logratio_VH,0.6671137775693625,SAR_unsupervised,0.5154963803798538,0.15161739718950873
R0b_prepost_single_card_groupkfold,0.6589429367388439,other,0.5173883662542323,0.1415545704846115
E7d_MLP_256_128_64,0.7724281894115831,other,0.6316471803745984,0.14078100903698465
R0_dietrich28_faithful_groupkfold,0.684524676294238,other,0.5454552817638035,0.13906939453043443
R1_groupkfold,0.6845246644145762,other,0.5454552817638035,0.13906938265077262
R5_RF-200_dietrich28,0.6845246638378937,other,0.5454552817638035,0.13906938207409014
R3_ms_plus_cohdrop_F7,0.7719922317393865,other,0.6347923329859481,0.1371998987534384
B7_UISEM_coh_only,0.6137886035205519,SAR_coh_only,0.4806697069022174,0.13311889661833448
B5_sub_XGB,0.7351607455623612,multimodal_all,0.602301184823558,0.13285956073880323
E6_B_nativeNaN_coh_only,0.6153545235893508,SAR_coh_only,0.48381799534261005,0.13153652824674078
E2_LightGBM_coh,0.6153545235893508,SAR_coh_only,0.48381799534261005,0.13153652824674078
E7c_HistGBM_imputed,0.7826012775509006,other,0.6520193417730484,0.13058193577785215
B3_logratio_BAEI,0.5668219418649276,SAR_unsupervised,0.4387022688366258,0.12811967302830185
D1e_zonal_std,0.6296559679799762,other,0.5031760569061261,0.12647991107385015
B4_step1_card,0.6513286371789955,other,0.5259161180834978,0.12541251909549767
R5_ExtraTrees_all_multimodal,0.7845573609750085,multimodal_all,0.661729654146965,0.12282770682804345
E1_base_GBM,0.7535045534130647,multimodal_all,0.6321186060195628,0.12138594739350184
R2_roll7,0.6438366752971323,other,0.5250533746943228,0.1187833006028095
R2_roll13,0.6438366759891515,other,0.5254939790676091,0.11834269692154242
R3b_card_only,0.6485729126788363,SAR_card_only,0.5313261671959684,0.11724674548286795
R5_RF-200_all_multimodal,0.7736753534008248,multimodal_all,0.6591263692229165,0.11454898417790838
R3_ms_plus_blocks_F8,0.7736753529596343,other,0.6591263692229165,0.11454898373671785
D1e_zonal_max,0.6371691429007024,other,0.5235484436567773,0.11362069924392504
E7d_MLP_128_64,0.7153629115379109,other,0.6018208582319788,0.11354205330593203
R3_ms_only_A9,0.7612317905914092,MS_only,0.6503927104068189,0.11083908018459032
D1e_zonal_mean,0.621639305088643,other,0.512099886793138,0.10953941829550495
E8_IsolationForest_c=0.100,0.6285220814667695,other,0.520073056566261,0.10844902490050845
E8_IsolationForest_c=0.050,0.6285220814667695,other,0.520073056566261,0.10844902490050845
E7b_RidgeClassifier,0.740155972074616,other,0.6339788545525233,0.10617711752209269
E5_HistGBM_native_NaN,0.7595608215202697,other,0.6545634540938667,0.10499736742640298
R2_roll3,0.6294920377612986,other,0.5247997389547463,0.10469229880655229
R3b_coh_only,0.5892376541576873,SAR_coh_only,0.48521864334803655,0.1040190108096507
D1i_allblocks_groupkfold,0.6178829601233143,other,0.5217038404406857,0.0961791196826286
R3_card_only_prepost_A13,0.6061836963618135,SAR_card_only,0.5173883662542323,0.08879533010758112
L2b_plausibility_score,0.5867445743594704,other,0.498990981215182,0.08775359314428838
E6_B_nativeNaN_all_multimodal,0.715776332010106,multimodal_all,0.6299615908443317,0.08581474116577437
E5_LightGBM_native_NaN,0.715776332010106,other,0.6299615908443317,0.08581474116577437
B5_UISEM_all_features,0.7395001445725922,multimodal_all,0.6546288614879685,0.08487128308462366
R3b_card_coh,0.6261093667912708,other,0.542348438047852,0.08376092874341878
E2_LightGBM_all,0.719329422383606,multimodal_all,0.6397770070912174,0.07955241529238855
E1_base_LGBM,0.719329422383606,multimodal_all,0.6397770070912174,0.07955241529238855
D2_sar-only,0.6050585595868031,other,0.5328670137110815,0.07219154587572163
