city,feature,n,mean,std,skewness,kurtosis,shapiro_stat,shapiro_p,is_normal_005,pct_nan
Avdiivka,s2__composite__b03__post_winter_baseline__max,1186,0.41627264,0.12638526,0.99878883,0.9888272,0.9366824120129977,4.773896646076189e-22,False,0.0
Avdiivka,s2__composite__b03__post_winter_baseline__max_abs_delta,1186,0.1386387,0.08755042,1.4785558,2.4302378,0.8765429009135909,1.2025483472148174e-29,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__mean,1186,0.35489658,0.09430804,1.2148181,2.3815985,0.9248370880175678,6.936300845706294e-24,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__p10,1186,0.3055936,0.07760956,1.4931679,4.4673905,0.9074328958760538,3.187469614162927e-26,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__p50,1186,0.35171613,0.096142784,1.2956716,2.5950623,0.9161700130754035,4.272687723973603e-25,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__p90,1186,0.40746966,0.11901429,1.0899918,1.423902,0.930687588989558,5.2395103828188445e-23,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__std,1186,0.043929998,0.028818278,1.6944332,3.5842957,0.8545701580986436,1.0806031836609983e-31,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__min,1186,0.29134113,0.07342627,1.5472986,5.0067196,0.9048804409091857,1.5472973543510908e-26,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__max,1186,0.42905095,0.12766702,0.97839105,0.95620465,0.9386588536755308,1.0235050364404014e-21,False,0.0
Avdiivka,s2__composite__b04__post_winter_baseline__max_abs_delta,1186,0.13770983,0.08652429,1.5070184,2.6060276,0.8740214527964824,6.782666896419345e-30,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline__mean,1186,0.37432626,0.09098476,1.1355896,2.1195946,0.9316999730329856,7.531134130689575e-23,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline__p10,1186,0.34953627,0.0825166,1.1604226,2.4732313,0.9321311213449901,8.800299853379812e-23,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline__p50,1186,0.37305382,0.09204474,1.1793003,2.3134046,0.9287238479463847,2.621275901505607e-23,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline__p90,1186,0.40032393,0.102424875,1.0827323,1.6464648,0.9338109071455458,1.6260258469990161e-22,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline__std,1186,0.02144179,0.0169102,2.0868683,5.937829,0.8105534651912785,3.7880736539437234e-35,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline__min,1186,0.34314445,0.08011827,1.1642796,2.60047,0.9323982064928706,9.695240583841028e-23,False,0.0
Avdiivka,s2__composite__b05__post_winter_baseline__max,1186,0.4088926,0.10561823,1.054539,1.482491,0.9349195157618512,2.454035632837811e-22,False,0.0
