model_id,city,n_overture,n_labeled,n_no_unosat,pct_labeled,TP,FN,FP,TN
B0_single_s1_coh_running_minM,Kharkiv,213845,170104,43741,79.5,0,238,0,169866
B0_single_s1_coh_running_minM,Kherson,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_running_minM,Kramatorsk,58518,10414,48104,17.8,0,19,0,10395
B0_single_s1_coh_running_minM,Lysychansk,47169,41600,5569,88.2,1071,0,40529,0
B0_single_s1_coh_running_minM,Makariv,7742,5554,2188,71.7,53,0,5501,0
B0_single_s1_coh_running_minM,Mariupol,119107,28973,90134,24.3,3055,0,25917,1
B0_single_s1_coh_running_minM,Moschun,20565,1248,19317,6.1,73,0,1175,0
B0_single_s1_coh_running_minM,Mykolaiv,137326,113042,24284,82.3,0,84,0,112958
B0_single_s1_coh_running_minM,Okhtyrka,27603,26456,1147,95.8,35,0,26420,1
B0_single_s1_coh_running_minM,Rubizhne,16687,13609,3078,81.6,431,0,13178,0
B0_single_s1_coh_running_minM,Sievierodonetsk,14151,9065,5086,64.1,534,0,8531,0
B0_single_s1_coh_running_minM,Trostianets,18656,8737,9919,46.8,18,0,8719,0
B0_single_s1_coh_running_minM,Volnovakha,13888,13463,425,96.9,163,0,13300,0
B0_single_s1_coh_max_dropM,Avdiivka,13360,12523,837,93.7,28,61,1233,11201
B0_single_s1_coh_max_dropM,Borodyanka,49969,5240,44729,10.5,58,4,5137,41
B0_single_s1_coh_max_dropM,Bucha,17367,17215,152,99.1,158,0,17054,3
B0_single_s1_coh_max_dropM,Chernihiv,58626,51375,7251,87.6,333,0,51042,0
B0_single_s1_coh_max_dropM,Chornobaivka,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_max_dropM,Dmytrivka,13650,13649,1,100.0,144,0,13505,0
B0_single_s1_coh_max_dropM,Hostomel,19798,19145,653,96.7,510,1,18624,10
B0_single_s1_coh_max_dropM,Irpin,17686,17365,321,98.2,249,0,17082,34
B0_single_s1_coh_max_dropM,Kharkiv,213845,170104,43741,79.5,0,238,0,169866
B0_single_s1_coh_max_dropM,Kherson,10829,9909,920,91.5,0,6,0,9903
B0_single_s1_coh_max_dropM,Kramatorsk,58518,10414,48104,17.8,0,19,0,10395
B0_single_s1_coh_max_dropM,Lysychansk,47169,41600,5569,88.2,1071,0,40526,3
B0_single_s1_coh_max_dropM,Makariv,7742,5554,2188,71.7,53,0,5501,0
B0_single_s1_coh_max_dropM,Mariupol,119107,28973,90134,24.3,3049,6,25899,19
B0_single_s1_coh_max_dropM,Moschun,20565,1248,19317,6.1,73,0,1175,0
B0_single_s1_coh_max_dropM,Mykolaiv,137326,113042,24284,82.3,0,84,0,112958
B0_single_s1_coh_max_dropM,Okhtyrka,27603,26456,1147,95.8,35,0,26383,38
B0_single_s1_coh_max_dropM,Rubizhne,16687,13609,3078,81.6,431,0,13178,0
B0_single_s1_coh_max_dropM,Sievierodonetsk,14151,9065,5086,64.1,534,0,8511,20
B0_single_s1_coh_max_dropM,Trostianets,18656,8737,9919,46.8,18,0,8719,0
B0_single_s1_coh_max_dropM,Volnovakha,13888,13463,425,96.9,163,0,13286,14
CLF_A17_GBM,Avdiivka,13360,12523,837,93.7,5,84,12,12422
CLF_A17_GBM,Borodyanka,49969,5240,44729,10.5,0,62,5,5173
CLF_A17_GBM,Bucha,17367,17215,152,99.1,1,157,16,17041
CLF_A17_GBM,Chernihiv,58626,51375,7251,87.6,0,333,0,51042
CLF_A17_GBM,Chornobaivka,10829,9909,920,91.5,0,6,0,9903
CLF_A17_GBM,Dmytrivka,13650,13649,1,100.0,3,141,9,13496
CLF_A17_GBM,Hostomel,19798,19145,653,96.7,3,508,12,18622
CLF_A17_GBM,Irpin,17686,17365,321,98.2,1,248,18,17098
CLF_A17_GBM,Kharkiv,213845,170104,43741,79.5,0,238,11,169855
CLF_A17_GBM,Kherson,10829,9909,920,91.5,0,6,3,9900
CLF_A17_GBM,Kramatorsk,58518,10414,48104,17.8,0,19,0,10395
CLF_A17_GBM,Lysychansk,47169,41600,5569,88.2,2,1069,17,40512
CLF_A17_GBM,Makariv,7742,5554,2188,71.7,0,53,0,5501
CLF_A17_GBM,Mariupol,119107,28973,90134,24.3,7,3048,25,25893
CLF_A17_GBM,Moschun,20565,1248,19317,6.1,0,73,0,1175
CLF_A17_GBM,Mykolaiv,137326,113042,24284,82.3,0,84,0,112958
CLF_A17_GBM,Okhtyrka,27603,26456,1147,95.8,0,35,12,26409
CLF_A17_GBM,Rubizhne,16687,13609,3078,81.6,0,431,0,13178
CLF_A17_GBM,Sievierodonetsk,14151,9065,5086,64.1,10,524,28,8503
CLF_A17_GBM,Trostianets,18656,8737,9919,46.8,0,18,0,8719
CLF_A17_GBM,Volnovakha,13888,13463,425,96.9,0,163,12,13288
CLF_F7_GBM,Avdiivka,13360,12523,837,93.7,4,85,284,12150
CLF_F7_GBM,Borodyanka,49969,0,49969,0.0,0,0,0,0
CLF_F7_GBM,Bucha,17367,17215,152,99.1,0,158,9,17048
CLF_F7_GBM,Chernihiv,58626,51375,7251,87.6,0,333,7,51035
CLF_F7_GBM,Chornobaivka,10829,9909,920,91.5,0,6,0,9903
CLF_F7_GBM,Dmytrivka,13650,13649,1,100.0,0,144,7,13498
CLF_F7_GBM,Hostomel,19798,19145,653,96.7,1,510,5,18629
CLF_F7_GBM,Irpin,17686,17365,321,98.2,0,249,8,17108
CLF_F7_GBM,Kharkiv,213845,170104,43741,79.5,0,238,17,169849
CLF_F7_GBM,Kherson,10829,9909,920,91.5,0,6,0,9903
CLF_F7_GBM,Kramatorsk,58518,10414,48104,17.8,0,19,8,10387
CLF_F7_GBM,Lysychansk,47169,41600,5569,88.2,5,1066,64,40465
CLF_F7_GBM,Makariv,7742,5554,2188,71.7,0,53,0,5501
CLF_F7_GBM,Mariupol,119107,28973,90134,24.3,14,3041,16,25902
CLF_F7_GBM,Moschun,20565,1248,19317,6.1,0,73,0,1175
CLF_F7_GBM,Mykolaiv,137326,0,137326,0.0,0,0,0,0
CLF_F7_GBM,Okhtyrka,27603,26456,1147,95.8,0,35,3,26418
CLF_F7_GBM,Rubizhne,16687,13609,3078,81.6,1,430,2,13176
CLF_F7_GBM,Sievierodonetsk,14151,9065,5086,64.1,2,532,4,8527
CLF_F7_GBM,Trostianets,18656,8737,9919,46.8,0,18,35,8684
CLF_F7_GBM,Volnovakha,13888,13463,425,96.9,0,163,0,13300
CLF_A17_LightGBM,Avdiivka,13360,12523,837,93.7,66,23,3051,9383
CLF_A17_LightGBM,Borodyanka,49969,5240,44729,10.5,20,42,1205,3973
CLF_A17_LightGBM,Bucha,17367,17215,152,99.1,116,42,2943,14114
CLF_A17_LightGBM,Chernihiv,58626,51375,7251,87.6,160,173,15231,35811
CLF_A17_LightGBM,Chornobaivka,10829,9909,920,91.5,0,6,0,9903
CLF_A17_LightGBM,Dmytrivka,13650,13649,1,100.0,107,37,4155,9350
CLF_A17_LightGBM,Hostomel,19798,19145,653,96.7,259,252,5476,13158
CLF_A17_LightGBM,Irpin,17686,17365,321,98.2,163,86,6403,10713
CLF_A17_LightGBM,Kharkiv,213845,170104,43741,79.5,2,236,143,169723
CLF_A17_LightGBM,Kherson,10829,9909,920,91.5,1,5,690,9213
CLF_A17_LightGBM,Kramatorsk,58518,10414,48104,17.8,2,17,76,10319
CLF_A17_LightGBM,Lysychansk,47169,41600,5569,88.2,871,200,33164,7365
CLF_A17_LightGBM,Makariv,7742,5554,2188,71.7,0,53,0,5501
CLF_A17_LightGBM,Mariupol,119107,28973,90134,24.3,1678,1377,13082,12836
CLF_A17_LightGBM,Moschun,20565,1248,19317,6.1,13,60,182,993
CLF_A17_LightGBM,Mykolaiv,137326,113042,24284,82.3,0,84,0,112958
CLF_A17_LightGBM,Okhtyrka,27603,26456,1147,95.8,15,20,2884,23537
CLF_A17_LightGBM,Rubizhne,16687,13609,3078,81.6,334,97,10388,2790
CLF_A17_LightGBM,Sievierodonetsk,14151,9065,5086,64.1,428,106,5773,2758
CLF_A17_LightGBM,Trostianets,18656,8737,9919,46.8,0,18,641,8078
CLF_A17_LightGBM,Volnovakha,13888,13463,425,96.9,38,125,1243,12057
B0_single_s1_coh_max_dropX,Avdiivka,13360,12523,837,93.7,17,72,1244,11190
