model_id,group,city,n_labeled,n_no_unosat,TP,FN,FP,TN
B0_single_s1_coh_running_minX,buildings_v2,Makariv,5554,0,53,0,5501,0
B0_single_s1_coh_running_minX,buildings_v2,Mariupol,28973,0,3055,0,25918,0
B0_single_s1_coh_running_minX,buildings_v2,Moschun,1248,0,73,0,1175,0
B0_single_s1_coh_running_minX,buildings_v2,Mykolaiv,113042,0,0,84,0,112958
B0_single_s1_coh_running_minX,buildings_v2,Okhtyrka,26456,0,35,0,26419,2
B0_single_s1_coh_running_minX,buildings_v2,Rubizhne,13609,0,431,0,13178,0
B0_single_s1_coh_running_minX,buildings_v2,Sievierodonetsk,9065,0,534,0,8531,0
B0_single_s1_coh_running_minX,buildings_v2,Trostianets,8737,0,18,0,8719,0
B0_single_s1_coh_running_minX,buildings_v2,Volnovakha,13463,0,163,0,13300,0
CLF_F7_LightGBM,buildings_v2,Avdiivka,12523,0,8,81,143,12291
CLF_F7_LightGBM,buildings_v2,Bucha,17215,0,70,88,1150,15907
CLF_F7_LightGBM,buildings_v2,Chernihiv,51375,0,103,230,5843,45199
CLF_F7_LightGBM,buildings_v2,Chornobaivka,9909,0,1,5,7,9896
CLF_F7_LightGBM,buildings_v2,Dmytrivka,13649,0,77,67,1339,12166
CLF_F7_LightGBM,buildings_v2,Hostomel,19145,0,163,348,1888,16746
CLF_F7_LightGBM,buildings_v2,Irpin,17365,0,128,121,3198,13918
CLF_F7_LightGBM,buildings_v2,Kharkiv,170104,0,1,237,10,169856
CLF_F7_LightGBM,buildings_v2,Kherson,9909,0,3,3,30,9873
CLF_F7_LightGBM,buildings_v2,Kramatorsk,10414,0,0,19,51,10344
CLF_F7_LightGBM,buildings_v2,Lysychansk,41600,0,892,179,28587,11942
CLF_F7_LightGBM,buildings_v2,Makariv,5554,0,22,31,559,4942
CLF_F7_LightGBM,buildings_v2,Mariupol,28973,0,1660,1395,5819,20099
CLF_F7_LightGBM,buildings_v2,Moschun,1248,0,14,59,113,1062
CLF_F7_LightGBM,buildings_v2,Okhtyrka,26456,0,4,31,706,25715
CLF_F7_LightGBM,buildings_v2,Rubizhne,13609,0,101,330,1124,12054
CLF_F7_LightGBM,buildings_v2,Sievierodonetsk,9065,0,483,51,6397,2134
CLF_F7_LightGBM,buildings_v2,Trostianets,8737,0,3,15,129,8590
CLF_F7_LightGBM,buildings_v2,Volnovakha,13463,0,26,137,1063,12237
E2_LightGBM_card,buildings_v2,Avdiivka,12523,0,0,89,1,12433
E2_LightGBM_card,buildings_v2,Bucha,17215,0,99,59,1693,15364
E2_LightGBM_card,buildings_v2,Chernihiv,51375,0,68,265,4055,46987
E2_LightGBM_card,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
E2_LightGBM_card,buildings_v2,Dmytrivka,13649,0,93,51,1530,11975
E2_LightGBM_card,buildings_v2,Hostomel,19145,0,228,283,3304,15330
E2_LightGBM_card,buildings_v2,Irpin,17365,0,128,121,2572,14544
E2_LightGBM_card,buildings_v2,Kharkiv,170104,0,5,233,142,169724
E2_LightGBM_card,buildings_v2,Kherson,9909,0,1,5,352,9551
E2_LightGBM_card,buildings_v2,Kramatorsk,10414,0,9,10,786,9609
E2_LightGBM_card,buildings_v2,Lysychansk,41600,0,678,393,28239,12290
E2_LightGBM_card,buildings_v2,Makariv,5554,0,1,52,18,5483
E2_LightGBM_card,buildings_v2,Mariupol,28973,0,1849,1206,6763,19155
E2_LightGBM_card,buildings_v2,Moschun,1248,0,8,65,86,1089
E2_LightGBM_card,buildings_v2,Okhtyrka,26456,0,20,15,4915,21506
E2_LightGBM_card,buildings_v2,Rubizhne,13609,0,191,240,3075,10103
E2_LightGBM_card,buildings_v2,Sievierodonetsk,9065,0,503,31,7111,1420
E2_LightGBM_card,buildings_v2,Trostianets,8737,0,2,16,552,8167
E2_LightGBM_card,buildings_v2,Volnovakha,13463,0,25,138,1006,12294
B0_single_s1_coh_running_minM,buildings_v2,Avdiivka,12523,0,25,64,1224,11210
B0_single_s1_coh_running_minM,buildings_v2,Borodyanka,5240,0,62,0,5178,0
B0_single_s1_coh_running_minM,buildings_v2,Bucha,17215,0,158,0,17057,0
B0_single_s1_coh_running_minM,buildings_v2,Chernihiv,51375,0,333,0,51042,0
B0_single_s1_coh_running_minM,buildings_v2,Chornobaivka,9909,0,0,6,0,9903
B0_single_s1_coh_running_minM,buildings_v2,Dmytrivka,13649,0,144,0,13505,0
B0_single_s1_coh_running_minM,buildings_v2,Hostomel,19145,0,511,0,18632,2
B0_single_s1_coh_running_minM,buildings_v2,Irpin,17365,0,249,0,17116,0
B0_single_s1_coh_running_minM,buildings_v2,Kharkiv,170104,0,0,238,0,169866
B0_single_s1_coh_running_minM,buildings_v2,Kherson,9909,0,0,6,0,9903
B0_single_s1_coh_running_minM,buildings_v2,Kramatorsk,10414,0,0,19,0,10395
B0_single_s1_coh_running_minM,buildings_v2,Lysychansk,41600,0,1071,0,40529,0
B0_single_s1_coh_running_minM,buildings_v2,Makariv,5554,0,53,0,5501,0
B0_single_s1_coh_running_minM,buildings_v2,Mariupol,28973,0,3055,0,25917,1
B0_single_s1_coh_running_minM,buildings_v2,Moschun,1248,0,73,0,1175,0
B0_single_s1_coh_running_minM,buildings_v2,Mykolaiv,113042,0,0,84,0,112958
B0_single_s1_coh_running_minM,buildings_v2,Okhtyrka,26456,0,35,0,26420,1
B0_single_s1_coh_running_minM,buildings_v2,Rubizhne,13609,0,431,0,13178,0
B0_single_s1_coh_running_minM,buildings_v2,Sievierodonetsk,9065,0,534,0,8531,0
B0_single_s1_coh_running_minM,buildings_v2,Trostianets,8737,0,18,0,8719,0
B0_single_s1_coh_running_minM,buildings_v2,Volnovakha,13463,0,163,0,13300,0
E1_base_LGBM,buildings_v2,Avdiivka,12523,0,2,87,14,12420
E1_base_LGBM,buildings_v2,Bucha,17215,0,72,86,654,16403
E1_base_LGBM,buildings_v2,Chernihiv,51375,0,134,199,8829,42213
E1_base_LGBM,buildings_v2,Chornobaivka,9909,0,0,6,1,9902
E1_base_LGBM,buildings_v2,Dmytrivka,13649,0,60,84,419,13086
E1_base_LGBM,buildings_v2,Hostomel,19145,0,217,294,2955,15679
E1_base_LGBM,buildings_v2,Irpin,17365,0,92,157,1368,15748
E1_base_LGBM,buildings_v2,Kharkiv,170104,0,0,238,2,169864
E1_base_LGBM,buildings_v2,Kherson,9909,0,1,5,237,9666
E1_base_LGBM,buildings_v2,Kramatorsk,10414,0,0,19,38,10357
E1_base_LGBM,buildings_v2,Lysychansk,41600,0,786,285,25960,14569
E1_base_LGBM,buildings_v2,Makariv,5554,0,17,36,184,5317
E1_base_LGBM,buildings_v2,Mariupol,28973,0,1435,1620,3476,22442
E1_base_LGBM,buildings_v2,Moschun,1248,0,13,60,133,1042
E1_base_LGBM,buildings_v2,Okhtyrka,26456,0,13,22,2535,23886
E1_base_LGBM,buildings_v2,Rubizhne,13609,0,124,307,1348,11830
E1_base_LGBM,buildings_v2,Sievierodonetsk,9065,0,495,39,6800,1731
