group,base_name,leaky_model,clean_model,modality_leaky,modality_family_leaky,modality_clean,modality_family_clean,n_common,auc_leaky,auc_clean,delta_point,delta_mean_boot,delta_lo,delta_hi,ci_excludes_zero
points_v3plus,D1i_allblocks,D1i_allblocks_random,D1i_allblocks_groupkfold,other,other,other,other,63243,0.6321,0.5217,0.1104,0.1108,0.1017,0.1197,True
points_v3plus,D1j_dynamic,D1j_dynamic_random,D1j_dynamic_groupkfold,other,other,other,other,2121270,0.5816,0.567,0.0146,0.0146,0.0131,0.016,True
