city,feature,n_damaged,n_control,mean_damaged,mean_control,std_damaged,std_control,cohens_d,mann_whitney_u,mann_whitney_p,rank_biserial,significant_005,effect_size_label
Avdiivka,s2__composite__b02__post_winter_baseline_mean,89,12434,0.3717119527574446,0.25853691709673887,0.11706456293772628,0.11091696409768999,1.0199499771046703,837121.5,4.834604296520108e-18,-0.5129257761881612,True,large
Avdiivka,s2__composite__b02__post_winter_baseline_std,89,12434,0.06678212040257496,0.024935073097745716,0.036665286923706235,0.023357536266463075,1.7824394469595093,939637.0,4.7022783352651087e-32,-0.6982015604187866,True,large
Avdiivka,s2__composite__b02__post_winter_baseline_max,89,12434,0.5006494368060251,0.29603101207772997,0.17269809300921277,0.13977525157064363,1.4612089488216904,908319.5,2.508418949291651e-27,-0.6416015889740527,True,large
Avdiivka,s2__composite__b03__post_winter_baseline_mean,89,12434,0.3694230358439523,0.26450944024754325,0.1124181012171001,0.10314308207624684,1.0164945164820485,834781.0,9.019559021427169e-18,-0.5086958014722227,True,large
Avdiivka,s2__composite__b03__post_winter_baseline_std,89,12434,0.06715819969306402,0.024831194317872788,0.03633789420287922,0.02257358464759685,1.8646697270926689,942232.0,1.8321649813893785e-32,-0.7028914917957829,True,large
Avdiivka,s2__composite__b03__post_winter_baseline_max,89,12434,0.49575673964586153,0.3018584688264054,0.16406862942317643,0.1308086584607248,1.4793278830375807,908631.5,2.2607161622518424e-27,-0.6421654651164892,True,large
Avdiivka,s2__composite__b04__post_winter_baseline_mean,89,12434,0.3814196708983692,0.275549210463048,0.1164748401058099,0.10586303240980993,0.9993311115392323,830312.0,2.9257147856183224e-17,-0.5006189986499503,True,large
Avdiivka,s2__composite__b04__post_winter_baseline_std,89,12434,0.06901787994839795,0.025294026983377287,0.03659128162256628,0.022387918195585686,1.941640718610441,947966.0,2.23295802983657e-33,-0.7132545232083829,True,large
Avdiivka,s2__composite__b04__post_winter_baseline_max,89,12434,0.5106177249651277,0.3135839112010707,0.1665590592321419,0.1321561770555244,1.4878431520225963,910574.0,1.1809764589899774e-27,-0.6456761362917554,True,large
Avdiivka,s2__composite__b05__post_winter_baseline_mean,89,12434,0.4016351658168562,0.2983450728182788,0.11762768630364538,0.10666476931664293,0.9676272386423674,819161.0,5.089322048936479e-16,-0.48046584844382845,True,large
Avdiivka,s2__composite__b05__post_winter_baseline_std,89,12434,0.03685204946140648,0.012029656621535226,0.02485588927346211,0.012944807037234824,1.8997025428554486,931658.0,8.203771962808701e-31,-0.6837811509941027,True,large
Avdiivka,s2__composite__b05__post_winter_baseline_max,89,12434,0.4674098069748182,0.31628723610573034,0.1391971707555431,0.11877023221235047,1.2707273424755772,876025.0,7.282395227548475e-23,-0.5832358899935479,True,large
Avdiivka,s2__composite__b07__post_winter_baseline_mean,89,12434,0.4094446997946606,0.32804333440624994,0.10571356884666423,0.08844099701717721,0.9190194776333791,796162.0,1.2842182301715744e-13,-0.43889986318774366,True,large
Avdiivka,s2__composite__b07__post_winter_baseline_std,89,12434,0.03560774871509783,0.011601161130261248,0.02307678250198763,0.011384572081042677,2.0860286879890135,949598.0,1.219840445590172e-33,-0.7162040291842049,True,large
Avdiivka,s2__composite__b07__post_winter_baseline_max,89,12434,0.4734992877151189,0.3455132792161672,0.12441985123073075,0.09814982299470205,1.3012137908246675,874572.5,1.130281131523474e-22,-0.5806107935291598,True,large
Avdiivka,s2__composite__b08__post_winter_baseline_mean,89,12434,0.4173918711869154,0.3373254402259477,0.11172881547743382,0.09114376081056169,0.8769153215611606,784465.5,1.7763328714302532e-12,-0.4177608333800218,True,large
Avdiivka,s2__composite__b08__post_winter_baseline_std,89,12434,0.07017168552866987,0.026852631949029572,0.036077612787605816,0.020875994205207197,2.060728913582925,953774.0,2.5677041376793625e-34,-0.7237512944752789,True,large
Avdiivka,s2__composite__b08__post_winter_baseline_max,89,12434,0.5466295152567746,0.3771966681740034,0.154474895780052,0.1135872506640614,1.487220606237641,903290.5,1.3238425088354783e-26,-0.6325127007679199,True,large
Avdiivka,s2__composite__b11__post_winter_baseline_mean,89,12434,0.21354412491378374,0.23379422352790355,0.022337737560009625,0.020168266135354843,-1.0032585350068162,270111.0,5.685258606601071e-18,0.5118296515715337,True,large
Avdiivka,s2__composite__b11__post_winter_baseline_std,89,12434,0.009155105960498256,0.004014781088155601,0.006403548945007923,0.0026028285574267564,1.9407408558214738,866042.0,1.4367274134820487e-21,-0.5651936607309063,True,large
Avdiivka,s2__composite__b11__post_winter_baseline_max,89,12434,0.23016530878088448,0.24020481385016185,0.02606064892882633,0.02159608132822409,-0.464132771788428,411348.5,1.4881561648385029e-05,0.25657177763761196,True,small
Avdiivka,s2__composite__b12__post_winter_baseline_mean,89,12434,0.20024490887605587,0.2126572824159344,0.017185588065164292,0.01461992054482645,-0.8478674266264938,319610.5,1.0125723238787582e-12,0.4223694364672437,True,large
Avdiivka,s2__composite__b12__post_winter_baseline_std,89,12434,0.008681177386328847,0.004031221071668245,0.005927999499269634,0.002415517949413023,1.8919310214970873,867549.0,9.213513018942309e-22,-0.5679172547906881,True,large
Avdiivka,s2__composite__b12__post_winter_baseline_max,89,12434,0.21560848278276037,0.21893677347334747,0.022580932494015004,0.016569549428272858,-0.20026554389080584,476827.0,0.01964318702262577,0.13823279048205983,True,small
Avdiivka,s2__composite__b8a__post_winter_baseline_mean,89,12434,0.4110096522026732,0.3381047363903084,0.10256945894328294,0.08381393298687906,0.8683253146436654,777897.0,7.352102108845202e-12,-0.4058896140159367,True,large
Avdiivka,s2__composite__b8a__post_winter_baseline_std,89,12434,0.03395361849174549,0.01132947658275576,0.021886636364813573,0.010758296078920383,2.080129900563094,951461.0,6.09891038236931e-34,-0.7195710203808694,True,large
Avdiivka,s2__composite__b8a__post_winter_baseline_max,89,12434,0.47181787785519375,0.35521291280475403,0.11760496413087133,0.09231836814593551,1.2603189117221403,861911.0,4.804309036812002e-21,-0.557727723729607,True,large
Avdiivka,s2__composite__cire__post_winter_baseline_mean,89,12434,0.03085791403019685,0.11559366701423192,0.06202063780150986,0.08872784159062073,-0.9567283824871414,258159.0,2.1905639767737994e-19,0.5334304453356419,True,large
