cell,analysis,parquet,tier_selection,cities,n_buildings,n_features_tested,summary_metrics,top_features,note,tags,metric,value,city,feature
P10,,fusion_indices_card,,,,,,,,,best_auc_crossbattle,0.6974998585535673,ALL,s2__ndvi_mean
P10,,fusion_indices_card,,,,,,,,,best_auc_postbattle,0.6907021648770401,ALL,s2__mndwi_mean
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_prebattle,0.7995459834768723,ALL,s1__coh__drop_count_mean
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_crossbattle,0.8118539416842192,ALL,s1__coh__running_min_max
P10,,fusion_indices_card_cohdrop,,,,,,,,,best_auc_postbattle,0.8125296378875388,ALL,s1__coh__drop_count_mean
P17,,composite_vs_scenes_bands,,,,,,,,,best_auc_postbattle,0.6591752666986646,ALL,scene_s2__b02_mean
cell16,,block_stats,,,,,,,,,best_single_feature_auc,0.8011223674080495,ALL,s1__coh__post_baseline__max_std
cell16,,card_drop,,,,,,,,,best_single_feature_auc,0.7978357751730959,ALL,s1__vv__z_running_min_std
cell16,,coh_drop,,,,,,,,,best_single_feature_auc,0.8289973355040072,ALL,s1__coh__drop_count_mean
cell16,,composite_prepost_bands,,,,,,,,,best_single_feature_auc,0.7132135798161569,ALL,s2__composite__mndwi__post_winter_baseline_max
cell16,,composite_prepost_landuse,,,,,,,,,best_single_feature_auc,0.6132955023633697,ALL,landuse__winter_baseline_mode
cell16,,composite_vs_scenes_bands,,,,,,,,,best_single_feature_auc,0.6591752666986646,ALL,scene_s2__b02_mean
cell16,,composite_vs_scenes_landuse,,,,,,,,,best_single_feature_auc,0.5846257416845045,ALL,pre_landuse_mode
cell16,,fusion_card_cohdrop,,,,,,,,,best_single_feature_auc,0.8363882200399351,ALL,s1__coh__drop_count_mean
cell16,,fusion_composite_blockstats,,,,,,,,,best_single_feature_auc,0.7744540193328604,ALL,s1__coh__post_baseline__max_std
cell16,,fusion_composite_cohdrop,,,,,,,,,best_single_feature_auc,0.8039395481764413,ALL,s1__coh__drop_count_mean
