parquet_name,classifier,fold,tuned
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,1,0.6135778461869569
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,2,0.6541269527977226
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,3,0.7136692201638742
bda_fusion_composite_blockstats_v2,LightGBM-MIA-Optuna,4,0.8036494193603305
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,0,0.7636578017287707
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,1,0.6135778461869569
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,2,0.6541269527977226
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,3,0.7136692201638742
bda_fusion_composite_blockstats_v2,LightGBM-Optuna,4,0.8036494193603305
bda_fusion_composite_blockstats_v2,RF-200-Optuna,0,0.7636578017287707
bda_fusion_composite_blockstats_v2,RF-200-Optuna,1,0.6135778461869569
bda_fusion_composite_blockstats_v2,RF-200-Optuna,2,0.6541269527977226
bda_fusion_composite_blockstats_v2,RF-200-Optuna,3,0.7136692201638742
bda_fusion_composite_blockstats_v2,RF-200-Optuna,4,0.8036494193603305
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,0,0.7636578017287707
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,1,0.6135778461869569
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,2,0.6541269527977226
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,3,0.7136692201638742
bda_fusion_composite_blockstats_v2,XGBoost-Optuna,4,0.8036494193603305
bda_fusion_composite_cohdrop_v2,LightGBM-MIA-Optuna,0,0.6123970110102605
bda_fusion_composite_cohdrop_v2,LightGBM-MIA-Optuna,1,0.7699647459890726
bda_fusion_composite_cohdrop_v2,LightGBM-MIA-Optuna,2,0.6625132288066448
bda_fusion_composite_cohdrop_v2,LightGBM-MIA-Optuna,3,0.7511259806982303
bda_fusion_composite_cohdrop_v2,LightGBM-MIA-Optuna,4,0.7538211003610586
bda_fusion_composite_cohdrop_v2,RF-200-Optuna,0,0.6123970110102605
bda_fusion_composite_cohdrop_v2,RF-200-Optuna,1,0.7699647459890726
bda_fusion_composite_cohdrop_v2,RF-200-Optuna,2,0.6625132288066448
bda_fusion_composite_cohdrop_v2,RF-200-Optuna,3,0.7511259806982303
bda_fusion_composite_cohdrop_v2,RF-200-Optuna,4,0.7538211003610586
bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,0,0.7751129857474409
bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,1,0.785672968626423
bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,2,0.6627170623138168
bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,3,0.7491160981813847
bda_fusion_indices_card_cohdrop_v2,LightGBM-MIA-Optuna,4,0.7680033014475516
bda_fusion_ms_card_cohdrop_v2,LightGBM-MIA-Optuna,0,0.7244444261403477
bda_fusion_ms_card_cohdrop_v2,LightGBM-MIA-Optuna,1,0.775757919688538
bda_fusion_ms_card_cohdrop_v2,LightGBM-MIA-Optuna,2,0.6614582035609551
bda_fusion_ms_card_cohdrop_v2,LightGBM-MIA-Optuna,3,0.708570280290046
bda_fusion_ms_card_cohdrop_v2,LightGBM-MIA-Optuna,4,0.7701957801077984
bda_fusion_ms_cohdrop_v2,LightGBM-MIA-Optuna,0,0.6895477028012293
bda_fusion_ms_cohdrop_v2,LightGBM-MIA-Optuna,1,0.7822685169555516
bda_fusion_ms_cohdrop_v2,LightGBM-MIA-Optuna,2,0.6617635014162435
bda_fusion_ms_cohdrop_v2,LightGBM-MIA-Optuna,3,0.7530856839485482
bda_fusion_ms_cohdrop_v2,LightGBM-MIA-Optuna,4,0.7788510107471249
bda_lu_change_v2,LightGBM-MIA-Optuna,0,0.6814949020122337
bda_lu_change_v2,LightGBM-MIA-Optuna,1,0.5
bda_lu_change_v2,LightGBM-MIA-Optuna,2,0.7227651099592489
bda_lu_change_v2,LightGBM-MIA-Optuna,3,0.6189259851601814
bda_lu_change_v2,LightGBM-MIA-Optuna,4,0.8231940376636515
bda_ms_change_v2,LightGBM-MIA-Optuna,0,0.5
bda_ms_change_v2,LightGBM-MIA-Optuna,1,0.5
bda_ms_change_v2,LightGBM-MIA-Optuna,2,0.5524896072085271
bda_ms_change_v2,LightGBM-MIA-Optuna,3,0.6086957543858434
bda_ms_change_v2,LightGBM-MIA-Optuna,4,0.5492842011654356
bda_prepost_single_card_v2,LightGBM-MIA-Optuna,0,0.7242279925639854
bda_prepost_single_card_v2,LightGBM-MIA-Optuna,1,0.5885317994298765
bda_prepost_single_card_v2,LightGBM-MIA-Optuna,2,0.7387059736571308
bda_prepost_single_card_v2,LightGBM-MIA-Optuna,3,0.6149269657388018
bda_prepost_single_card_v2,LightGBM-MIA-Optuna,4,0.7769261166931919
bda_rolling_stats_roll13_v2,LightGBM-MIA-Optuna,0,0.796257705158995
bda_rolling_stats_roll13_v2,LightGBM-MIA-Optuna,1,0.6205360568066176
bda_rolling_stats_roll13_v2,LightGBM-MIA-Optuna,2,0.7525501944816249
bda_rolling_stats_roll13_v2,LightGBM-MIA-Optuna,3,0.6518339779695208
bda_rolling_stats_roll13_v2,LightGBM-MIA-Optuna,4,0.822451856007975
bda_rolling_stats_roll3_v2,LightGBM-MIA-Optuna,0,0.6600029242031311
bda_rolling_stats_roll3_v2,LightGBM-MIA-Optuna,1,0.6205360568066176
bda_rolling_stats_roll3_v2,LightGBM-MIA-Optuna,2,0.7322241761911243
bda_rolling_stats_roll3_v2,LightGBM-MIA-Optuna,3,0.6376883252009833
bda_rolling_stats_roll3_v2,LightGBM-MIA-Optuna,4,0.7930900383599184
bda_rolling_stats_roll7_v2,LightGBM-MIA-Optuna,0,0.6990843969250304
bda_rolling_stats_roll7_v2,LightGBM-MIA-Optuna,1,0.37946394319338245
bda_rolling_stats_roll7_v2,LightGBM-MIA-Optuna,2,0.7309886871628146
bda_rolling_stats_roll7_v2,LightGBM-MIA-Optuna,3,0.6521668669541737
bda_rolling_stats_roll7_v2,LightGBM-MIA-Optuna,4,0.8231666734333766
