classifier,manifest_key,param,default,tuned,abs_drift,rel_drift
LightGBM-MIA,fusion_composite_blockstats,bagging_freq,0.0,0.0,0.0,
LightGBM-MIA,block_stats,n_estimators,150.0,641.0,491.0,3.2733333333333334
LightGBM-MIA,block_stats,num_leaves,31.0,62.0,31.0,1.0
LightGBM-MIA,block_stats,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,block_stats,learning_rate,0.05,0.11506408247250169,0.06506408247250169,1.3012816494500337
LightGBM-MIA,block_stats,min_child_samples,20.0,72.0,52.0,2.6
LightGBM-MIA,block_stats,reg_alpha,0.0,1.4580143360819746,1.4580143360819746,
LightGBM-MIA,block_stats,reg_lambda,0.0,1.5425406933718915,1.5425406933718915,
LightGBM-MIA,block_stats,feature_fraction,1.0,0.5370223258670452,-0.46297767413295476,-0.46297767413295476
LightGBM-MIA,block_stats,bagging_fraction,1.0,0.6792328642721364,-0.32076713572786364,-0.32076713572786364
LightGBM-MIA,block_stats,bagging_freq,0.0,1.0,1.0,
LightGBM-MIA,rolling_stats_roll13,n_estimators,150.0,551.0,401.0,2.6733333333333333
LightGBM-MIA,rolling_stats_roll13,num_leaves,31.0,55.0,24.0,0.7741935483870968
LightGBM-MIA,rolling_stats_roll13,max_depth,6.0,5.0,-1.0,-0.16666666666666666
LightGBM-MIA,rolling_stats_roll13,learning_rate,0.05,0.010121234403801983,-0.03987876559619802,-0.7975753119239604
LightGBM-MIA,rolling_stats_roll13,min_child_samples,20.0,67.0,47.0,2.35
LightGBM-MIA,rolling_stats_roll13,reg_alpha,0.0,1.8697842964806768,1.8697842964806768,
LightGBM-MIA,rolling_stats_roll13,reg_lambda,0.0,1.542409278295613,1.542409278295613,
LightGBM-MIA,rolling_stats_roll13,feature_fraction,1.0,0.6327259365892293,-0.36727406341077073,-0.36727406341077073
LightGBM-MIA,rolling_stats_roll13,bagging_fraction,1.0,0.6428629237792957,-0.35713707622070434,-0.35713707622070434
LightGBM-MIA,rolling_stats_roll13,bagging_freq,0.0,4.0,4.0,
LightGBM-MIA,rolling_stats_roll3,n_estimators,150.0,185.0,35.0,0.23333333333333334
LightGBM-MIA,rolling_stats_roll3,num_leaves,31.0,134.0,103.0,3.3225806451612905
LightGBM-MIA,rolling_stats_roll3,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,rolling_stats_roll3,learning_rate,0.05,0.15242391728466367,0.10242391728466367,2.0484783456932734
LightGBM-MIA,rolling_stats_roll3,min_child_samples,20.0,29.0,9.0,0.45
LightGBM-MIA,rolling_stats_roll3,reg_alpha,0.0,1.325044568707964,1.325044568707964,
LightGBM-MIA,rolling_stats_roll3,reg_lambda,0.0,0.6234221521788219,0.6234221521788219,
LightGBM-MIA,rolling_stats_roll3,feature_fraction,1.0,0.7600340105889054,-0.2399659894110946,-0.2399659894110946
LightGBM-MIA,rolling_stats_roll3,bagging_fraction,1.0,0.7733551396716398,-0.22664486032836018,-0.22664486032836018
LightGBM-MIA,rolling_stats_roll3,bagging_freq,0.0,2.0,2.0,
LightGBM-MIA,rolling_stats_roll7,n_estimators,150.0,641.0,491.0,3.2733333333333334
LightGBM-MIA,rolling_stats_roll7,num_leaves,31.0,62.0,31.0,1.0
LightGBM-MIA,rolling_stats_roll7,max_depth,6.0,3.0,-3.0,-0.5
LightGBM-MIA,rolling_stats_roll7,learning_rate,0.05,0.11506408247250169,0.06506408247250169,1.3012816494500337
LightGBM-MIA,rolling_stats_roll7,min_child_samples,20.0,72.0,52.0,2.6
LightGBM-MIA,rolling_stats_roll7,reg_alpha,0.0,1.4580143360819746,1.4580143360819746,
LightGBM-MIA,rolling_stats_roll7,reg_lambda,0.0,1.5425406933718915,1.5425406933718915,
LightGBM-MIA,rolling_stats_roll7,feature_fraction,1.0,0.5370223258670452,-0.46297767413295476,-0.46297767413295476
LightGBM-MIA,rolling_stats_roll7,bagging_fraction,1.0,0.6792328642721364,-0.32076713572786364,-0.32076713572786364
LightGBM-MIA,rolling_stats_roll7,bagging_freq,0.0,1.0,1.0,
LightGBM-MIA,card_drop,n_estimators,150.0,323.0,173.0,1.1533333333333333
LightGBM-MIA,card_drop,num_leaves,31.0,88.0,57.0,1.8387096774193548
